Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,ECON,101,,003,Principles of Microeconomics,Joonhwan Cho;Linh Bui;Luke Davey;Maisha Badhon;Matthew Leung;Ngoc Anh Luu;Noriko Ozawa;Shaun Campbell;Spencer Dean;Spencer Lh Dean;Theodore Wannop,169,64.75147929,16.96697811,96.0,0.0,20,11,28,12,24,9,23,9,14,9,10
UBCO,2014,W,ECON,102,,002,Principles of Macroeconomics,Joonhwan Cho;Linh Bui;Luke Davey;Maisha Badhon;Matthew Leung;Ngoc Anh Luu;Ross Hickey;Shaun Campbell;Spencer Dean;Spencer Lh Dean;Theodore Wannop,109,65.11926606,14.83846651,90.0,0.0,11,11,14,8,16,14,8,5,14,7,1
UBCO,2014,W,ECON,102,,003,Principles of Macroeconomics,Joonhwan Cho;Julien Picault;Linh Bui;Luke Davey;Maisha Badhon;Matthew Leung;Ngoc Anh Luu;Shaun Campbell;Spencer Dean;Spencer Lh Dean;Theodore Wannop,175,62.68571429,14.37504908,90.0,0.0,18,20,23,20,20,26,18,11,10,8,1
UBCO,2014,W,ECON,204,,002,Intermediate Microeconomic Analysis,Joonhwan Cho;Linh Bui;Luke Davey;Maisha Badhon;Matthew Leung;Mohsen Javdani;Ngoc Anh Luu;Shaun Campbell;Spencer Dean;Spencer Lh Dean;Theodore Wannop,74,62.02702703,16.81402951,100.0,30.0,14,12,10,5,5,8,,,5,,6
UBCO,2014,W,ECON,205,,002,Intermediate Macroeconomic Analysis,Joonhwan Cho;Kenneth Carlaw;Linh Bui;Luke Davey;Maisha Badhon;Matthew Leung;Ngoc Anh Luu;Shaun Campbell;Spencer Dean;Spencer Lh Dean;Theodore Wannop,76,62.31578947,12.92048557,90.0,29.0,10,6,15,10,8,7,6,8,5,,
UBCO,2014,W,ECON,295,,001,Managerial Economics,Joonhwan Cho;Linh Bui;Luke Davey;Maisha Badhon;Matthew Leung;Ngoc Anh Luu;Noriko Ozawa;Shaun Campbell;Spencer Dean;Spencer Lh Dean;Theodore Wannop,58,66.53448276,17.68954049,96.0,2.0,7,,,9,7,6,10,,7,,
UBCO,2015,W,ECON,101,,001,Principles of Microeconomics,Ayla Lovell;Emily Mutter;Linh Bui;Maisha Badhon;Ngoc Anh Luu;Noriko Ozawa;Spencer Dean;Spencer Lh Dean;Yang Yongmin,214,67.023364486,16.936900734,99.0,6.0,29,13,24,15,17,18,27,13,24,21,13
UBCO,2015,W,ECON,101,,002,Principles of Microeconomics,Ayla Lovell;Emily Mutter;Linh Bui;Maisha Badhon;Ngoc Anh Luu;Solomon Geleta;Spencer Dean;Spencer Lh Dean;Yang Yongmin,141,73.212765957,14.651576468,98.0,16.0,7,8,5,9,7,16,20,11,22,23,13
UBCO,2015,W,ECON,101,,003,Principles of Microeconomics,Ayla Lovell;Dakota Ravestein;Ngoc Anh Luu;Noriko Ozawa;Shahrzad Pakravan;Spencer Dean;Spencer Lh Dean,171,64.789473684,19.397456027,98.0,6.0,28,12,16,14,16,14,19,12,14,13,13
UBCO,2015,W,ECON,102,,001,Principles of Macroeconomics,Ayla Lovell;Emily Mutter;Julien Picault;Linh Bui;Maisha Badhon;Ngoc Anh Luu;Spencer Dean;Spencer Lh Dean;Yang Yongmin,134,65.97761194,14.504583884,92.0,0.0,8,14,15,21,16,9,10,12,20,6,3
UBCO,2015,W,ECON,102,,002,Principles of Macroeconomics,Ayla Lovell;Dakota Ravestein;Linh Bui;Ngoc Anh Luu;Ross Hickey;Spencer Dean;Spencer Lh Dean,119,69.87394958,15.111761399,96.0,2.0,8,9,8,11,7,16,13,9,23,10,5
UBCO,2015,W,ECON,102,,003,Principles of Macroeconomics,Ayla Lovell;Dakota Ravestein;Julien Picault;Linh Bui;Ngoc Anh Luu;Spencer Dean;Spencer Lh Dean,170,66.364705882,15.361788495,92.0,0.0,14,12,15,11,19,27,23,21,21,5,2
UBCO,2015,W,ECON,204,,001,Intermediate Microeconomic Analysis,Ayla Lovell;Belinda Raposo;Emily Mutter;Linh Bui;Maisha Badhon;Ngoc Anh Luu;Noriko Ozawa;Spencer Dean;Spencer Lh Dean,57,59.175438596,15.092716795,94.0,23.0,11,11,10,7,6,0,4,,1,,
UBCO,2015,W,ECON,205,,001,Intermediate Macroeconomic Analysis,Ayla Lovell;Belinda Raposo;Emily Mutter;Kenneth Carlaw;Linh Bui;Maisha Badhon;Ngoc Anh Luu;Spencer Dean;Spencer Lh Dean;Yang Yongmin,48,60.041666667,14.257447973,89.0,29.0,8,8,10,4,5,,3,,,,0
UBCO,2015,W,ECON,205,,002,Intermediate Macroeconomic Analysis,Ayla Lovell;Dakota Ravestein;Kenneth Carlaw;Linh Bui;Ngoc Anh Luu;Spencer Dean;Spencer Lh Dean,62,56.483870968,14.111664673,92.0,11.0,15,9,16,9,2,,6,,,,
UBCO,2015,W,ECON,221,,001,Introduction to Strategic Thinking,Ayla Lovell;Emily Mutter;Linh Bui;Maisha Badhon;Mohsen Javdani;Ngoc Anh Luu;Spencer Dean;Spencer Lh Dean;Yang Yongmin,41,64.585365854,14.712198357,100.0,39.0,6,6,,5,,,,,,,
UBCO,2015,W,ECON,295,,001,Managerial Economics,Ayla Lovell;Broghan Erland;Dakota Ravestein;Maisha Badhon;Ngoc Anh Luu;Noriko Ozawa;Spencer Dean;Spencer Lh Dean,64,66.28125,16.502495001,98.0,0.0,5,,7,10,7,5,6,8,5,5,
UBCO,2015,W,MGMT,302,,101,Introduction to Managerial Accounting,Brendan Sprague;Enyuan Chen;Fanxi Li;Krishna Kambhampati;Ngoc Anh Luu;Poyu Huang;Tamara Ebl,68,74.823529412,12.403587801,99.0,45.0,,3,,,6,7,8,13,8,,10
UBCO,2015,W,MGMT,302,,102,Introduction to Managerial Accounting,Brendan Sprague;Enyuan Chen;Fanxi Li;Krishna Kambhampati;Ngoc Anh Luu;Poyu Huang;Tamara Ebl,70,79.6,10.387283195,98.0,58.0,0,0,,,2,11,6,13,10,8,15
UBCO,2015,W,MGMT,302,,103,Introduction to Managerial Accounting,Brendan Sprague;Enyuan Chen;Fanxi Li;Krishna Kambhampati;Ngoc Anh Luu;Poyu Huang;Tamara Ebl,58,70.155172414,11.735090166,91.0,41.0,,7,6,,7,3,10,4,12,,1
