Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2005,W,EECE,369,,201,SIGNALS & SYS,"Lusina, Paul",30,69.8,20.75,100,20,26,4,0,0,0,0,0,2,1,1,4,1,2,4,1,2,4,2,2,1,7,,,
UBC,2012,S,EECE,375,,941,INST DESG LAB,"Lusina, Paul",10,88.56,8.72,100,73,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,,,
UBC,2012,S,EECE,474,,941,INST DESIGN LAB,"Lusina, Paul",44,87,9.29,100,68,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,8,8,18,,,
UBC,2012,W,EECE,375,,201,INST DESG LAB,"Lusina, Paul",4,83.5,8.58,91,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,,,
UBC,2012,W,EECE,474,,201,INST DESIGN LAB,"Lusina, Paul",57,85.54,7,98,62,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,18,15,16,,,
UBC,2013,S,EECE,474,,941,INST DESIGN LAB,"Lusina, Paul",19,83.37,11.81,98,61,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,4,1,8,,,
UBC,2013,W,EECE,400,,001,NANTEC & MICRSYS,"Abolmaesumi, Purang;Botman, Pieter;Cretu, Edmond;Davies, Paul;Kruchten, Philippe;Lusina, Paul;Stocco, Leo",7,78,6.53,85,67,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,,,
UBC,2013,W,EECE,409,,001,CAPSTN DSGN PROJ,"Abolmaesumi, Purang;Cretu, Edmond;Davies, Paul;Kruchten, Philippe;Lusina, Paul;Stocco, Leo;TBA",38,80.29,6.14,90,60,38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,17,7,1,,,
UBC,2013,W,EECE,419,,001,SOFTWARE ENG PRJ,"Abolmaesumi, Purang;Botman, Pieter;Cretu, Edmond;Davies, Paul;Kruchten, Philippe;Lusina, Paul;Stocco, Leo;TBA",38,82.84,5.72,93,70,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,10,17,2,,,
UBC,2013,W,EECE,429,,001,CAPSTN DSGN PROJ,"Abolmaesumi, Purang;Botman, Pieter;Cretu, Edmond;Davies, Paul;Kruchten, Philippe;Lusina, Paul;Stocco, Leo;TBA",60,81.33,7.45,91,41,59,1,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,8,21,24,2,,,
UBC,2013,W,EECE,439,,001,BIOMED CPSTN DSN,"Abolmaesumi, Purang;Botman, Pieter;Cretu, Edmond;Davies, Paul;Kruchten, Philippe;Lusina, Paul;Stocco, Leo;TBA",19,84.95,6.45,96,69,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,7,4,,,
UBC,2013,W,EECE,469,,001,EL ENRG SYST DSN,"Abolmaesumi, Purang;Botman, Pieter;Cretu, Edmond;Davies, Paul;Kruchten, Philippe;Lusina, Paul;Stocco, Leo;TBA",17,81.82,10.63,89,46,16,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,1,11,0,,,
UBC,2013,W,EECE,474,,101,INST DESIGN LAB,"Lusina, Paul",4,79.75,7.89,85,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,,,
UBC,2014,W,EECE,453,,101,COMMUNICTNS SYS,"Lusina, Paul",37,76.41,15.97,100,28,35,2,0,0,0,0,0,1,1,0,2,0,2,1,4,1,8,1,7,4,7,,,
UBC,2015,W,CPEN,491,,001,CAPSTN DSGN PROJ,"Arefifar, Seyed Ali;Botman, Pieter;Fels, S Sidney;Grecu, Cristian Sorin;Kruchten, Philippe;Lee, Terry;Lusina, Paul;Madden, John;Najarian, Siamak;Tang, Shuo",41,86.32,5.34,96,69,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,14,12,,,
UBC,2015,W,CPEN,492,,001,SOFTWARE ENG PRJ,"Arefifar, Seyed Ali;Botman, Pieter;Fels, S Sidney;Grecu, Cristian Sorin;Kruchten, Philippe;Lee, Terry;Lusina, Paul;Madden, John;Najarian, Siamak;Tang, Shuo",37,85.92,5.48,96,73,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,14,9,,,
UBC,2015,W,ELEC,431,,101,COMMUNICTNS SYS,"Lusina, Paul",42,80.88,14.34,100,41,38,2,0,0,2,0,0,0,0,2,2,0,1,2,1,1,4,7,5,6,11,,,
