Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,BIOL,351,,101,Plant Physiology I,Emily Murphy;Jonathan Degner;Qianshi Lin;Santokh Singh;Shawn Mansfield,65,68.476923077,13.324211623,92.0,0.0,,,10,7,8,11,7,5,8,,
UBCV,2015,W,BIOL,352,,201,Plant Physiology II: Plant Development,Abel Rosado Rey;Benjamin Edward Auxier;Fang Gao;Kehui Lian;Qianshi Lin;Santokh Singh,69,70.304347826,10.20424414,85.0,12.0,,,,5,9,15,13,13,9,,0
UBCV,2016,S,BIOL,260,,921,Fundamentals of Physiology,Beth Lyn Volpov;Beth Volpov;Qianshi Lin;Santokh Singh,56,78.71428571,13.1338761,92.0,20.0,2,0,1,2,1,3,7,8,6,14,12
UBCV,2016,W,BIOL,351,,101,Plant Physiology I,Caitlin Donnelly;Emily Murphy;Qianshi Lin;Santokh Singh;Shawn Mansfield,57,69.57894737,12.43116385,89.0,43.0,5,3,6,4,4,4,8,9,9,5,0
UBCV,2016,W,BIOL,352,,201,Plant Physiology II: Plant Development,Abel Rosado Rey;Mannfred Boehm;Qianshi Lin;Samuel Livingston;Santokh Singh,61,72.19672131,12.1364735,91.0,22.0,3,1,3,2,6,4,10,13,13,4,2
UBCV,2017,W,BIOL,351,,101,Plant Physiology I,Elizabeth Mahon;Qianshi Lin;Reilly Ische;Santokh Singh;Shawn Mansfield,64,69.515625,11.766231191,93.0,45.0,4,1,9,6,8,8,7,5,9,3,4
UBCV,2017,W,BIOL,352,,201,Plant Physiology II: Plant Development,Abel Rosado Rey;Latika Raisinghani;Mannfred Boehm;Qianshi Lin;Santokh Singh,69,69.927536232,11.116123479,90.0,22.0,2,2,6,6,7,8,13,9,12,3,1
UBCV,2018,W,BIOL,351,,101,Plant Physiology I,Qianshi Lin;Samuel Livingston;Santokh Singh;Shawn Mansfield;Sherry Sun,65,74.292307692,7.942612678,95.0,50.0,0,3,0,1,4,10,16,18,9,3,1
UBCV,2018,W,BIOL,352,,201,Plant Physiology II: Plant Development,Abel Rosado Rey;Aida Rakei;Qianshi Lin;Santokh Singh;Sherry Sun,71,73.661971831,8.872016459,93.0,51.0,0,3,1,2,13,6,9,15,16,4,2
UBCV,2019,W,BIOL,351,,101,Plant Physiology I,Aida Rakei;Dixi Umesh Modi;Qianshi Lin;Santokh Singh;Shawn Mansfield,52,73.057692308,10.624451011,89.0,47.0,3,0,3,4,3,7,5,9,13,5,0
UBCV,2019,W,BIOL,352,,201,Plant Physiology II: Plant Development,Abel Rosado Rey;Aida Rakei;Erin Gaynor;Isaac Anthony Borrego;Isaac Borrego;Qianshi Lin;Sandra Keerthsinghe;Santokh Singh,66,77.075757576,8.321077234,95.0,55.0,0,0,2,2,4,7,8,12,19,6,6
