Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,VISA,287,,002,DIGITAL ARTS,"LEVIN, SIMON",23,76.1,6.43,88,60,21,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,5,9,2,2,0
UBC,2003,W,VISA,387,,002,INTERMED DIG ART,"LEVIN, SIMON",22,77.86,6.72,92,64,21,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,4,5,7,0,2
UBC,2005,W,VISA,210,,901,DIGITAL ARTS,"LEVIN, SIMON",19,79.17,6.2,90,66,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,2,1
UBC,2005,W,VISA,210,,902,DIGITAL ARTS,"LEVIN, SIMON",18,82.53,3.73,90,75,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,2,1
UBC,2006,W,VISA,210,,001,DIGITAL ARTS,"LEVIN, SIMON",18,80.56,3.78,86,73,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,4,0
UBC,2006,W,VISA,310,,002,DIGITAL ARTS I,"LEVIN, SIMON",15,82.33,3.85,87,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,5,0
UBC,2006,W,VISA,410,,001,DIGITAL ARTS I,"LEVIN, SIMON",14,78.71,7.05,87,62,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,5,0
UBC,2007,W,VISA,110,,002,FND COMP VIS ART,"LEVIN, SIMON",171,76.56,6.93,88,24,159,1,7,0,4,0,0,1,0,0,1,0,2,0,2,22,35,30,55,13,0
UBC,2007,W,VISA,210,,001,DIGITAL ARTS,"LEVIN, SIMON",36,74.42,8.47,87,53,36,0,0,0,0,0,0,0,0,0,0,1,1,2,5,1,6,7,8,5,0
UBC,2007,W,VISA,210,,002,DIGITAL ARTS,"LEVIN, SIMON",45,72.67,7.65,85,48,42,1,1,0,1,0,0,0,0,1,1,1,0,2,3,8,10,10,7,1,0
UBC,2007,W,VISA,310,,001,DIGITAL ARTS I,"LEVIN, SIMON",22,74.27,10.85,85,31,21,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,5,6,4,2,0
UBC,2009,W,VISA,110,,002,FND COMP VIS ART,"LEVIN, SIMON",175,76.61,7.72,91,27,169,2,4,0,0,0,0,1,1,0,2,0,0,5,6,14,34,42,49,17,2
UBC,2009,W,VISA,210,,001,DIGITAL ARTS,"LEVIN, SIMON",32,77.84,4.24,90,70,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,8,2,1
UBC,2009,W,VISA,410,,001,ADV DIG ARTS I,"LEVIN, SIMON",14,73.93,5.54,82,65,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,4,0,0
UBC,2010,W,VISA,110,,002,FND COMP VIS ART,"LEVIN, SIMON",176,74.55,11.1,90,0,157,4,14,0,0,2,0,0,1,1,4,1,2,3,4,10,52,39,33,12,1
UBC,2010,W,VISA,210,,001,DIGITAL ARTS,"LEVIN, SIMON",40,77.38,6.02,87,65,39,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,9,6,12,6,0
UBC,2010,W,VISA,360,,001,INT SCULPTURE I,"LEVIN, SIMON",17,81,4.37,87,72,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,3,0
