Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",49,78.15,6.8,93,63,33,0,2,13,1,0,0,0,0,0,0,0,0,1,1,4,4,9,7,6,1
UBC,2003,W,EECE,256,,101,DIGITAL LOGC DES,"Leung, Victor;Nasiopoulos, Panos",31,79.81,12.71,99,41,30,1,0,0,0,0,0,0,0,1,1,0,0,1,2,3,4,4,5,3,8
UBC,2003,W,EECE,256,,102,DIGITAL LOGC DES,"Leung, Victor;Nasiopoulos, Panos",79,67.62,15.47,100,38,69,9,0,0,1,0,0,0,1,8,9,9,12,5,6,8,6,3,7,4,9
UBC,2003,W,EECE,256,,103,DIGITAL LOGC DES,"Leung, Victor;Nasiopoulos, Panos",95,70.98,14.78,100,37,85,9,0,0,1,0,0,0,1,8,9,2,11,6,14,9,7,12,2,10,12
UBC,2003,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",18,77.77,5.57,89,70,13,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,2,0
UBC,2005,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",25,82.45,5.14,95,73,22,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4,10,4,3
UBC,2006,W,EECE,452,,201,INTRO OPTIC NET,"Leung, Victor",34,71.91,10.86,93,52,32,0,2,0,0,0,0,0,0,0,0,2,2,3,5,4,5,2,4,3,2
UBC,2006,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",21,82.43,6.05,92,71,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,3,4
UBC,2007,W,EECE,452,,201,INTRO OPTIC NET,"Leung, Victor",48,70.28,10.88,94,50,47,0,0,0,1,0,0,0,0,0,0,5,2,6,6,4,9,8,3,1,3
UBC,2007,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",19,81.33,8.51,93,68,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,4,4
UBC,2009,W,EECE,452,,201,INTRO OPTIC NET,"Leung, Victor",13,73,13.44,92,50,12,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,1,1,0,2,2
UBC,2009,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",22,75.81,9.39,92,61,21,0,0,0,1,0,0,0,0,0,0,0,0,1,2,6,3,1,2,4,2
UBC,2010,W,EECE,452,,201,INTRO OPTIC NET,"Leung, Victor",10,74.7,9.64,89,56,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,1,2,0
UBC,2010,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",18,80.18,6.55,92,70,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,7,1,2
UBC,2011,W,EECE,452,,201,INTRO OPTIC NET,"Leung, Victor",32,70.31,11.25,92,52,32,0,0,0,0,0,0,0,0,0,0,3,2,6,3,4,4,1,6,2,1
UBC,2011,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",19,81.63,6.66,91,71,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,5,3
UBC,2012,W,EECE,452,,201,INTRO OPTIC NET,"Leung, Victor",14,72.23,12.08,92,54,13,0,0,0,1,0,0,0,0,0,0,1,1,2,1,1,1,2,1,2,1
UBC,2012,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",34,82.15,6.89,96,68,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,13,2,7
UBC,2013,W,EECE,452,,201,INTRO OPTIC NET,"Leung, Victor",31,69.61,13.74,95,34,30,1,0,0,0,0,0,0,1,0,1,3,2,6,1,4,6,2,1,2,3
UBC,2013,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",31,81.3,6.59,91,68,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,8,5,5
UBC,2014,W,EECE,452,,201,INTRO OPTIC NET,"Leung, Victor",30,71.57,9.42,95,55,30,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,4,7,1,2,1
UBC,2014,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",56,82.56,5.75,93,67,55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,17,17,6
