Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,CLST,100,,001,INTRO CLASS CIVL,"Rae, Andrea Lyn",92,76.21,10.35,94,50,81,0,7,0,4,0,0,0,0,0,0,3,1,6,12,4,9,11,13,14,8
UBC,2002,W,CLST,305,,003,CLAS MYTH & RELG,"Rae, Andrea Lyn",71,68.17,18.38,95,0,60,4,6,0,1,3,0,0,0,1,4,3,4,1,16,7,6,9,5,7,2
UBC,2002,W,LATN,200,,001,SECOND YR LATIN,"Rae, Andrea Lyn",32,71.16,14.33,100,42,28,3,0,0,1,0,0,0,0,3,3,2,1,2,4,1,6,3,4,3,2
UBC,2003,W,CLST,100,,001,INTRO CLASS CIVL,"Rae, Andrea Lyn",99,76.69,10.73,93,45,88,3,5,0,3,0,0,0,0,3,3,1,3,4,9,2,8,13,25,16,7
UBC,2003,W,LATN,200,,001,SECOND YR LATIN,"Rae, Andrea Lyn",25,70.18,18.57,96,21,20,2,1,1,1,0,0,1,0,1,2,2,2,1,1,3,3,1,1,2,4
UBC,2003,W,LATN,301,,001,LIT CLASSICL PRD,"Rae, Andrea Lyn;Todd, Robert B",24,77.27,15.34,98,50,22,0,1,0,1,0,0,0,0,0,0,4,0,0,2,0,2,1,4,3,6
UBC,2003,W,LATN,402,B,002,LATIN VERSE,"Rae, Andrea Lyn",12,81.92,10.28,96,63,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,2,3
UBC,2005,W,CLST,100,,001,INTRO CLASS CIVL,"Rae, Andrea Lyn",101,74.52,9.41,92,42,89,1,5,0,6,0,0,0,0,1,1,1,5,3,9,13,15,15,12,12,4
UBC,2005,W,CLST,301,,051,TECH TERMS MEDIC,"Rae, Andrea Lyn",375,74.74,19.11,100,0,330,29,14,0,2,3,3,8,7,8,29,16,23,23,17,19,26,26,48,40,92
UBC,2005,W,CLST,311,,001,WMN BRONZ,"Rae, Andrea Lyn",60,74.68,7.76,86,47,58,1,1,0,0,0,0,0,0,1,1,0,1,5,4,4,8,21,13,2,0
UBC,2005,W,LATN,100,,004,FIRST-YR LATIN,"Rae, Andrea Lyn",36,71.69,21.98,98,18,25,4,4,0,3,0,2,0,1,1,4,1,2,1,2,2,1,2,5,3,6
UBC,2005,W,LATN,200,,002,SECOND YR LATIN,"Gorrie, Charmaine;Rae, Andrea Lyn",35,71.53,21.28,97,10,26,6,3,0,0,0,1,0,2,3,6,0,1,3,2,1,2,4,1,5,7
UBC,2005,W,LATN,301,,001,LIT CLASSICL PRD,"Rae, Andrea Lyn;Todd, Robert B",20,75.11,11.87,94,55,18,0,1,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,5,1,2
UBC,2006,W,CLST,100,,001,INTRO CLASS CIVL,"Gorrie, Charmaine;Rae, Andrea Lyn",110,71.8,12.57,93,6,100,4,3,0,3,1,0,0,1,2,4,3,4,9,13,10,19,11,17,10,4
UBC,2006,W,CLST,301,,051,TECH TERMS MEDIC,"Rae, Andrea Lyn",375,76.47,18.02,100,0,340,25,10,0,0,2,2,3,7,11,25,22,22,18,15,14,26,30,42,54,97
UBC,2006,W,LATN,100,,004,FIRST-YR LATIN,"CREESE, MARGARET;Rae, Andrea Lyn",29,71.91,15.84,98,42,21,2,5,0,1,0,0,0,0,2,2,1,5,0,2,0,4,1,1,4,3
UBC,2006,W,LATN,200,,001,SECOND YR LATIN,"Rae, Andrea Lyn",38,70.32,21.07,99,20,30,4,4,0,0,0,0,2,1,1,4,2,3,2,4,1,5,1,2,2,8
UBC,2006,W,LATN,301,,001,LIT CLASSICL PRD,"Rae, Andrea Lyn",20,74.33,16.71,95,29,17,1,2,0,0,0,0,1,0,0,1,2,0,1,1,2,1,0,4,3,3
UBC,2007,W,CLST,100,,001,INTRO CLASS CIVL,"Gorrie, Charmaine;Rae, Andrea Lyn",118,69.33,13.75,91,23,93,10,10,0,5,0,0,1,3,6,10,6,5,9,6,14,12,12,19,7,3
UBC,2007,W,LATN,100,,002,FIRST-YR LATIN,"Rae, Andrea Lyn",26,77.24,17.69,97,25,19,2,4,0,1,0,0,1,0,1,2,0,1,1,0,1,3,1,4,2,6
UBC,2007,W,LATN,200,,001,SECOND YR LATIN,"Rae, Andrea Lyn",33,70.29,15.14,98,30,26,2,1,1,3,0,0,0,1,1,2,3,1,1,4,4,4,2,2,3,2
UBC,2007,W,LATN,301,,001,LIT CLASSICL PRD,"Rae, Andrea Lyn",15,75,15.54,92,45,11,1,1,1,1,0,0,0,0,1,1,0,2,0,1,0,1,1,2,2,2
UBC,2007,W,LATN,301,,002,LIT CLASSICL PRD,"Rae, Andrea Lyn",18,78.87,13.48,98,43,14,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,2,3,3,3,2
UBC,2009,W,CLST,110,,001,POWER&ARTS ATHEN,"Rae, Andrea Lyn",54,73.17,15.45,94,15,48,5,1,0,0,0,1,0,1,3,5,0,2,4,6,4,1,10,9,8,4
UBC,2009,W,CLST,231,,002,ANCIENT GREECE,"Rae, Andrea Lyn",61,72.8,12.63,93,44,54,1,0,1,5,0,0,0,0,1,1,4,8,0,5,2,3,15,4,12,1
UBC,2009,W,LATN,100,,002,FIRST-YR LATIN,"Rae, Andrea Lyn",30,65.6,21.17,94,9,19,6,3,1,1,1,0,0,1,4,6,0,3,1,4,1,2,1,1,2,4
UBC,2009,W,LATN,100,,004,FIRST-YR LATIN,"Rae, Andrea Lyn;Reid, Shelley",28,70.95,17.35,94,33,19,2,5,0,2,0,0,0,1,1,2,2,2,0,3,1,2,2,2,1,4
UBC,2009,W,LATN,200,,001,SECOND YR LATIN,"McElduff, Siobhan;Rae, Andrea Lyn",20,66.21,22.98,94,5,14,5,0,1,0,1,0,0,1,3,5,1,0,0,2,1,3,2,1,1,3
UBC,2010,W,CLST,110,,001,POWER&ARTS ATHEN,"Rae, Andrea Lyn",59,75.45,13.37,95,33,52,3,3,0,1,0,0,0,2,1,3,2,1,0,3,4,9,8,11,10,4
UBC,2010,W,LATN,100,,002,FIRST-YR LATIN,"Rae, Andrea Lyn",26,75.35,12.79,94,52,17,0,8,0,1,0,0,0,0,0,0,1,1,2,1,2,0,2,3,3,2
UBC,2010,W,LATN,100,,004,FIRST-YR LATIN,"Gorrie, Charmaine;Rae, Andrea Lyn",30,69.68,22.38,96,29,20,5,2,0,3,0,0,1,2,2,5,2,2,1,0,2,1,1,1,4,6
UBC,2010,W,LATN,200,,002,SECOND YR LATIN,"Rae, Andrea Lyn",27,73.71,12.15,96,50,24,0,2,0,1,0,0,0,0,0,0,3,0,1,3,2,2,5,4,2,2
UBC,2010,W,LATN,402,B,001,LATIN VERSE,"Rae, Andrea Lyn",11,80.18,13.31,91,45,10,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,3,0,4
UBC,2011,W,LATN,100,,002,FIRST-YR LATIN,"Rae, Andrea Lyn",29,64.19,19.47,94,35,17,4,8,0,0,0,0,0,1,3,4,3,2,3,2,1,0,1,0,1,4
UBC,2011,W,LATN,200,,002,SECOND YR LATIN,"Rae, Andrea Lyn",31,74.93,19.19,98,18,24,3,4,0,0,0,1,0,2,0,3,1,0,0,2,1,2,5,6,2,5
