Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,BUSI,465,,102,MARKETING MGMT,"Ladha, Zahra",7,82.5,6.16,89,71,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0
UBC,2007,W,COMM,296,,102,INTRO MARKETING,"Ladha, Zahra",59,79.71,5.51,88,63,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,17,17,13,0
UBC,2007,W,COMM,465,,101,MARKETING MGMT,"Ladha, Zahra",44,79.39,7.36,94,57,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,11,12,7,3
UBC,2007,W,COMM,465,,102,MARKETING MGMT,"Ladha, Zahra",13,79,5.97,87,67,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,3,0
UBC,2009,W,COMM,296,,205,INTRO MARKETING,"Ladha, Zahra",50,74.72,6.4,89,63,50,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,12,10,7,4,0
UBC,2009,W,COMM,296,,206,INTRO MARKETING,"Ladha, Zahra",50,76.44,5.54,87,62,50,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,8,16,13,3,0
UBC,2009,W,COMM,296,,207,INTRO MARKETING,"Ladha, Zahra",50,74.34,7.61,90,56,50,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,14,8,7,4,1
UBC,2009,W,COMM,296,,208,INTRO MARKETING,"Ladha, Zahra",48,72.77,6.17,85,57,48,0,0,0,0,0,0,0,0,0,0,0,1,3,7,7,10,15,4,1,0
UBC,2011,W,COMM,296,,205,INTRO MARKETING,"Ladha, Zahra",59,79.63,7.96,98,53,59,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,7,12,13,14,4
UBC,2011,W,COMM,296,,206,INTRO MARKETING,"Ladha, Zahra",60,78.08,5.89,91,60,60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,11,17,19,5,1
UBC,2013,W,COMM,363,,101,MARKTNG ANALYSIS,"Ladha, Zahra",42,74.88,6.52,86,62,42,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,9,8,9,3,0
UBC,2013,W,COMM,363,,102,MARKTNG ANALYSIS,"Ladha, Zahra",43,75.19,5.49,87,65,42,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,13,8,8,2,0
UBC,2013,W,COMM,363,,103,MARKTNG ANALYSIS,"Ladha, Zahra",37,76.24,6.68,86,50,37,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,13,9,2,0
UBC,2013,W,COMM,486,U,107,SPECIAL TPC BUSI,"Ladha, Zahra",37,77.08,6.77,89,53,37,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,7,10,12,2,0
UBC,2013,W,COMM,486,U,108,SPECIAL TPC BUSI,"Ladha, Zahra",38,77,5.64,88,58,38,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,13,11,2,0
UBC,2013,W,COMM,486,U,206,SPECIAL TPC BUSI,"Ladha, Zahra",38,76.11,6.51,89,53,38,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,5,17,8,1,0
UBC,2013,W,COMM,486,U,209,SPECIAL TPC BUSI,"Ladha, Zahra",39,76.33,4.8,86,64,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,10,11,1,0
UBC,2014,W,COMM,363,,101,MARKTNG ANALYSIS,"Ladha, Zahra",44,75.52,5.36,86,58,44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,14,13,8,1,0
UBC,2014,W,COMM,363,,102,MARKTNG ANALYSIS,"Ladha, Zahra",42,75.69,4.14,84,64,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,20,4,0,0
UBC,2014,W,COMM,395,,101,BUSN COMMUNICATI,"Ladha, Zahra",41,75.76,5.32,85,63,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,12,10,9,2,0
UBC,2014,W,COMM,395,,102,BUSN COMMUNICATI,"Ladha, Zahra",40,74.15,9.62,93,43,38,2,0,0,0,0,0,0,0,2,2,0,0,2,3,2,10,13,4,3,1
UBC,2014,W,COMM,395,,105,BUSN COMMUNICATI,"Ladha, Zahra",40,76.54,7.82,91,53,39,0,1,0,0,0,0,0,0,0,0,1,0,2,1,4,9,8,9,4,1
