Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,EECE,259,,201,INTRO MICROCMPTR,"Lemieux, Guy;Leung, Cyril",123,65.91,14.89,98,32,114,9,0,0,0,0,0,0,3,6,9,23,15,10,9,13,11,5,4,17,7
UBC,2002,W,EECE,259,,202,INTRO MICROCMPTR,"Lemieux, Guy;Leung, Cyril",52,50.04,15.53,86,21,28,22,1,0,1,0,0,5,9,8,22,10,5,3,0,5,2,1,1,1,0
UBC,2002,W,EECE,566,,101,COMM & INFO THRY,"Leung, Cyril",38,72.61,10.93,86,37,36,2,0,0,0,0,0,0,1,1,2,0,0,3,4,3,5,7,10,4,0
UBC,2002,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",49,78.15,6.8,93,63,33,0,2,13,1,0,0,0,0,0,0,0,0,1,1,4,4,9,7,6,1
UBC,2002,W,OBST,506,,001,SEM REPRD BIOL,"Leung, Peter C",5,83.2,4.38,87,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
UBC,2003,W,EECE,256,,101,DIGITAL LOGC DES,"Leung, Victor;Nasiopoulos, Panos",31,79.81,12.71,99,41,30,1,0,0,0,0,0,0,0,1,1,0,0,1,2,3,4,4,5,3,8
UBC,2003,W,EECE,256,,102,DIGITAL LOGC DES,"Leung, Victor;Nasiopoulos, Panos",79,67.62,15.47,100,38,69,9,0,0,1,0,0,0,1,8,9,9,12,5,6,8,6,3,7,4,9
UBC,2003,W,EECE,256,,103,DIGITAL LOGC DES,"Leung, Victor;Nasiopoulos, Panos",95,70.98,14.78,100,37,85,9,0,0,1,0,0,0,1,8,9,2,11,6,14,9,7,12,2,10,12
UBC,2003,W,EECE,456,,101,COMPUTER COMM,"Leung, Cyril",104,74.4,9.1,93,51,104,0,0,0,0,0,0,0,0,0,0,1,5,6,10,13,16,15,24,9,5
UBC,2003,W,EECE,566,,201,COMM & INFO THRY,"Leung, Cyril",14,78.71,15.24,99,46,13,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,1,2,3,3
UBC,2003,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",18,77.77,5.57,89,70,13,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,2,0
UBC,2003,W,OBST,506,,001,SEM REPRD BIOL,"Leung, Peter C",6,88,3.39,91,83,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
UBC,2005,W,EECE,454,,201,DIGITAL COMMUNIC,"Leung, Cyril",52,76.62,8.45,96,55,52,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,14,9,10,10,1
UBC,2005,W,EECE,566,,101,COMM & INFO THRY,"Leung, Cyril",15,78.86,9.4,100,68,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,0,2
UBC,2005,W,EECE,569,,201,MOBILE COM NETWK,"Leung, Victor",25,82.45,5.14,95,73,22,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4,10,4,3
