Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,LIBR,557,,002,ADV INFO RETRVL,"Davies, Bethan;LEW, SHIRLEY",17,82.71,3.22,87,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,5,0
UBC,2003,W,LIBR,557,,002,ADV INFO RETRVL,"Davies, Bethan;LEW, SHIRLEY",18,82.17,2.87,87,77,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,0
UBC,2005,W,ARST,596,,001,PROF EXPERIENCE,"LEW, SHIRLEY",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,LIBR,595,,001,PRACTICUM,"LEW, SHIRLEY",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,LIBR,595,,002,PRACTICUM,"LEW, SHIRLEY",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,LIBR,596,,001,FIELD EXPERIENCE,"LEW, SHIRLEY",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,LIBR,596,,002,FIELD EXPERIENCE,"LEW, SHIRLEY",11,,,,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,ARST,596,,002,PROF EXPERIENCE,"LEW, SHIRLEY",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,LIBR,595,,001,PRACTICUM,"LEW, SHIRLEY",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,LIBR,595,,002,PRACTICUM,"LEW, SHIRLEY",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,LIBR,596,,001,FIELD EXPERIENCE,"LEW, SHIRLEY",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,LIBR,596,,002,FIELD EXPERIENCE,"LEW, SHIRLEY",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,ARST,596,,002,PROF EXPERIENCE,"LEW, SHIRLEY",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,LIBR,595,,001,PRACTICUM,"LEW, SHIRLEY",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,LIBR,595,,002,PRACTICUM,"LEW, SHIRLEY",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,LIBR,596,,001,FIELD EXPERIENCE,"LEW, SHIRLEY",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,LIBR,596,,002,FIELD EXPERIENCE,"LEW, SHIRLEY",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,S,LIBR,596,,943,FIELD EXPERIENCE,"LEW, SHIRLEY",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,LIBR,551,,002,AUTOMATION & SYS,"LEW, SHIRLEY",17,84.18,2.53,90,81,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1
UBC,2010,W,LIBR,551,,002,AUTOMATION & SYS,"LEW, SHIRLEY",23,84.35,3.35,88,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,10,0
UBC,2012,W,FNSP,300,,001,WRIT FIRST NTNS,"Lew, Janey",10,71.4,11.82,83,45,9,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,2,3,0,0
UBC,2013,W,FNSP,300,,001,WRIT FIRST NTNS,"Lew, Janey",18,68.61,19.68,84,0,16,2,0,0,0,1,0,0,0,1,2,0,0,1,2,1,5,4,3,0,0
UBC,2015,W,FNIS,100,,002,INDIGENOUS FDNS,"Lew, Janey",52,72.18,15.54,95,0,47,3,2,0,0,1,0,0,0,2,3,1,4,3,1,7,6,5,15,2,3
UBC,2015,W,FNIS,401,J,101,SPECIAL TOPICS,"Lew, Janey",14,83.46,4.89,90,75,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,1
