Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,BASD,501,,001,CORP SOCIAL RESP,"COADY, LINDA;Lister, Jane",23,89.91,2.91,95,85,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11
UBC,2011,W,BASD,501,,001,CORP SOCIAL RESP,"COADY, LINDA;Lister, Jane",13,88.5,3.29,93,83,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5
UBC,2011,W,BASD,501,,002,CORP SOCIAL RESP,"COADY, LINDA;Lister, Jane",13,85.46,5.35,93,78,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5
UBC,2011,W,BASD,501,,302,CORP SOCIAL RESP,"COADY, LINDA;Lister, Jane",27,84.22,3.77,92,78,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,2
UBC,2012,W,PHYS,101,,202,ENERGY & WAVES,"Bates, Simon;Lister, Alison;Rieger, Georg",283,71.05,16.69,99,11,243,32,7,0,1,0,1,5,14,12,32,5,20,22,17,19,34,21,43,29,33
UBC,2013,W,PHYS,101,,102,ENERGY & WAVES,"Bates, Frances;Lister, Alison;Milner, Valery",235,73.61,12.68,98,44,212,16,6,0,1,0,0,0,0,16,16,6,8,10,21,35,24,29,29,28,22
UBC,2013,W,PHYS,209,,L0A,INTRM PHYS LAB,"Kotlicki, Andrzej;Lister, Alison",38,79.92,9.85,93,53,37,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,5,3,10,7,6
UBC,2013,W,PHYS,209,,L0E,INTRM PHYS LAB,"Gay, Colin;Kotlicki, Andrzej;Lister, Alison",30,77.07,19.63,94,12,25,2,3,0,0,0,1,1,0,0,2,0,1,1,1,0,2,4,4,4,8
UBC,2013,W,PHYS,209,,L0I,INTRM PHYS LAB,"Kotlicki, Andrzej;Lister, Alison",36,74.76,17.9,93,6,32,2,2,0,0,1,0,0,1,0,2,0,3,1,2,3,2,3,7,5,6
UBC,2014,W,PHYS,101,,102,ENERGY & WAVES,"Lister, Alison",232,72.41,12.28,96,43,205,19,3,0,5,0,0,0,0,19,19,3,8,21,14,30,29,31,30,24,15
UBC,2015,W,PHYS,101,,203,ENERGY & WAVES,"Lister, Alison",232,73.09,12.67,96,33,206,21,3,0,2,0,0,0,2,19,21,1,7,11,14,28,42,20,41,25,17
UBC,2015,W,PHYS,400,,201,INTR ELEM PRTCLS,"Lister, Alison",48,71.31,15.92,99,29,34,5,9,0,0,0,0,1,0,4,5,2,0,5,1,4,5,3,6,4,4
UBC,2015,W,PHYS,506,,201,ELM PRTICLE PHYS,"Lister, Alison",4,91.25,10.87,100,76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
UBC,2016,W,PHYS,101,,103,ENERGY & WAVES,"Lister, Alison",274,74.3,13.5,96,37,235,28,8,0,2,0,0,0,1,27,28,1,5,10,15,32,28,38,49,28,29
UBC,2016,W,PHYS,400,,201,INTR ELEM PRTCLS,"Lister, Alison",31,72.38,19.55,100,31,25,4,2,0,0,0,0,0,2,2,4,1,1,5,0,0,4,1,5,2,6
UBC,2016,W,PHYS,506,,201,ELM PRTICLE PHYS,"Lister, Alison",9,76.67,20.59,91,25,8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,2,2
UBC,2017,W,PHYS,101,,103,ENERGY & WAVES,"Lister, Alison",243,74.3,12.5,98,30,223,18,1,0,1,0,0,0,1,17,18,0,3,13,16,43,30,25,40,31,22
UBC,2017,W,PHYS,400,,101,INTR ELEM PRTCLS,"Lister, Alison",35,78.38,11.68,96,54,29,0,3,0,3,0,0,0,0,0,0,1,2,0,1,4,3,2,6,4,6
UBC,2017,W,PHYS,506,,101,ELM PRTICLE PHYS,"Lister, Alison",4,83.5,11.96,98,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
