Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ISCI,322,,101,SCIE MEAS&INSTR,"Gosline, John;Whitehead, Lorne",28,82.18,3.82,91,76,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,7,1
UBC,2002,W,PHYS,258,,101,PRINCP PHOTONICS,"Curzon, Francis L;Whitehead, Lorne",58,69.98,12.4,92,40,53,3,1,0,1,0,0,0,0,3,3,5,2,5,7,6,11,1,10,3,3
UBC,2003,W,ISCI,322,,101,SCIE MEAS&INSTR,"Gosline, John;Whitehead, Lorne",44,81.05,4.6,89,63,43,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,24,9,0
UBC,2003,W,PHYS,258,,101,PRINCP PHOTONICS,"Curzon, Francis L;Whitehead, Lorne",60,77.39,13.94,98,25,57,2,1,0,0,0,0,1,1,0,2,2,1,3,5,2,6,0,20,9,9
UBC,2005,W,MEDG,530,,001,ADV HUMAN GENE,"Clarke, Lorne",21,92.43,4.42,98,81,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17
UBC,2006,W,MEDG,530,,001,ADV HUMAN GENE,"Clarke, Lorne",19,90.74,5.15,97,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,14
UBC,2007,W,MEDG,530,,001,ADV HUMAN GENE,"Clarke, Lorne",20,94.7,2.58,99,90,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
UBC,2009,W,ISCI,322,,101,SCIE MEAS&INSTR,"Groat, Lee;Whitehead, Lorne",8,82,5.86,90,71,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1
UBC,2017,W,CIVL,478,,101,BLDG SCIENCE,"Ricketts, Lorne",78,77.91,8.84,90,58,76,0,1,1,0,0,0,0,0,0,0,0,3,5,2,6,11,10,19,17,3
UBC,2018,W,CIVL,478,,101,BLDG SCIENCE,"Ricketts, Lorne",64,80.03,11.27,95,45,60,3,0,0,1,0,0,0,0,3,3,0,0,1,5,2,4,10,8,20,10
