Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,MINE,585,,201,RES DEV&ABORIGNL,"Mills, Dawn",14,85.36,8.73,98,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,7
UBC,2011,W,APSC,450,,101,PROF ENG PRACTCE,"Mills, Dawn",361,74.13,6.19,98,50,358,0,2,0,1,0,0,0,0,0,0,2,9,9,26,56,97,92,63,3,1
UBC,2011,W,MINE,585,,201,RES DEV&ABORIGNL,"Mills, Dawn",7,87.6,10.74,96,70,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
UBC,2012,W,MINE,585,,201,RES DEV&ABORIGNL,"Mills, Dawn",6,93,3.46,98,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
UBC,2013,W,APSC,450,,101,PROF ENG PRACTCE,"Mills, Dawn",352,76.25,8.63,94,10,347,3,2,0,0,0,1,0,0,2,3,1,3,15,16,48,70,72,73,33,16
UBC,2013,W,APSC,450,,201,PROF ENG PRACTCE,"Mills, Dawn;Taghipour, Fariborz",238,75.08,7.46,90,25,236,2,0,0,0,0,0,1,1,0,2,2,1,7,12,35,60,39,67,11,2
UBC,2013,W,MINE,585,,201,RES DEV&ABORIGNL,"Mills, Dawn",10,97.3,1.34,98,94,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
UBC,2014,W,APSC,450,,101,PROF ENG PRACTCE,"Mills, Dawn",370,81.66,8.11,98,50,369,0,1,0,0,0,0,0,0,0,0,1,1,5,9,29,38,37,107,74,68
UBC,2014,W,APSC,450,,201,PROF ENG PRACTCE,"Mills, Dawn;Taghipour, Fariborz",353,82.63,5.64,96,55,349,0,4,0,0,0,0,0,0,0,0,0,2,0,3,8,22,36,133,110,35
UBC,2014,W,MINE,585,,201,RES DEV&ABORIGNL,"Mills, Dawn",8,95.13,2.64,98,90,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UBC,2015,W,APSC,450,,101,PROF ENG PRACTCE,"Mills, Dawn",338,82.46,7.84,97,0,335,2,1,0,0,1,0,1,0,0,2,0,1,3,2,4,21,32,135,93,44
UBC,2015,W,APSC,450,,201,PROF ENG PRACTCE,"Mills, Dawn;Taghipour, Fariborz",252,80.83,6.47,95,51,252,0,0,0,0,0,0,0,0,0,0,1,0,2,5,11,28,28,107,47,23
UBCV,2014,W,APSC,262,,201,Technology and Society II,Dawn Mills;Naoko Ellis;Paul Winkelman;Saloome Motavas,105,77.8952381,11.44713922,98.0,0.0,,,,,,,,,,,,,,,,11,17,9,28,22,9
UBCV,2014,W,APSC,450,,101,Professional Engineering Practice,Dawn Mills,369,81.66124661,8.111092751,98.0,50.0,,,,,,,,,,,0,,,5,9,29,38,37,107,74,68
UBCV,2014,W,APSC,450,,201,Professional Engineering Practice,Dawn Mills;Fariborz Taghipour,349,82.62750716,5.63842929,96.0,55.0,,,,,,,,,,,0,0,2,0,3,8,22,36,133,110,35
UBCV,2014,W,MINE,585,,201,Mineral Resource Development and Canadian Aboriginal People,Dawn Mills,8,95.125,2.642374473,98.0,90.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8
UBCV,2015,W,APSC,450,,101,Professional Engineering Practice,Dawn Mills,337,82.459940653,7.838722032,97.0,0.0,,,,,,,,,,,,,,,2,4,21,32,135,93,44
UBCV,2015,W,APSC,450,,201,Professional Engineering Practice,Dawn Mills;Fariborz Taghipour,252,80.829365079,6.47264015,95.0,51.0,,,,,,,,,,,0,,,,5,11,28,28,107,47,23
