Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2018,W,ATSC,113,,101,APPL METEOROLOGY,"Howard, Rosemary;McCollor, Douglas;Stull, Roland;West, Gregory",252,85.62,13.77,100,23,236,9,4,0,1,0,0,1,3,5,9,1,2,4,4,11,14,8,30,33,129,,,
UBC,2018,W,ATSC,113,,201,APPL METEOROLOGY,"McCollor, Douglas;Stull, Roland",517,88.29,13.46,100,0,488,18,4,0,5,1,0,0,4,13,18,3,3,1,7,13,13,21,49,55,323,,,
UBC,2018,W,ATSC,113,,99A,APPL METEOROLOGY,"Howard, Rosemary;McCollor, Douglas;Stull, Roland;West, Gregory",77,75.49,16.54,100,39,67,7,2,0,1,0,0,0,1,6,7,4,2,5,1,5,5,6,11,9,19,,,
UBC,2018,W,ATSC,113,,99C,APPL METEOROLOGY,"McCollor, Douglas;Stull, Roland",149,79.75,16.97,100,25,131,15,0,0,2,0,0,2,4,9,15,2,1,3,4,6,9,8,16,28,54,,,
UBCV,2022,S,ATSC,113,,98A,Applied Meteorology,Douglas McCollor;Roland Stull,181,76.5,,98.0,0.0,,,,,,,,,,,14,0,5,7,5,19,18,22,25,35,31,80.0,87.0,70.0
UBCV,2022,S,ATSC,113,,971,Applied Meteorology,Douglas McCollor;Roland Stull,27,71.6,,94.0,34.0,,,,,,,,,,,2,1,0,3,1,6,3,3,5,0,3,72.0,81.5,66.5
UBCV,2022,W,ATSC,113,,99A,Applied Meteorology,Douglas McCollor;Roland Stull,299,74.4,,98.0,0.0,,,,,,,,,,,51,2,5,3,12,14,22,27,49,57,57,81.0,88.0,68.0
UBCV,2022,W,ATSC,113,,99C,Applied Meteorology,Douglas McCollor;Roland Stull,277,74.8,,97.0,0.0,,,,,,,,,,,37,3,2,8,14,20,21,24,39,63,46,81.0,88.0,68.0
UBCV,2022,W,ATSC,313,,99C,Renewable Energy Meteorology,Douglas McCollor;Roland Stull,72,76.7,,99.0,2.0,,,,,,,,,,,4,0,1,0,5,8,7,10,14,14,9,80.0,86.0,71.5
UBCV,2022,W,EOSC,114,,201,The Catastrophic Earth: Natural Disasters,Brett Gilley;Maria Maldonado-Pareja;Douglas McCollor;Lucy Porritt;James Kelly Russell;Leah May Ver,177,76.2,,96.0,32.0,,,,,,,,,,,5,4,5,9,13,15,18,29,26,27,26,77.0,85.0,68.0
UBCV,2022,W,EOSC,114,,202,The Catastrophic Earth: Natural Disasters,Brett Gilley;Maria Maldonado-Pareja;Douglas McCollor;Lucy Porritt;James Kelly Russell;Leah May Ver,197,75.8,,95.0,8.0,,,,,,,,,,,4,3,10,12,15,17,19,21,33,37,26,78.0,85.0,68.0
UBCV,2023,S,ATSC,113,,98A,Applied Meteorology,Douglas McCollor;Roland Stull,81,71.42,,94.0,0.0,,,,,,,,,,,13,1,0,1,7,7,4,8,20,11,5,77.0,84.0,67.0
UBCV,2023,W,ATSC,113,,99A,Applied Meteorology,Douglas McCollor;Roland Stull,298,72.8,,97.0,0.0,,,,,,,,,,,41,1,6,7,9,14,28,40,60,55,26,79.0,85.0,70.0
UBCV,2023,W,ATSC,113,,99C,Applied Meteorology,Douglas McCollor;Roland Stull,345,72.9,,96.0,0.0,,,,,,,,,,,55,0,7,6,11,16,25,42,75,66,35,80.0,86.0,69.3
UBCV,2023,W,ATSC,313,,99A,Renewable Energy Meteorology,Douglas McCollor;Roland Stull,14,76.2,,96.0,36.0,,,,,,,,,,,1,0,0,1,1,2,1,1,2,2,3,78.5,86.8,69.3
UBCV,2023,W,ATSC,313,,99C,Renewable Energy Meteorology,Douglas McCollor;Roland Stull,82,81.3,,100.0,27.0,,,,,,,,,,,1,1,0,0,2,7,8,3,17,24,14,83.0,87.0,76.0
UBCV,2023,W,EOSC,114,,101,The Catastrophic Earth: Natural Disasters,Lindsey Abdale;Maria Maldonado-Pareja;Douglas McCollor;Simon Peacock;Lucy Porritt;Matthijs Smit,102,74.0,,96.0,40.0,,,,,,,,,,,5,1,4,5,7,12,10,10,24,10,8,76.0,82.3,68.0
UBCV,2023,W,EOSC,114,,102,The Catastrophic Earth: Natural Disasters,Lindsey Abdale;Maria Maldonado-Pareja;Douglas McCollor;Simon Peacock;Lucy Porritt;Matthijs Smit,173,73.7,,93.0,5.0,,,,,,,,,,,5,4,8,12,12,23,18,26,29,25,10,76.0,82.3,68.0
