Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,MATH,220,,203,ANALYSIS 1,"Martin, Gregory",39,61.12,18.03,99,12,31,3,5,0,0,0,1,1,1,0,3,9,4,4,3,1,2,2,3,1,2,,,
UBC,2002,W,MATH,331,,201,PROBLEM SOLVING,"Martin, Gregory",22,66.83,18.2,96,32,15,3,1,0,3,0,0,0,2,1,3,1,1,2,0,1,3,1,3,2,1,,,
UBC,2002,W,MATH,432,B,101,TOPICS IN ALGBRA,"Martin, Gregory",8,79.57,16.31,94,54,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,,,
UBC,2002,W,MATH,537,,101,ALG NUM THRY I,"Martin, Gregory",6,86.17,4.54,92,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,
UBC,2002,W,MATH,599,,101,MATH TEACHG TECH,"Martin, Gregory",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2003,W,MATH,537,,101,ALG NUM THRY I,"Martin, Gregory",6,86.67,3.61,91,82,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,
UBC,2003,W,MATH,599,,101,MATH TEACHG TECH,"Martin, Gregory",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2005,W,MATH,539,,101,ANALYT NUM THRY,"Martin, Gregory",12,89.11,6.51,100,80,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,,,
UBC,2005,W,MATH,599,,101,MATH TEACHG TECH,"Martin, Gregory",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2006,W,MATH,331,,201,PROBLEM SOLVING,"Martin, Gregory",19,57.69,35.37,98,0,11,5,2,0,1,2,2,0,1,0,5,1,1,1,0,1,0,1,1,1,4,,,
UBC,2006,W,MATH,540,,201,TPCS NUM THEORY,"Martin, Gregory",4,95,0,95,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,
UBC,2006,W,MATH,599,,101,MATH TEACHG TECH,"Martin, Gregory",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2007,W,MATH,437,,101,NUMBER THEORY,"Martin, Gregory",7,72.83,14.69,85,46,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,0,,,
UBC,2007,W,MATH,537,,101,ELEM NUMBER THRY,"Martin, Gregory",5,88,2.74,90,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,
UBC,2007,W,MATH,599,,101,MATH TEACHG TECH,"Martin, Gregory",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2009,W,MATH,539,,201,ANALYT NUM THRY,"Martin, Gregory",10,84.56,8.17,99,75,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,3,,,
UBC,2010,W,MATH,223,,101,LINEAR ALGEBRA I,"Martin, Gregory",58,75.02,17.01,98,27,49,4,5,0,0,0,0,2,0,2,4,2,3,3,4,4,3,3,7,9,11,,,
UBC,2010,W,MATH,613,E,201,NUMBER THEORY,"Martin, Gregory",7,89.71,4.31,95,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,,,
UBC,2011,W,MATH,223,,101,LINEAR ALGEBRA I,"Martin, Gregory",42,71.35,14.72,93,30,37,3,2,0,0,0,0,0,1,2,3,1,3,5,1,5,3,3,8,6,2,,,
UBC,2011,W,MATH,539,,201,ANALYT NUM THRY,"Martin, Gregory",7,84.67,8.98,96,71,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,,,
UBC,2012,W,MATH,101,,202,INT CALC AP PH S,"Martin, Gregory",130,71.11,14.55,95,18,120,9,1,0,0,0,1,0,2,6,9,9,6,9,11,20,9,6,26,15,9,,,
UBC,2012,W,MATH,101,,205,INT CALC AP PH S,"Martin, Gregory",237,67.61,15.56,100,19,200,30,3,0,4,0,1,2,5,22,30,16,25,14,17,28,20,16,30,23,11,,,
UBC,2014,W,MATH,101,,206,INT CALC AP PH S,"Martin, Gregory",204,66.2,15.5,97,21,178,21,2,0,3,0,0,6,4,11,21,24,17,21,15,27,16,16,17,13,12,,,
UBC,2014,W,MATH,437,,101,NUMBER THEORY,"Martin, Gregory",7,65.17,20.46,97,34,5,1,1,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,1,,,
UBC,2014,W,MATH,537,,101,ELEM NUMBER THRY,"Martin, Gregory",7,81.43,17.28,98,45,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,,,
UBC,2015,W,MATH,101,,211,INT CALC AP PH S,"Martin, Gregory",300,59.8,17.82,95,3,218,64,9,1,8,2,4,11,25,22,64,30,32,26,27,28,19,17,21,9,9,,,
UBC,2016,W,MATH,101,,211,INT CALC AP PH S,"Martin, Gregory",293,57.77,17.83,89,5,200,73,10,0,10,2,7,13,25,26,73,37,29,19,25,17,25,14,25,9,0,,,
UBC,2016,W,MATH,437,,101,NUMBER THEORY,"Martin, Gregory",16,79.71,14.07,97,50,14,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,4,3,3,,,
UBC,2017,W,MATH,220,,102,MATH PROOF,"Martin, Gregory",67,59.42,15.91,90,27,49,18,0,0,0,0,0,1,9,8,18,8,5,6,3,9,7,5,4,1,1,,,
UBC,2017,W,MATH,220,,104,MATH PROOF,"Martin, Gregory",67,67.14,13.18,95,27,61,4,1,0,1,0,0,1,1,2,4,8,5,6,5,12,11,4,4,3,3,,,
UBC,2017,W,MATH,539,,201,ANALYT NUM THRY,"Martin, Gregory",13,83.15,4.79,93,72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,1,,,
UBC,2018,W,MATH,592,A,101,AUTOMORPHIC FORM,"Martin, Gregory",6,95,0,95,95,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,
UBC,2018,W,MATH,592,A,201,AUTOMORPHIC FORM,"Martin, Gregory",6,95,0,95,95,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,
UBCV,2014,W,MATH,101,,101,Integral Calculus with Applications to Physical Sciences and Engineering,Anna Barry;Gregory Martin,107,61.74766355,17.27583843,97.0,0.0,,,,,,,,,,,13,17,9,15,7,18,11,,8,,5,,,
UBCV,2014,W,MATH,101,,201,Integral Calculus with Applications to Physical Sciences and Engineering,Gregory Martin;Keqin Liu;Shirin Boroushaki,180,60.61111111,18.23110145,99.0,0.0,,,,,,,,,,,34,28,19,15,17,12,15,12,14,9,5,,,
UBCV,2014,W,MATH,101,,202,Integral Calculus with Applications to Physical Sciences and Engineering,Gregory Martin;Hexi Ye;Shirin Boroushaki,59,68.69491525,15.07138673,98.0,26.0,,,,,,,,,,,6,5,,,7,6,6,7,7,,,,,
UBCV,2014,W,MATH,101,,203,Integral Calculus with Applications to Physical Sciences and Engineering,Baptiste Devyver;Gregory Martin;Shirin Boroushaki,73,72.06849315,16.0868552,97.0,33.0,,,,,,,,,,,,5,11,,,5,5,,10,11,11,,,
