Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,ARTH,367,,001,JPN ART: 16-19TH,"Adriasola Munoz, Ignacio Alber",59,75.35,15.87,89,0,55,2,1,0,0,2,0,0,0,0,2,0,1,0,2,3,11,12,20,6,0
UBC,2014,W,ARTH,553,A,001,JAPANESE ART,"Adriasola Munoz, Ignacio Alber",5,89.6,4.56,94,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
UBC,2015,W,ARTH,363,,001,JPN: PROB PAINT,"Adriasola Munoz, Ignacio Alber",32,79.58,9.9,92,36,30,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,7,12,7,1
UBC,2015,W,ARTH,368,,001,JPN: PRINT MEDIA,"Adriasola Munoz, Ignacio Alber",42,74,19.57,94,0,38,3,1,0,0,2,0,0,0,1,3,1,0,1,1,4,5,6,10,7,3
UBC,2015,W,ARTH,464,,001,JAPANESE ART,"Adriasola Munoz, Ignacio Alber",12,84.92,3.48,90,80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1
UBC,2016,W,ARTH,251,,001,ASIAN ARTS,"Adriasola Munoz, Ignacio Alber",29,79.69,12.05,95,42,25,1,3,0,0,0,0,0,0,1,1,1,0,1,0,0,3,3,8,4,5
UBC,2016,W,ARTH,362,,001,JPN: OBJCT&SPACE,"Adriasola Munoz, Ignacio Alber",44,78.29,7.54,93,56,41,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,6,13,9,7,1
UBC,2016,W,ARTH,369,,001,JPN: MOD VIS CUL,"Adriasola Munoz, Ignacio Alber",44,79.79,13.42,92,27,41,2,0,0,0,0,0,2,0,0,2,0,0,1,1,1,1,7,13,13,4
UBC,2016,W,ARTH,553,A,001,JAPANESE ART,"Adriasola Munoz, Ignacio Alber",4,87.75,2.22,90,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
UBC,2017,W,ARTH,227,,001,VIS ENV MOD&POST,"Adriasola Munoz, Ignacio Alber",61,77.1,13,94,0,59,1,1,0,0,1,0,0,0,0,1,1,0,1,3,7,7,13,14,8,5
UBC,2017,W,ARTH,363,,001,JPN: PROB PAINT,"Adriasola Munoz, Ignacio Alber",38,78.71,7.76,91,56,35,0,3,0,0,0,0,0,0,0,0,0,1,0,0,6,4,7,8,5,4
UBC,2017,W,ARTH,368,,001,JPN: PRINT MEDIA,"Adriasola Munoz, Ignacio Alber",33,76.5,15.98,87,0,30,2,1,0,0,1,0,0,0,1,2,0,0,0,0,2,5,4,13,6,0
UBC,2017,W,ARTH,464,,001,JAPANESE ART,"Adriasola Munoz, Ignacio Alber",14,77.46,11.69,90,49,12,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,6,1,1
UBC,2018,W,ARTH,227,,002,VIS ENV MOD&POST,"Adriasola Munoz, Ignacio Alber",73,71.47,18.45,91,0,61,7,3,0,2,2,1,0,2,2,7,0,2,1,3,9,8,15,14,6,3
UBC,2018,W,ARTH,369,,001,JPN: MOD VIS CUL,"Adriasola Munoz, Ignacio Alber",61,79.63,9.43,93,43,57,2,1,0,0,0,0,0,0,2,2,1,0,0,0,1,5,16,17,11,6
UBC,2018,W,ARTH,553,A,001,JAPANESE ART,"Adriasola Munoz, Ignacio Alber",7,86.8,2.28,89,83,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
UBC,2018,W,ARTH,571,,001,METH ART HIST,"Adriasola Munoz, Ignacio Alber",12,90.09,2.26,94,87,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
