Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,LING,502,,001,SYNTAX & SEMANT,"Matthewson, Lisa;Wiltschko, Martina",11,87.45,3.21,93,83,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,,,
UBC,2002,W,LING,525,,001,SEM THEOR,"Matthewson, Lisa",10,88.4,2.72,92,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,,,
UBC,2003,W,LING,427,A,001,INTRO TO SEMANTC,"Matthewson, Lisa",17,77.24,8.24,92,64,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,8,1,1,,,
UBC,2003,W,LING,502,,001,SYNTAX & SEMANT,"Matthewson, Lisa;Wiltschko, Martina",9,90,2.5,93,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,,,
UBC,2003,W,LING,525,,001,SEM THEOR,"Matthewson, Lisa",6,88.83,3.19,92,83,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,,,
UBC,2005,W,LING,436,,001,COMM LANG RSRCH,"Matthewson, Lisa",4,87.67,5.03,93,83,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,
UBC,2005,W,LING,447,A,001,TOPICS IN LING,"Matthewson, Lisa;Rullmann, Hotze",20,72.57,20.93,92,10,13,1,0,6,0,0,1,0,0,0,1,0,2,0,0,1,1,3,2,2,2,,,
UBC,2005,W,LING,502,,001,SYNTAX & SEMANT,"Davis, Henry Thomas;Matthewson, Lisa",5,67.2,37.57,85,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,,,
UBC,2005,W,LING,530,B,002,PROB IN SPC AREA,"Matthewson, Lisa;Rullmann, Hotze",8,87,0,87,87,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
UBC,2006,W,LING,431,,001,FIELD METHODS I,"Matthewson, Lisa",6,81,6.87,87,68,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,,,
UBC,2006,W,LING,432,,001,FIELD METHODS II,"Matthewson, Lisa",5,80.6,7.33,90,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,,,
UBC,2006,W,LING,531,,001,FLD MTHD LING I,"Matthewson, Lisa",10,85.56,1.59,88,83,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,,,
UBC,2006,W,LING,532,,001,FLD MTHD LING II,"Matthewson, Lisa",9,86.11,2.15,89,83,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,,,
UBC,2009,W,LING,100,,001,INTR LANG&LING,"Matthewson, Lisa",249,74.49,9.7,98,0,239,4,6,0,0,1,0,0,0,3,4,2,7,14,17,30,38,60,47,19,5,,,
UBC,2009,W,LING,530,A,002,PROB IN SPC AREA,"Matthewson, Lisa;Rullmann, Hotze",7,87.17,4.02,92,82,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,,,
UBC,2009,W,LING,530,B,001,PROB IN SPC AREA,"Matthewson, Lisa;Rullmann, Hotze",10,87.5,4.68,93,82,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,
