Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2018,W,LING,425,,001,ADV SEMANTICS,"Morzycki, Marcin",9,87.56,7.55,100,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,,,
UBCV,2018,W,LING,425,,001,Advanced Semantics,Lisa Matthewson;Marcin Morzycki,9,87.555555556,7.551673839,100.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,0,2,2,4,,,
UBCV,2019,S,LING,201,,921,Linguistic Theory and Analysis II,Henry Thomas Davis;Marcin Morzycki,26,90.576923077,10.492561468,100.0,67.0,,,,,,,,,,,0,0,0,0,1,2,1,1,0,3,18,,,
UBCV,2019,W,LING,201,,001,Linguistic Theory and Analysis II,Adriana Osa Gomez Del Campo;Henry Thomas Davis;Marcin Morzycki;Marianne Huijsmans;Nicholas Baier;Raiane Oliveira Salles,115,81.808695652,9.970918813,97.0,32.0,,,,,,,,,,,1,1,1,2,3,7,10,15,20,28,27,,,
UBCV,2019,W,LING,425,,001,Advanced Semantics,Hotze Rullmann;Marcin Morzycki,11,92.181818182,7.068496047,100.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,2,7,,,
UBCV,2019,W,LING,525,,001,Semantic Theory and Analysis,Hotze Rullmann;Marcin Morzycki,7,96.285714286,4.923220007,100.0,87.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,6,,,
UBCV,2020,S,LING,201,,921,Linguistic Theory and Analysis II,Erin Guntly;Marcin Morzycki,37,77.27027027,7.585251218,95.0,61.0,,,,,,,,,,,0,0,0,2,1,5,7,8,8,3,3,,,
UBCV,2020,W,LING,425,,001,Advanced Semantics,Marcin Morzycki,9,91.555555556,9.475113602,100.0,72.0,,,,,,,,,,,0,0,0,0,0,0,1,0,1,2,5,,,
UBCV,2020,W,LING,525,,001,Semantic Theory and Analysis,Marcin Morzycki,6,79.0,30.039973369,100.0,21.0,,,,,,,,,,,1,0,0,0,0,0,1,0,1,0,3,,,
UBCV,2021,S,LING,201,,921,Linguistic Theory and Analysis II,Donald Derrick;Holly Davies;Marcin Morzycki,40,82.1,7.695486523,99.0,68.0,,,,,,,,,,,0,0,0,0,0,1,9,7,9,6,8,,,
UBCV,2021,W,LING,447,P,002,Topics in Linguistics,Anne-Michelle Tessier;Marcin Morzycki,23,87.304347826,13.559413981,99.0,53.0,,,,,,,,,,,0,1,1,0,1,1,0,1,1,4,13,,,
UBCV,2021,S,LING,201,,921,Linguistic Theory and Analysis II,Marcin Morzycki,40,82.1,,99.0,68.0,,,,,,,,,,,,,,,,,9,7,9,6,8,81.5,85.3,76.5
UBCV,2021,W,LING,447,P,002,Topics in Linguistics,Marcin Morzycki;Anne-Michelle Tessier,23,87.3,,99.0,53.0,,,,,,,,,,,,,,,,,,,,,13,93.0,97.0,84.0
UBCV,2022,W,LING,327,,001,Introduction to Semantics,Marcin Morzycki,58,87.6,,98.0,74.0,,,,,,,,,,,0,0,0,0,0,0,1,4,14,15,24,87.0,92.0,83.0
UBCV,2022,W,LING,527,,001,Topics in Semantics,Marcin Morzycki,8,85.0,,100.0,0.0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,7,95.0,100.0,95.0
UBCV,2023,W,LING,201,,002,Linguistic Theory and Analysis II,Marcin Morzycki,123,82.8,,100.0,63.0,,,,,,,,,,,0,0,0,2,3,4,21,18,27,7,36,82.0,90.0,75.3
UBCV,2023,W,LING,327,,001,Introduction to Semantics,Marcin Morzycki,57,80.3,,100.0,57.0,,,,,,,,,,,0,0,2,2,4,5,5,8,8,8,13,80.0,89.0,72.0
UBCV,2023,W,LING,447,D,002,Topics in Linguistics,Marcin Morzycki,37,87.9,,100.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,10,13,12,87.0,91.3,83.0
