Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2013,W,PATH,406,,001,CLIN CHEM,"Dooley, Kent;Frohlich, Jiri;Hill, John Stuart;Holmes, Daniel;Keller, Bernd;Mattman, Andre;Monsalve, Maria Victoria;Nimmo, Michael;Pudek, Morris;Schreiber, William;Tomalty, Cheryl;Vallance, Hilary",22,83.91,5.41,93,75,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,8,3,,,
UBC,2014,W,PATH,406,,001,CLIN CHEM,"Dooley, Kent;Frohlich, Jiri;Hill, John Stuart;Holmes, Daniel;Mattman, Andre;Monsalve, Maria Victoria;Nimmo, Michael;Pudek, Morris;Schreiber, William;Tomalty, Cheryl;Vallance, Hilary",23,80.78,8.96,93,63,23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,5,9,2,,,
UBC,2015,W,PATH,406,,001,CLIN CHEM,"Dooley, Kent;Frohlich, Jiri;Hauff, Kristin;Hill, John Stuart;Holmes, Daniel;Jung, Benjamin;Mattman, Andre;Monsalve, Maria Victoria;Palaty, Jan;Pudek, Morris;Schreiber, William;Tomalty, Cheryl;Tucker, Tracy;Vallance, Hilary",20,77.85,8.54,88,57,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,1,6,5,0,,,
UBCV,2014,W,PATH,406,,001,Clinical Chemistry,Andre Mattman;Cheryl Tomalty;Daniel Holmes;Hilary Vallance;Jiri Frohlich;John Stuart Hill;Kent Dooley;Maria Victoria Monsalve;Michael Nimmo;Morris Pudek;William Schreiber,23,80.7826087,8.959284274,93.0,63.0,,,,,,,,,,,0,0,0,,,,,,5,9,,,,
UBCV,2015,W,PATH,406,,001,Clinical Chemistry,Andre Mattman;Benjamin Jung;Cheryl Tomalty;Daniel Holmes;Hilary Vallance;Jan Palaty;Jiri Frohlich;John Stuart Hill;Kent Dooley;Kristin Hauff;Maria Victoria Monsalve;Morris Pudek;Tracy Tucker;William Schreiber,20,77.85,8.536454336,88.0,57.0,,,,,,,,,,,0,0,,,,,,,6,5,0,,,
UBCV,2018,W,PATH,406,,001,Clinical Chemistry,Andre Mattman;Angela Fung;Benjamin Jung;Cheryl Tomalty;Daniel Holmes;Dennis Orton;Hilary Vallance;Jan Palaty;Janet Simons;Kent Dooley;Kristin Hauff;Li Wang;Maria Victoria Monsalve;Morris Pudek;Ramesh Saeedi;Sophia Park;Sophia Wong;Tracy Tucker;Vilte Barakauskas;William Schreiber,12,77.333333333,11.348474734,91.0,57.0,,,,,,,,,,,0,0,2,0,0,1,2,0,3,2,2,,,
UBCV,2019,W,PATH,406,,001,Clinical Chemistry,Allison Matthews;Andre Mattman;Angela Fung;Bradley Coe;Cheryl Tomalty;Daniel Holmes;Dennis Orton;Hans Frykman;Hilary Vallance;Jake Cosme;Jan Palaty;Janet Simons;Karina Rodriguez-Capote;Kent Dooley;Li Wang;Liam Brunham;Maria Victoria Monsalve;Morris Pudek;Ramesh Saeedi;Sophia Park;Sophia Wong;Vilte Barakauskas,24,85.25,6.201332255,92.0,70.0,,,,,,,,,,,0,0,0,0,0,1,2,1,4,9,7,,,
UBCV,2020,W,PATH,406,,001,Clinical Chemistry,Allison Matthews;Amanda Bradley;Andre Mattman;Angela Fung;Bradley Coe;Catherine Cheng;Cheryl Tomalty;Daniel Holmes;Hans Frykman;Hilary Vallance;Jake Cosme;Jan Palaty;Janet Simons;Karina Rodriguez-Capote;Kent Dooley;Li Wang;Liam Brunham;Maria Victoria Monsalve;Morris Pudek;Ramesh Saeedi;Sophia Park;Sophia Wong;Sukhbir Kaur;Vilte Barakauskas,22,81.818181818,7.429903311,92.0,62.0,,,,,,,,,,,0,0,0,1,0,1,1,3,7,5,4,,,
UBCV,2021,W,PATH,406,,001,Clinical Chemistry,Allison Matthews;Amanda Bradley;Andre Mattman;Angela Fung;Bradley Coe;Catherine Cheng;Cheryl Tomalty;Christine Collier;Daniel Holmes;Hans Frykman;Hilary Vallance;Jake Cosme;Jan Palaty;Janet Simons;Jennifer Xenakis;Jenny Tai;Juliana Li;Ka On Tai;Li Wang;Liam Brunham;Maria Victoria Monsalve;Ramesh Saeedi;Sophia Park;Sophia Wong;Sukhbir Kaur;Vilte Barakauskas,22,74.363636364,10.417683933,91.0,57.0,,,,,,,,,,,0,0,3,2,1,2,2,3,5,3,1,,,
UBCV,2021,W,PATH,406,,001,Clinical Chemistry,Vilte Barakauskas;Amanda Bradley;Liam Brunham;Catherine Cheng;Bradley Coe;Christine Collier;Jake Cosme;Hans Frykman;Angela Fung;Daniel Holmes;Sukhbir Kaur;Allison Matthews;Andre Mattman;Maria Victoria Monsalve;Jan Palaty;Sophia Park;Janet Simons;Ka On Tai;Cheryl Tomalty;Hilary Vallance;Li Wang;Jennifer Xenakis,22,74.4,,91.0,57.0,,,,,,,,,,,,,,,,,,,,,,77.0,81.8,65.3
