Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2014,W,EOSC,422,,201,Structural Geology II,Jamie Alistair Cutts;Jamie Cutts;Lori Kennedy;Nichole Moerhuis,14,77.92857143,24.38304671,97.0,0.0,,,,,,,,,,,6,,,
UBCV,2015,W,EOSC,424,,201,Advanced Mineral Deposits,Barry Jay Penner;Barry Penner;Lucy Porritt;Nichole Moerhuis,22,80.409090909,7.449251103,90.0,61.0,0,0,0,,,,,,7,6,,,,
UBCV,2016,W,EOSC,223,,201,Field Techniques,Amy Ryan;Catherine Armstrong;Catherine Jean Armstrong;James Mortensen;Kathryn Grodzicki;Kirsten Anne Simpson;Kirsten Simpson;Lucy Porritt;Mary Lou Bevier;Nichole Moerhuis;Robert Marc Bustin,68,73.85294118,7.586839953,88.0,43.0,1,1,0,4,3,12,15,16,12,4,0,,,
UBCV,2016,W,EOSC,331,,101,Introduction to Mineral Deposits,Barry Jay Penner;Barry Penner;James Stewart Scoates;Kenneth Hickey;Nichole Moerhuis,40,75.75,7.26689014,91.0,59.0,0,0,1,2,2,5,9,8,9,2,2,,,
UBCV,2017,W,EOSC,331,,101,Introduction to Mineral Deposits,Fabien Rabayrol;James Stewart Scoates;Kenneth Hickey;Nichole Moerhuis,39,75.128205128,8.046507864,91.0,59.0,0,0,1,4,3,4,6,8,9,3,1,,,
UBCV,2017,W,EOSC,424,,201,Advanced Mineral Deposits,Barry Penner;James Stewart Scoates;Kenneth Hickey;Nichole Moerhuis,29,88.034482759,2.597839193,93.0,80.0,0,0,0,0,0,0,0,0,2,19,8,,,
UBCV,2018,W,EOSC,331,,101,Introduction to Mineral Deposits,Andrew Paul Steiner;Andrew Steiner;James Stewart Scoates;Kenneth Hickey;Nichole Moerhuis,31,74.193548387,8.264056126,92.0,51.0,0,1,0,0,5,3,11,3,5,1,2,,,
UBCV,2019,W,EOSC,424,,201,Advanced Mineral Deposits,James Stewart Scoates;Kenneth Hickey;Nichole Moerhuis;Quinton Willms,28,89.285714286,3.451860935,94.0,81.0,0,0,0,0,0,0,0,0,4,6,18,,,
UBCV,2020,W,EOSC,223,,201,Field Techniques,An Kun Ma;Dylan Spence;Erik Eberhardt;James Nott;James Stewart Scoates;Joel Edward Saylor;Kenneth Hickey;Lori Kennedy;Lucy Porritt;Martin Harris;Mitchall Darcy;Nichole Moerhuis;Simon Peacock,56,82.857142857,7.017973215,95.0,62.0,0,0,0,1,0,2,7,5,16,14,11,,,
UBCV,2020,W,EOSC,331,,101,Introduction to Mineral Deposits,James Stewart Scoates;Kenneth Hickey;Nichole Moerhuis;Quinton Willms,18,78.777777778,8.398568194,88.0,59.0,0,0,1,1,0,1,1,4,3,7,0,,,
UBCV,2021,W,EOSC,331,,101,Introduction to Mineral Deposits,James Stewart Scoates;Kenneth Hickey;Nichole Moerhuis;Taylor Quinn,29,74.517241379,10.16513892,93.0,45.0,1,0,1,1,3,6,3,1,9,3,1,,,
UBCV,2021,W,EOSC,424,,201,Advanced Mineral Deposits,James Stewart Scoates;Kenneth Hickey;Nichole Moerhuis;Taylor Quinn,17,88.294117647,4.341150566,95.0,77.0,0,0,0,0,0,0,0,1,1,9,6,,,
UBCV,2022,W,EOSC,333,,201,Elemental and Isotopic Geochemistry,Kendra Chritz;Nichole Moerhuis,23,80.2,,91.0,59.0,0,0,1,1,0,1,2,3,8,5,2,82.0,86.5,78.0
UBCV,2023,W,EOSC,333,,201,Elemental and Isotopic Geochemistry,Nichole Moerhuis;Dominique Weis,21,80.1,,90.0,54.0,0,1,1,0,0,0,3,1,5,9,1,84.0,86.0,76.0
