Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,SOWK,305,,001,SOWK PRACTICE I,"Charles, Grant;Jones, Elizabeth;McNicoll, Paule",45,79.36,5.7,88,65,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,10,16,9,0
UBC,2002,W,SOWK,320,,001,INTR SOWK RESRCH,"McNicoll, Paule",48,78.02,11.18,96,40,43,1,1,0,3,0,0,0,0,1,1,0,1,3,1,3,6,4,13,7,5
UBC,2002,W,SOWK,503,A,001,HEALTH FIELD,"McNicoll, Paule",19,84.06,4.68,90,74,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,9,1
UBC,2002,W,SOWK,544,A,001,GROUPS,"McNicoll, Paule",13,84,2.38,89,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0
UBC,2003,W,SOWK,305,,001,SOWK PRACTICE I,"Jones, Elizabeth;Kemp, Leslie;McNicoll, Paule",44,79.82,9.13,93,35,43,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2,1,12,16,8,3
UBC,2003,W,SOWK,320,,001,INTR SOWK RESRCH,"McNicoll, Paule",44,78.92,6.76,90,60,39,0,4,0,1,0,0,0,0,0,0,0,0,2,0,3,6,4,17,6,1
UBC,2003,W,SOWK,503,A,001,HEALTH FIELD,"McNicoll, Paule",26,84.58,3.6,91,73,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,11,1
UBC,2003,W,SOWK,544,A,001,GROUPS,"McNicoll, Paule",14,85,1.36,88,83,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
UBC,2005,W,SOWK,305,,001,SOWK PRACTICE I,"Jones, Elizabeth;McNicoll, Paule;Riano-Alcala, Pilar",43,79.93,6.38,90,64,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,7,19,8,1
UBC,2005,W,SOWK,320,,001,INTR SOWK RESRCH,"McNicoll, Paule",39,79.15,12.06,91,28,38,1,0,0,0,0,0,1,0,0,1,1,0,1,2,2,2,5,8,14,3
UBC,2005,W,SOWK,320,,601,INTR SOWK RESRCH,"McNicoll, Paule",15,72.93,22.34,89,19,13,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,3,0,4,5,0
UBC,2005,W,SOWK,544,A,001,GROUPS,"McNicoll, Paule",7,84.14,1.95,88,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
UBC,2006,W,SOWK,305,,001,SOWK PRACTICE I,"Charles, Grant;Jones, Elizabeth;McNicoll, Paule",29,81.11,6.01,90,68,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,13,7,1
UBC,2006,W,SOWK,502,,001,SOWK PRACTICE,"Jones, Elizabeth;McNicoll, Paule;Riano-Alcala, Pilar",9,85.22,2.91,90,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
UBC,2006,W,SOWK,513,A,001,HEALTH SOC WORK,"McNicoll, Paule",20,83.85,3.57,91,78,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,1
UBC,2006,W,SOWK,528,A,001,GROUPS,"McNicoll, Paule",15,84.21,2.04,87,80,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
