Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2005,W,EPSE,301,,074,INTRO EDUC PSYC,"Kolof, Raquel;Mathison, Sandra",34,88.12,2.85,94,83,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,12,,,
UBC,2005,W,EPSE,591,,074,THRY&PRC PRG EVL,"Mathison, Sandra",11,91,5.48,95,85,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,
UBC,2007,W,CUST,563,,031,CURR EVALUATION,"Mathison, Sandra",17,88.59,1.12,90,85,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,,,
UBC,2007,W,EPSE,595,,074,QLT MTHD ED PSY,"Mathison, Sandra",14,90.93,5.59,100,84,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,,,
UBC,2007,W,EPSE,595,,075,QLT MTHD ED PSY,"Mathison, Sandra",12,89.5,7.49,100,79,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,,,
UBC,2009,W,EPSE,591,,075,THRY&PRC PRG EVL,"Mathison, Sandra",6,89.33,7.12,99,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,,,
UBC,2009,W,EPSE,595,,074,QLT MTHD ED PSY,"Mathison, Sandra",15,91.36,4.82,97,81,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,,,
UBC,2009,W,EPSE,595,,075,QLT MTHD ED PSY,"Mathison, Sandra",12,89.55,5.24,98,82,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,,,
UBC,2010,W,EPSE,591,,075,THRY&PRC PRG EVL,"Mathison, Sandra",7,88.33,6.65,97,82,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,,,
UBC,2010,W,EPSE,595,,074,QLT RSRCH MTHD,"Mathison, Sandra",16,88.19,6.78,97,76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,9,,,
UBC,2011,W,EDUC,500,,003,RES MTHD IN EDUC,"Mathison, Sandra",11,93.6,5.23,99,84,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,,,
UBC,2011,W,EPSE,581,A,074,SPECIAL TOPICS,"Mathison, Sandra",5,100,0,100,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,
UBC,2011,W,EPSE,595,,074,QLT RSRCH MTHD,"Mathison, Sandra",21,91,5.52,98,75,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,15,,,
UBC,2011,W,EPSE,595,,075,QLT RSRCH MTHD,"Mathison, Sandra",19,89.32,7.32,100,76,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,11,,,
UBC,2012,W,EPSE,591,,074,THRY&PRC PRG EVL,"Mathison, Sandra",17,92.63,4.3,99,86,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,,,
UBC,2012,W,EPSE,595,,074,QLT RSRCH MTHD,"Mathison, Sandra",18,87.71,6.92,96,75,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,8,,,
UBC,2012,W,EPSE,595,,075,QLT RSRCH MTHD,"Mathison, Sandra",16,91.07,6.57,100,78,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,,,
UBC,2012,W,EPSE,681,A,075,ADV TOPCS MERM,"Mathison, Sandra",6,96.67,8.16,100,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,,,
UBC,2013,W,EDUC,500,,003,RES MTHD IN EDUC,"Mathison, Sandra",19,91.61,5.66,99,81,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,13,,,
UBC,2013,W,EPSE,581,A,075,SPCL TPCS MERM,"Mathison, Sandra",7,89.57,7.04,99,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,,,
UBC,2013,W,EPSE,595,,074,QLT RSRCH MTHD,"Mathison, Sandra",17,86.06,15.32,99,36,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,3,9,,,
UBC,2013,W,EPSE,595,,075,QLT RSRCH MTHD,"Mathison, Sandra",18,87.11,7.58,97,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,7,7,,,
UBC,2014,W,EPSE,591,,075,THRY&PRC PRG EVL,"Mathison, Sandra",13,89.31,5.19,97,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,,,
UBC,2014,W,EPSE,595,,074,QLT RSRCH MTHD,"Mathison, Sandra",16,86.27,5.34,98,78,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,2,,,
UBC,2014,W,EPSE,595,,075,QLT RSRCH MTHD,"Mathison, Sandra",15,84.2,10.42,100,60,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,1,5,,,
UBC,2014,W,EPSE,681,B,074,ADV TOPCS MERM,"Mathison, Sandra",7,95.86,1.46,98,95,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,
UBC,2015,W,EPSE,591,,075,THRY&PRC PRG EVL,"Mathison, Sandra",10,87.8,6.44,100,78,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,,,
UBC,2015,W,EPSE,595,,074,QLT RSRCH MTHD,"Mathison, Sandra",19,86.47,6.35,96,75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,6,,,
UBC,2015,W,EPSE,595,,075,QLT RSRCH MTHD,"Mathison, Sandra",14,83.93,7.02,96,69,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,7,2,,,
UBC,2015,W,EPSE,681,B,074,ADV TOPCS MERM,"Mathison, Sandra",9,96.67,5.59,100,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,,,
UBC,2016,W,EPSE,595,,074,QLT RSRCH MTHD,"Mathison, Sandra",18,86.61,6.84,98,72,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,6,,,
UBC,2016,W,EPSE,595,,075,QLT RSRCH MTHD,"Buchanan, Marla;Mathison, Sandra",12,91.08,5,97,80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,,,
UBC,2016,W,EPSE,681,B,074,ADV TOPCS MERM,"Gunderson, Lee Paul;Mathison, Sandra",5,85.6,7.64,92,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,,,
UBC,2018,W,EPSE,591,,075,THRY&PRC PRG EVL,"Mathison, Sandra",4,84,11.58,95,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,,,
UBC,2018,W,EPSE,595,,074,QLT RSRCH MTHD,"Mathison, Sandra",19,88.47,5.9,100,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,,,
UBC,2018,W,EPSE,595,,075,QLT RSRCH MTHD,"Mathison, Sandra",12,87.25,7.98,100,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,4,,,
UBC,2018,W,EPSE,681,B,074,ADV TOPCS MERM,"Mathison, Sandra",4,91.25,5.5,96,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,,
UBCV,2014,W,EPSE,591,,075,Theory and Practice of Program Evaluation,Sandra Mathison,13,89.30769231,5.186273797,97.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,8,,,
UBCV,2014,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,15,86.26666667,5.338093114,98.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,6,6,2,,,
UBCV,2014,W,EPSE,595,,075,Qualitative Research Methods,Sandra Mathison,15,84.2,10.42113238,100.0,60.0,,,,,,,,,,,0,0,0,,,,,,5,1,5,,,
UBCV,2014,W,EPSE,681,B,074,"Advanced Topics in Measurement, Evaluation, and Research",Sandra Mathison,7,95.85714286,1.463850109,98.0,95.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7,,,
UBCV,2015,W,EPSE,591,,075,Theory and Practice of Program Evaluation,Sandra Mathison,10,87.8,6.442911695,100.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,
UBCV,2015,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,19,86.473684211,6.354074992,96.0,75.0,,,,,,,,,,,0,0,0,0,0,0,,,5,6,6,,,
UBCV,2015,W,EPSE,595,,075,Qualitative Research Methods,Sandra Mathison,14,83.928571429,7.021552378,96.0,69.0,,,,,,,,,,,0,0,0,0,0,,,,1,7,2,,,
UBCV,2015,W,EPSE,681,B,074,"Advanced Topics in Measurement, Evaluation, and Research",Sandra Mathison,9,96.666666667,5.590169944,100.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,8,,,
UBCV,2016,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,18,86.61111111,6.835365551,98.0,72.0,,,,,,,,,,,0,0,0,0,0,0,1,1,6,4,6,,,
UBCV,2016,W,EPSE,595,,075,Qualitative Research Methods,Marla Buchanan;Sandra Mathison,12,91.08333333,4.999242367,97.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,3,8,,,
UBCV,2018,W,EPSE,595,,074,Qualitative Research Methods,Erica Bennett;Sandra Mathison,19,88.473684211,5.900738382,100.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,5,7,7,,,
UBCV,2018,W,EPSE,595,,075,Qualitative Research Methods,Erica Bennett;Sandra Mathison,12,87.25,7.978664732,100.0,73.0,,,,,,,,,,,0,0,0,0,0,0,1,1,1,5,4,,,
UBCV,2019,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,13,83.692307692,9.646973752,98.0,69.0,,,,,,,,,,,0,0,0,0,0,2,1,2,1,3,4,,,
UBCV,2019,W,EPSE,595,,075,Qualitative Research Methods,Sandra Mathison,19,85.842105263,8.408085777,100.0,71.0,,,,,,,,,,,0,0,0,0,0,1,3,1,2,4,8,,,
UBCV,2020,W,EDUC,500,,003,Research Methodology in Education,Oksana Bartosh;Sandra Mathison,13,92.692307692,4.090326299,100.0,87.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,8,,,
UBCV,2020,W,EPSE,591,,075,Theory and Practice of Program Evaluation,Sandra Mathison,16,91.5,6.850790709,100.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,0,2,1,12,,,
UBCV,2020,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,19,88.263157895,6.657010551,100.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,2,3,6,8,,,
UBCV,2020,W,EPSE,595,,075,Qualitative Research Methods,Sandra Mathison,16,86.125,6.965390633,99.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,1,5,2,7,,,
UBCV,2021,W,EDUC,500,,003,Research Methodology in Education,Sandra Mathison,16,90.375,5.596129615,99.0,77.0,,,,,,,,,,,0,0,0,0,0,0,0,1,0,6,9,,,
UBCV,2021,W,EPSE,581,B,074,"Special Topics in Measurement, Evaluation, and Research Methodology",Sandra Mathison,8,86.25,11.572751247,100.0,75.0,,,,,,,,,,,0,0,0,0,0,0,2,0,3,0,3,,,
UBCV,2021,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,20,88.45,7.877182237,99.0,70.0,,,,,,,,,,,0,0,0,0,0,1,0,1,4,3,11,,,
UBCV,2021,W,EPSE,595,,075,Qualitative Research Methods,Sandra Mathison,13,84.769230769,7.061088752,94.0,72.0,,,,,,,,,,,0,0,0,0,0,0,1,2,2,4,4,,,
UBCV,2021,W,EDUC,500,,003,Research Methodology in Education,Sandra Mathison,16,90.4,,99.0,77.0,,,,,,,,,,,,,,,,,,,,6,9,91.5,93.3,87.3
UBCV,2021,W,EPSE,581,B,074,"Special Topics in Measurement, Evaluation, and Research Methodology",Sandra Mathison,8,86.3,,100.0,75.0,,,,,,,,,,,,,,,,,,,,,,80.0,100.0,78.8
UBCV,2021,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,20,88.5,,99.0,70.0,,,,,,,,,,,,,,,,,,,,,11,91.5,94.0,82.3
UBCV,2021,W,EPSE,595,,075,Qualitative Research Methods,Sandra Mathison,13,84.8,,94.0,72.0,,,,,,,,,,,,,,,,,,,,,,86.0,91.0,80.0
UBCV,2022,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,20,86.2,,100.0,60.0,,,,,,,,,,,0,0,0,1,0,0,0,3,4,4,8,87.5,91.3,80.8
UBCV,2023,W,EPSE,595,,074,Qualitative Research Methods,Sandra Mathison,16,86.8,,100.0,73.0,,,,,,,,,,,0,0,0,0,0,0,2,0,5,3,6,87.5,93.5,81.8
UBCV,2023,W,EPSE,595,,075,Qualitative Research Methods,Sandra Mathison,8,85.9,,97.0,74.0,,,,,,,,,,,0,0,0,0,0,0,2,0,1,1,4,88.5,91.0,80.3
UBCV,2023,W,EPSE,681,B,074,"Advanced Topics in Measurement, Evaluation, and Research",Sandra Mathison,6,100.0,,100.0,100.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,100.0,100.0,100.0
