Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,ARCH,404,,001,Architectural History I,Sherry Mckay,12,80.83333333,5.951826814,88.0,67.0,0,0,0,0,,,,,6,,0
UBCV,2014,W,ARCH,405,,001,Architectural History II,Sherry Mckay,6,77.0,6.32455532,85.0,70.0,0,0,0,0,0,,,,,,0
UBCV,2014,W,ARCH,504,,001,Architectural History 1A,Sherry Mckay,36,79.0,4.229150539,87.0,69.0,0,0,0,0,0,,6,,24,,0
UBCV,2014,W,ARCH,505,,001,Architectural History 1B,Sherry Mckay,52,77.98076923,9.266194905,92.0,25.0,,,,,,,7,14,20,,
UBCV,2014,W,ARCH,523,,001,Contemporary Theories in Architecture,Sherry Mckay,48,79.875,5.365869286,91.0,64.0,0,0,0,0,,,6,9,21,7,
UBCV,2014,W,ENDS,281,,001,Architecture in Context and Across Cultures: A History,Sherry Mckay,106,78.26415094,6.800982964,91.0,60.0,0,0,0,,5,10,15,25,29,15,
UBCV,2015,W,ARCH,405,,001,Architectural History II,Sherry Mckay;Umbreen Ashraf,20,78.25,7.376170737,85.0,59.0,0,0,,,,,,,9,,0
UBCV,2015,W,ARCH,505,,001,Architectural History 1B,Sherry Mckay;Umbreen Ashraf,30,79.9,5.671161166,91.0,60.0,0,0,0,,,,,5,16,,
UBCV,2015,W,ARCH,523,,001,Contemporary Theories in Architecture,Sherry Mckay,57,80.50877193,4.114967484,93.0,71.0,0,0,0,0,0,,,13,33,,
UBCV,2015,W,ENDS,281,,001,Architecture in Context and Across Cultures: A History,Lorinc Vass;Shannon Pitt;Sherry Mckay,87,79.988505747,8.195992005,95.0,42.0,,,,,,5,11,20,18,20,9
UBCV,2016,W,ARCH,405,,001,Architectural History II,Sherry Mckay;Umbreen Ashraf,20,79.15,7.741038962,90.0,58.0,0,0,1,0,0,2,2,3,6,5,1
UBCV,2016,W,ARCH,505,,001,Architectural History II,Sherry Mckay,33,79.81818182,4.706740814,92.0,72.0,0,0,0,0,0,0,5,10,11,6,1
UBCV,2016,W,ARCH,523,,001,Contemporary Theories in Architecture,Sarah Sako;Sherry Mckay,42,79.38095238,5.254277611,90.0,65.0,0,0,0,0,1,4,4,6,23,3,1
UBCV,2016,W,ARCH,561,H,001,Seminar: History and Theory,Sherry Mckay,20,82.1,3.007009355,88.0,78.0,0,0,0,0,0,0,0,3,14,3,0
UBCV,2017,W,ARCH,404,B,001,Topics in Architectural History I (Pre-1900),Jeremy Schipper;Laurence Crouzet;Sherry Mckay,9,79.0,4.582575695,85.0,72.0,0,0,0,0,0,0,3,1,4,1,0
UBCV,2017,W,ARCH,501,,005,Architectural Design Studio II,Bill Pechet;Sherry Mckay,6,84.5,3.885871846,88.0,77.0,0,0,0,0,0,0,0,1,0,5,0
UBCV,2017,W,ARCH,504,B,001,Topics in Architectural History I (Pre-1900),Jeremy Schipper;Laurence Crouzet;Sherry Mckay,23,79.52173913,6.141287733,93.0,67.0,0,0,0,0,1,0,4,8,4,5,1
UBCV,2017,W,ARCH,520,,005,Architectural Design Studio III,Bill Pechet;Sherry Mckay,6,83.333333333,1.632993162,86.0,82.0,0,0,0,0,0,0,0,0,5,1,0
UBCV,2017,W,ARCH,523,,001,Contemporary Theories in Architecture,Emily Nadene Scoular;Emily Scoular;Sherry Mckay,45,77.311111111,5.371736736,90.0,65.0,0,0,0,0,2,6,7,11,16,2,1
UBCV,2018,W,ARCH,405,C,001,Topics in Architectural History II (1900-Present),Brit Naylor;Sherry Mckay,14,78.714285714,5.105480787,87.0,67.0,0,0,0,0,1,0,1,6,4,2,0
UBCV,2018,W,ARCH,505,C,001,Topics in Architectural History II (1900-Present),Jeremy Schipper;Sherry Mckay,33,80.03030303,5.741759576,90.0,64.0,0,0,0,0,1,2,2,8,13,5,2
UBCV,2018,W,ARCH,523,,001,Contemporary Theories in Architecture,Gentai Ishimura;Joseph Watson;Pera Hardy;Sherry Mckay,57,82.649122807,4.248912584,92.0,73.0,0,0,0,0,0,0,4,7,25,20,1
