Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,S,PLAN,548,Z,026,CURRENT ISSUES,"Mendes, Wendy",11,84.73,1.79,87,82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0
UBC,2010,S,PLAN,548,Z,026,CURRENT ISSUES,"Mendes, Wendy",13,86.23,0.93,88,85,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
UBC,2011,S,PLAN,548,Z,001,CURRENT ISSUES,"Mendes, Wendy",12,85.5,0.9,87,84,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0
UBC,2012,S,PLAN,548,Z,001,CURRENT ISSUES,"Mendes, Wendy",13,83.92,1.44,86,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0
UBC,2013,S,PLAN,548,Z,001,CURRENT ISSUES,"Mendes, Wendy",8,85.86,0.38,86,85,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
UBC,2014,W,PLAN,548,Z,001,CURRENT ISSUES,"De La Salle, Janine;Fodor, Zsuzsanna;Mendes, Wendy",13,85.77,2.86,90,83,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3
UBC,2016,W,PLAN,548,Z,001,CURRENT ISSUES,"Mendes, Wendy",10,85.56,2.07,88,81,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
UBCV,2014,W,PLAN,548,Z,001,Current Issues in Planning,Janine De La Salle;Wendy Mendes;Zsuzsanna Fodor,13,85.76923077,2.862220762,90.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,6,,
UBCV,2016,W,PLAN,548,Z,001,Current Issues in Planning,Wendy Mendes;Zsuzsanna Fodor,9,85.55555556,2.068278941,88.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,8,0
UBCV,2018,W,PLAN,522,,001,Qualitative Data Collection and Analysis,Leonora Angeles;Sara Ortiz Escalante;Wendy Mendes,40,90.3,4.201342887,96.0,73.0,,,,,,,,,,,0,0,0,0,0,0,1,0,0,19,20
UBCV,2019,W,PLAN,517,,001,Theory and Methods of Urban Design,Erick Villagomez;Wendy Mendes,24,87.416666667,1.31601066,90.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,22,2
UBCV,2019,W,PLAN,522,,001,Qualitative Data Collection and Analysis,Leonora Angeles;Wendy Mendes,37,88.702702703,1.023742179,91.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,29,8
