Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,PHYS,308,,201,OPTICS,"McCutcheon, William",64,65.1,17.64,94,0,53,7,4,0,0,1,0,0,0,6,7,12,4,3,7,5,1,6,4,8,3
UBC,2002,W,PHYS,458,,101,APPLD OPTICS,"McCutcheon, William",39,73.38,10.37,96,57,39,0,0,0,0,0,0,0,0,0,0,0,1,6,7,5,4,4,6,2,4
UBC,2003,W,PHYS,308,,201,OPTICS,"McCutcheon, William",76,64.81,15.23,97,15,68,7,1,0,0,0,1,0,1,5,7,9,13,7,8,4,11,0,9,3,4
UBC,2003,W,PHYS,458,,101,APPLD OPTICS,"McCutcheon, William",43,81,8.6,95,57,43,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,4,2,16,9,7
UBC,2005,W,PHYS,153,,003,ELEMENTS OF PHYS,"Hasinoff, Michael;McCutcheon, William;Parsons, Robert R;Witt, Donald",194,71.88,12.99,99,29,176,11,3,0,4,0,0,1,0,10,11,4,7,21,23,17,35,13,22,13,21
UBC,2005,W,PHYS,308,,201,OPTICS,"McCutcheon, William",58,62.3,18.43,96,0,48,8,2,0,0,1,0,2,3,2,8,12,1,5,6,6,9,0,3,2,4
UBC,2007,W,PHYS,153,,001,ELEMENTS OF PHYS,"Louis-Martinez, Domingo;McCutcheon, William;Witt, Donald",220,71.59,12.17,97,29,197,18,5,0,0,0,0,1,2,15,18,2,6,14,23,35,34,19,38,17,9
UBC,2007,W,PHYS,153,,003,ELEMENTS OF PHYS,"Louis-Martinez, Domingo;McCutcheon, William;Witt, Donald",221,68.31,16.03,95,0,180,31,10,0,0,3,1,1,5,21,31,0,7,20,14,31,37,19,30,14,8
UBC,2009,W,PHYS,153,,001,ELEMENTS OF PHYS,"McCutcheon, William;Witt, Donald",277,68.52,17.34,98,17,213,45,8,0,11,0,2,4,9,30,45,4,17,21,28,22,22,15,34,24,26
UBC,2009,W,PHYS,153,,002,ELEMENTS OF PHYS,"McCutcheon, William;Witt, Donald",266,66.77,16.73,98,12,204,40,9,0,13,0,2,3,11,24,40,5,25,33,22,28,19,14,19,12,27
UBC,2009,W,PHYS,153,,003,ELEMENTS OF PHYS,"Kotlicki, Andrzej;McCutcheon, William;Witt, Donald",274,63.8,14.79,98,22,202,53,8,0,11,0,0,3,11,39,53,8,25,27,30,29,26,12,28,12,5
UBC,2009,W,PHYS,153,,T0G,ELEMENTS OF PHYS,"McCutcheon, William",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,PHYS,153,,T0I,ELEMENTS OF PHYS,"McCutcheon, William",5,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,PHYS,153,,T0J,ELEMENTS OF PHYS,"McCutcheon, William",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,PHYS,157,,101,INTR PHYS ENG I,"McCutcheon, William",245,68.5,13.04,94,26,225,19,1,0,0,0,0,2,5,12,19,12,24,21,30,35,27,17,30,25,4
UBC,2014,W,PHYS,157,,201,INTR PHYS ENG I,"McCutcheon, William",52,56.36,16.01,81,13,39,11,2,0,0,0,1,1,5,4,11,12,3,2,10,3,3,1,5,0,0
UBC,2014,W,PHYS,159,,L2B,INTRO PHYS LAB,"McCutcheon, William",54,82.02,8.2,95,63,54,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,9,11,12,11
UBC,2014,W,PHYS,159,,L2D,INTRO PHYS LAB,"McCutcheon, William",51,76.66,11.81,96,46,48,2,0,0,1,0,0,0,0,2,2,0,3,1,3,5,7,7,7,10,5
UBC,2014,W,PHYS,159,,L2U,INTRO PHYS LAB,"McCutcheon, William",45,81.44,7.78,92,59,45,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,4,14,13,6
UBC,2015,W,PHYS,159,,L2C,INTRO PHYS LAB,"McCutcheon, William",55,67.78,6.53,84,52,55,0,0,0,0,0,0,0,0,0,0,2,2,9,14,14,7,4,3,0,0
UBC,2015,W,PHYS,159,,L2H,INTRO PHYS LAB,"McCutcheon, William",52,71.61,12.21,88,14,49,2,0,0,1,0,1,0,1,0,2,0,2,2,5,9,10,11,7,3,0
UBC,2015,W,PHYS,159,,L2U,INTRO PHYS LAB,"McCutcheon, William",46,75.64,7.89,94,53,45,0,0,0,1,0,0,0,0,0,0,1,1,2,1,6,10,9,11,2,2
UBC,2015,W,PHYS,159,,L2V,INTRO PHYS LAB,"McCutcheon, William",51,74.61,6.8,86,58,49,0,0,0,2,0,0,0,0,0,0,0,2,3,2,3,14,14,9,2,0
UBC,2016,W,PHYS,159,,L2C,INTRO PHYS LAB,"McCutcheon, William",53,76.49,7.56,95,60,53,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,8,12,13,4,2
UBC,2016,W,PHYS,159,,L2H,INTRO PHYS LAB,"McCutcheon, William",50,83.06,5.27,92,74,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,18,13,6
UBC,2016,W,PHYS,159,,L2U,INTRO PHYS LAB,"McCutcheon, William",45,79.42,7.86,93,63,45,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,4,12,8,5
UBC,2016,W,PHYS,159,,L2V,INTRO PHYS LAB,"McCutcheon, William",49,78.53,7.11,87,52,49,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,7,10,17,9,0
UBC,2017,W,PHYS,159,,L2B,INTRO PHYS LAB,"McCutcheon, William",51,78.76,13,95,0,50,1,0,0,0,1,0,0,0,0,1,0,0,2,0,4,0,12,24,5,3
UBC,2017,W,PHYS,159,,L2C,INTRO PHYS LAB,"McCutcheon, William",51,78.82,8.25,92,55,51,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,13,5,11,13,3
UBC,2017,W,PHYS,159,,L2E,INTRO PHYS LAB,"McCutcheon, William",53,80.26,9.88,99,48,52,1,0,0,0,0,0,0,0,1,1,0,1,0,2,2,8,12,9,6,12
UBC,2017,W,PHYS,159,,L2V,INTRO PHYS LAB,"McCutcheon, William",52,78.79,13.15,93,0,51,1,0,0,0,1,0,0,0,0,1,0,0,1,0,5,8,9,12,10,6
UBC,2018,W,PHYS,157,,201,INTR PHYS ENG I,"McCutcheon, William;Witt, Donald",35,65.44,17.55,95,35,28,4,0,0,3,0,0,0,3,1,4,8,1,2,3,2,1,0,5,4,2
UBC,2018,W,PHYS,159,,L2F,INTRO PHYS LAB,"McCutcheon, William",53,83.49,10.02,96,39,52,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,2,3,12,11,17
UBC,2018,W,PHYS,159,,L2U,INTRO PHYS LAB,"McCutcheon, William",52,89.42,6.77,97,69,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,11,31
