Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2015,W,RHSC,501,,001,EVIDNC FOR PRACT,"Mortenson, William",13,86.54,4.22,92,79,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,,,
UBC,2016,W,RHSC,501,,001,EVIDNC FOR PRACT,"Mortenson, William",10,81.33,7.58,88,65,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,0,,,
UBC,2017,W,OSOT,527,,001,EVIDENCE PRAC I,"Jarus, Tal;Mortenson, William;Zwicker, Jill",56,83.62,5.93,94,62,55,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,15,22,7,,,
UBC,2017,W,RHSC,501,,001,EVIDNC FOR PRACT,"Mortenson, William;Scott, Alexander",17,82.25,8.65,95,62,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,5,4,3,,,
UBC,2018,W,OSOT,527,,001,EVIDENCE PRAC I,"Field, Debra Ann;Lee, Michael;Mortenson, William",56,83.82,4.06,93,75,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,23,21,4,,,
UBC,2018,W,RHSC,501,,001,EVIDNC FOR PRACT,"Davidson, Katherine;Mortenson, William",17,81.12,5.74,90,73,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,5,1,,,
UBCV,2015,W,RHSC,501,,001,Evidence for Practice,William Mortenson,13,86.538461538,4.215356541,92.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,,,5,,,,
UBCV,2016,W,RHSC,501,,001,Evidence for Practice,William Mortenson,9,81.33333333,7.582875444,88.0,65.0,,,,,,,,,,,0,0,0,0,1,0,0,2,2,4,0,,,
UBCV,2017,W,OSOT,527,,001,Evidence for Practice I: Research Paradigms and Methods,Jill Zwicker;Tal Jarus;William Mortenson,55,83.618181818,5.926996957,94.0,62.0,,,,,,,,,,,0,0,0,1,1,1,0,8,15,22,7,,,
UBCV,2017,W,RHSC,501,,001,Evidence for Practice,Alexander Scott;William Mortenson,16,82.25,8.65255261,95.0,62.0,,,,,,,,,,,0,0,0,1,0,2,0,1,5,4,3,,,
UBCV,2018,W,OSOT,527,,001,Evidence for Practice I: Research Paradigms and Methods,Debra Ann Field;Michael Lee;William Mortenson,56,83.821428571,4.059140719,93.0,75.0,,,,,,,,,,,0,0,0,0,0,0,2,6,23,21,4,,,
UBCV,2018,W,RHSC,501,,001,Evidence for Practice,Alexander Scott;Katherine Davidson;Patricia Mortenson;William Mortenson,17,81.117647059,5.743282521,90.0,73.0,,,,,,,,,,,0,0,0,0,0,0,5,1,5,5,1,,,
UBCV,2019,W,OSOT,527,,001,Becoming an Evidence-Informed Occupational Therapy Practitioner,Debra Ann Field;Laura Bulk;Michael Lee;Sarah Park;William Mortenson,51,84.137254902,3.156071025,91.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,3,22,24,2,,,
UBCV,2019,W,RHSC,501,,001,Evidence for Practice,Katherine Davidson;Leslie Duran;Patricia Mortenson;William Mortenson,10,86.1,8.359292899,95.0,68.0,,,,,,,,,,,0,0,0,0,0,1,0,1,2,2,4,,,
UBCV,2020,W,RHSC,501,,001,Evidence for Practice,Katherine Davidson;Patricia Mortenson;William Mortenson,9,85.777777778,4.969350505,91.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,0,1,5,2,,,
