Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,EDUC,311,,306,TEACH PRINC SEC,"Macdowell, Paula;Petrina, Stephen",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDCP,371,,221,INTRG DES & TECH,"Macdowell, Paula",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,311,,306,TEACH PRINC SEC,"Macdowell, Paula",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,EDUC,311,,306,TEACH PRINC SEC,"Macdowell, Paula",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,EDUC,316,C,306,COMM SKILLS,"Macdowell, Paula",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,S,EDCP,371,,951,INTRG DES & TECH,"Macdowell, Paula",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,S,EDCP,371,,951,INTRG DES & TECH,"Macdowell, Paula",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,EDCP,473,,62A,ICT EDUC ETHICS,"Macdowell, Paula",18,91.44,1.15,93,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
UBC,2015,W,EDCP,508,B,62A,REV RES CURR&PED,"Macdowell, Paula",16,93.56,1.21,95,92,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
UBC,2016,S,ETEC,531,,96A,CURRIC ISSU,"Macdowell, Paula",18,93.44,1.46,97,91,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
UBC,2016,W,EDCP,570,,62A,SEM TCH INF&COMM,"Macdowell, Paula",18,94.44,1.5,97,90,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
