Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,EDUC,310,,112,TEACh PRINC,"MacKay, Heather",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,EDUC,316,,112,COMM SKILLS,"MacKay, Heather",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,PHYS,101,,104,ENERGY & WAVES,"Iqbal, Javed;MacKay, Alexander",163,77.77,8.67,96,45,162,1,0,0,0,0,0,0,0,1,1,0,3,5,6,22,23,26,40,23,14
UBC,2002,W,PHYS,404,,101,PHYS MEDICAL IMG,"MacKay, Alexander;Sossi, Vesna",19,79.94,18.79,94,14,16,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,5,4,5
UBC,2002,W,PHYS,542,,102,NUCLR MAG RES IMGING,"MacKay, Alexander;Xiang, Qing-San",13,85.31,7.33,94,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,5
UBC,2003,W,EDUC,310,,107,TEACh PRINC,"MacKay, Heather",19,,,,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,EDUC,316,,107,COMM SKILLS,"MacKay, Heather",19,,,,,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,PHYS,101,,104,ENERGY & WAVES,"Iqbal, Javed;MacKay, Alexander",164,75.98,12.31,97,37,152,10,2,0,0,0,0,0,2,8,10,0,2,10,10,27,14,13,27,30,19
UBC,2003,W,PHYS,404,,101,PHYS MEDICAL IMG,"Aldrich, John;Celler, Anna;MacAulay, Calum E.;MacKay, Alexander;Sossi, Vesna",30,79.45,11.07,94,56,29,0,1,0,0,0,0,0,0,0,0,0,3,1,0,2,3,3,6,5,6
UBC,2005,W,EDUC,310,,107,TEACh PRINC,"MacKay, Heather",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,EDUC,316,,107,COMM SKILLS,"MacKay, Heather",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2005,W,PHYS,101,,104,ENERGY & WAVES,"Iqbal, Javed;MacKay, Alexander",151,76.46,10.96,96,45,142,6,2,0,1,0,0,0,0,6,6,1,2,7,7,21,17,15,33,27,12
UBC,2005,W,PHYS,404,,101,INTRO MED PHYS,"Aldrich, John;Clark, Brenda G.;Duzenli, Cheryl;MacAulay, Calum E.;MacKay, Alexander",30,73.83,12.17,95,50,29,0,1,0,0,0,0,0,0,0,0,2,3,1,1,5,3,2,7,2,3
UBC,2005,W,PHYS,545,,201,ANAT PHYS STATS,"MacKay, Alexander",8,93.38,5.18,98,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
UBC,2006,W,EDUC,310,,107,TEACh PRINC,"MacKay, Heather",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,EDUC,316,,107,COMM SKILLS,"MacKay, Heather",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,PHYS,101,,104,ENERGY & WAVES,"MacKay, Alexander",161,79.45,8.86,98,47,160,1,0,0,0,0,0,0,0,1,1,1,0,6,3,18,20,21,45,22,24
UBC,2006,W,PHYS,404,,101,INTRO MED PHYS,"Aldrich, John;Clark, Brenda G.;Duzenli, Cheryl;MacAulay, Calum E.;MacKay, Alexander",39,76.54,9.01,92,47,38,1,0,0,0,0,0,0,0,1,1,0,0,2,2,5,6,4,14,4,1
UBC,2006,W,PHYS,542,,102,NUCLR MAG RES IMGING,"MacKay, Alexander",12,83.64,7.95,92,68,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,1
UBC,2006,W,PHYS,545,,201,ANAT PHYS STATS,"MacKay, Alexander",7,74.86,33.36,94,0,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2
UBC,2007,W,EDUC,310,,107,TEACh PRINC,"MacKay, Heather",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
