Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,AGRO,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",11,73.18,8.27,90,60,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,0,1
UBC,2002,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",30,77.14,8.5,93,63,28,0,2,0,0,0,0,0,0,0,0,0,0,1,4,2,6,3,6,4,2
UBC,2003,W,AGRO,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",9,70.25,17.5,95,41,7,1,1,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,1,1,1
UBC,2003,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",34,72.5,9.9,92,53,32,0,2,0,0,0,0,0,0,0,0,1,3,1,7,3,3,5,5,3,1
UBC,2003,W,COMM,399,,201,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",49,77.18,7.75,92,58,49,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,5,10,12,8,2
UBC,2003,W,COMM,399,,202,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",50,77.62,8.01,91,60,50,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,9,8,11,8,5
UBC,2003,W,COMM,399,,203,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",47,74.98,11.66,92,50,47,0,0,0,0,0,0,0,0,0,0,3,3,3,1,3,5,11,7,5,6
UBC,2005,W,AGRO,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",9,82.63,7.52,94,73,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2
UBC,2005,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",53,69.17,14.85,92,28,47,5,1,0,0,0,0,1,1,3,5,0,8,6,4,3,5,7,7,5,2
UBC,2005,W,COMM,399,,202,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",49,79.92,7.18,94,65,48,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,7,6,12,14,2
UBC,2005,W,COMM,399,,203,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",49,78.67,5.87,90,62,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,11,16,6,1
UBC,2006,W,AGRO,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",12,74.73,10.99,91,62,11,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,2,0,1,1,2
UBC,2006,W,BASC,511,,001,SUPPLY CH DESIGN,"Nagarajan, Mahesh",10,84.9,7.52,93,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,2
UBC,2006,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",45,69.62,13.8,91,42,43,2,0,0,0,0,0,0,0,2,2,5,6,2,5,4,5,1,7,4,4
UBC,2006,W,COMM,399,,202,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",57,79.93,9.86,94,41,56,1,0,0,0,0,0,0,0,1,1,0,1,0,4,4,7,5,16,11,8
UBC,2006,W,COMM,399,,203,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",59,78.22,6.92,93,68,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,13,11,5,6
UBC,2007,W,AGRO,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",12,70.75,13.62,87,36,11,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,3,1,1,2,0
UBC,2007,W,BASC,511,,001,SUPPLY CH DESIGN,"Nagarajan, Mahesh",13,83.54,5.85,93,76,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3
UBC,2007,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",39,65.24,17.55,90,0,31,7,0,1,0,1,0,0,0,6,7,2,1,8,5,1,2,0,7,4,1
UBC,2007,W,COMM,399,,205,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",56,77.55,10.98,95,51,56,0,0,0,0,0,0,0,0,0,0,2,1,2,7,6,4,4,15,6,9
UBC,2007,W,COMM,399,,206,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",57,77.89,10.32,92,52,57,0,0,0,0,0,0,0,0,0,0,2,1,3,4,6,3,7,11,13,7
UBC,2007,W,COMM,682,,001,STOCHASTIC TOPCS,"Krishnan, Harish;Nagarajan, Mahesh",4,85.5,1.73,87,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
UBC,2009,S,BASC,500,,808,INTR LGSTCS&OPRT,"Nagarajan, Mahesh",56,84.09,5.84,95,70,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,14,21,9
UBC,2009,W,APBI,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",10,74.2,12.66,95,50,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,3,0,1
UBC,2009,W,APBI,351,,001,PLNT PHYS,"Mansfield, Shawn;Singh, Santokh;Upadhyaya, Mahesh",11,64.36,22.65,91,18,9,2,0,0,0,0,1,0,1,0,2,1,1,0,1,2,0,1,1,0,2
UBC,2009,W,BASC,514,,ECM,SUPPLY CHAIN MNG,"Nagarajan, Mahesh",22,79.86,4.6,87,72,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,3,0
UBC,2009,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",37,70.78,15.41,91,18,34,3,0,0,0,0,1,0,0,2,3,1,4,1,5,4,6,0,6,2,5
UBC,2012,W,APBI,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",18,74.22,15.49,96,38,17,1,0,0,0,0,0,0,1,0,1,1,1,1,2,0,3,0,4,4,1
UBC,2012,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",41,69.1,17.68,92,22,35,4,2,0,0,0,0,2,1,1,4,2,2,7,1,2,6,2,4,5,4
UBC,2013,W,APBI,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",20,77.26,9.76,94,58,19,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,2,3,6,1,2
UBC,2013,W,APBI,417,,001,PRD & PSTHRV VEG,"Upadhyaya, Mahesh",20,79.55,8.33,94,62,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,5,2,3
UBC,2013,W,BASC,540,,301,OPERATION FUNDMT,"Nagarajan, Mahesh",49,81.61,10.67,100,60,49,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7,8,5,7,15
UBC,2013,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",44,72.5,12.43,95,44,42,2,0,0,0,0,0,0,0,2,2,4,1,2,2,5,9,6,6,4,3
UBC,2014,S,BASC,550,,814,OPER & LOG,"Nagarajan, Mahesh",39,80.82,13.26,97,27,38,1,0,0,0,0,0,1,0,0,1,1,0,0,1,4,2,5,9,4,12
UBC,2014,W,APBI,328,,001,WEED SCIENCE,"Upadhyaya, Mahesh",13,62.54,17.84,90,31,10,3,0,0,0,0,0,0,1,2,3,3,0,0,2,1,0,0,3,0,1
UBC,2014,W,APBI,417,,001,PRD & PSTHRV VEG,"Upadhyaya, Mahesh",12,76.67,7.61,88,63,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,3,2,0
UBC,2014,W,BASC,523,,MM1,SUPPLY CHAIN MNG,"Nagarajan, Mahesh",48,74.42,6.17,88,61,48,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,13,7,13,1,0
UBC,2014,W,BIOL,317,,101,WEED SCIENCE,"Upadhyaya, Mahesh",37,69.35,16.32,96,12,34,3,0,0,0,0,1,1,0,1,3,1,3,2,3,4,7,4,7,2,1
