Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,MATH,253,,102,MULTIVRBL CALC,"Pramanik, Malabika",96,70.52,14.03,100,33,87,6,2,0,1,0,0,0,2,4,6,5,5,8,12,9,11,10,10,8,9
UBC,2006,W,MATH,421,,201,REAL ANALYSIS II,"Pramanik, Malabika",5,75.6,14.12,95,61,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
UBC,2007,W,MATH,320,,101,REAL VARIABLS I,"Pramanik, Malabika",55,75.54,15.82,100,40,44,2,5,1,3,0,0,0,0,2,2,4,1,1,5,6,7,3,3,4,10
UBC,2007,W,MATH,421,,201,REAL ANALYSIS II,"Pramanik, Malabika",4,86.25,21.03,100,55,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
UBC,2007,W,MATH,542,,101,HARMONIC ANAL II,"Pramanik, Malabika",8,93.57,3.78,100,90,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
UBC,2009,W,MATH,121,,201,INTEGRAL CALCULU,"Pramanik, Malabika",44,75.74,13.71,98,52,43,0,1,0,0,0,0,0,0,0,0,3,4,3,2,5,4,2,7,5,8
UBC,2009,W,MATH,217,,101,MLTVAR&VCTR CALC,"Pramanik, Malabika",63,74.19,15.46,100,27,60,3,0,0,0,0,0,1,2,0,3,1,4,7,6,7,5,5,7,6,12
UBC,2010,W,MATH,105,,203,INT CALC AP C&SS,"Pramanik, Malabika",220,74.56,13.11,99,22,210,6,3,0,1,0,0,1,1,4,6,6,17,13,11,32,27,17,31,30,26
UBC,2011,W,MATH,105,,204,INT CALC AP C&SS,"Pramanik, Malabika",118,65.93,16.64,95,14,99,15,3,0,1,0,1,1,6,7,15,7,12,15,15,7,12,7,6,8,10
UBC,2011,W,MATH,321,,201,REAL VARIABLS II,"Pramanik, Malabika",29,70.85,13.53,96,50,27,0,1,0,1,0,0,0,0,0,0,2,5,1,4,4,0,2,2,5,2
