Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,PHYS,402,,201,APLIC QUANT MECH,"Franz, Marcel",23,73.7,15.5,100,45,22,1,0,0,0,0,0,0,0,1,1,2,1,2,1,3,4,1,1,3,4
UBC,2002,W,PHYS,502,,101,COND MATTER I,"Franz, Marcel",10,83.5,6.28,96,76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1
UBC,2003,W,PHYS,304,,101,INTRO QUANT MECH,"Franz, Marcel",65,67.02,21.46,100,9,53,8,3,1,0,1,1,5,1,0,8,4,3,6,8,4,5,2,8,6,7
UBC,2003,W,PHYS,502,,101,COND MATTER I,"Franz, Marcel",16,80.94,10.1,95,63,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,3,1,5
UBC,2005,W,PHYS,304,,101,INTRO QUANT MECH,"Franz, Marcel",67,65.85,19.07,100,0,56,11,0,0,0,1,0,0,3,7,11,7,10,4,5,6,4,2,4,4,10
UBC,2005,W,PHYS,502,,201,COND MATTER I,"Franz, Marcel",9,79.5,11.77,96,68,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3
UBC,2006,W,PHYS,304,,101,INTRO QUANT MECH,"Franz, Marcel",46,69.45,21.57,99,16,37,7,2,0,0,0,1,2,2,2,7,3,2,3,4,2,2,3,2,8,8
UBC,2007,W,PHYS,474,,201,SOLID STATE PHYS,"Franz, Marcel",35,74.97,11.79,94,50,35,0,0,0,0,0,0,0,0,0,0,2,1,3,3,3,4,4,7,4,4
UBC,2009,W,PHYS,474,,201,SOLID STATE PHYS,"Franz, Marcel",17,79,14.43,99,58,15,0,0,1,1,0,0,0,0,0,0,0,1,2,1,2,1,0,1,3,4
UBC,2009,W,PHYS,502,,101,COND MATTER I,"Franz, Marcel",15,73.57,31.92,99,2,12,2,1,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,3,2,5
UBC,2010,W,PHYS,474,,201,SOLID STATE PHYS,"Franz, Marcel",24,78.57,14.75,100,50,23,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,2,3,3,2,7
UBC,2010,W,PHYS,502,,101,COND MATTER I,"Franz, Marcel",13,81.08,9.12,100,69,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,3
UBC,2011,W,PHYS,502,,201,COND MATTER I,"Franz, Marcel",15,81.13,16.88,98,27,14,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,3,5,3
UBC,2012,W,PHYS,502,,101,COND MATTER I,"Franz, Marcel",8,81.86,9.6,93,68,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
UBC,2012,W,PHYS,525,B,201,ADV COND MATTER,"Franz, Marcel",16,89.3,4.6,93,78,10,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7
UBC,2013,W,PHYS,502,,101,COND MATTER I,"Franz, Marcel",11,81.27,7.43,93,71,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
UBC,2013,W,PHYS,549,,001,MASTERS THESIS,"Franz, Marcel",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,PHYS,525,B,201,ADV COND MATTER,"Franz, Marcel",9,85.88,8.17,92,68,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4
UBC,2015,W,PHYS,304,,101,INTRO QUANT MECH,"Franz, Marcel",82,67.8,20.54,100,9,69,12,1,0,0,1,1,2,2,6,12,7,5,4,9,9,5,4,6,7,13
UBC,2015,W,PHYS,502,,101,COND MATTER I,"Franz, Marcel",21,76.9,17.37,99,17,19,1,1,0,0,0,1,0,0,0,1,0,0,0,2,4,2,0,3,4,4
UBC,2016,W,PHYS,304,,101,INTRO QUANT MECH,"Franz, Marcel",113,70.06,20.06,100,17,94,14,4,1,0,0,1,2,4,7,14,15,7,3,3,7,6,6,19,9,19
UBC,2016,W,PHYS,525,B,201,ADV COND MATTER,"Franz, Marcel",17,89.56,5.86,97,72,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,9
UBC,2017,W,PHYS,158,,202,INTR PHYS ENG II,"Franz, Marcel",261,68.1,16.35,99,22,211,39,5,0,6,0,0,4,6,29,39,13,23,20,19,23,20,23,21,30,19
UBC,2017,W,PHYS,304,,101,INTRO QUANT MECH,"Franz, Marcel",123,73.77,18.01,100,25,103,14,4,0,2,0,0,1,5,8,14,5,6,6,3,13,8,9,14,16,23
UBC,2018,W,PHYS,158,,202,INTR PHYS ENG II,"Franz, Marcel;Zou, Ke",290,64.51,15.26,97,28,229,54,4,0,3,0,0,1,24,29,54,8,31,30,25,36,20,29,30,13,7
UBC,2018,W,PHYS,525,B,201,ADV COND MATTER,"Franz, Marcel",18,91.65,5.24,100,83,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10
