Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",57,83.24,9.16,98,61,55,0,2,0,0,0,0,0,0,0,0,0,0,3,2,4,0,5,10,16,15
UBC,2005,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",21,89.45,4.14,96,82,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9
UBC,2006,W,ECON,490,,003,APPLIED ECON,"Marmer, Vadim",19,84.17,6.54,93,66,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,8,3
UBC,2006,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",55,85.02,10.01,100,63,53,0,1,1,0,0,0,0,0,0,0,0,0,1,1,6,2,6,6,9,22
UBC,2006,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",18,86.56,10.95,100,60,16,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,9
UBC,2007,W,ECON,490,,003,APPLIED ECON,"Marmer, Vadim",18,85.28,8.69,100,65,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,7,4
UBC,2007,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",41,84.82,11.37,100,60,39,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,4,5,7,4,14
UBC,2007,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",17,90.88,5.28,100,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11
UBC,2009,W,ECON,326,,003,MTDS EMPIRC RESR,"Marmer, Vadim",60,83.17,9.84,100,58,59,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,6,9,13,5,19
UBC,2009,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",73,83.16,13,100,3,72,1,0,0,0,1,0,0,0,0,1,0,0,1,1,5,5,5,18,15,22
UBC,2009,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",14,83.14,17.13,99,31,13,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,4,2,5
UBC,2010,W,ECON,326,,003,MTDS EMPIRC RESR,"Marmer, Vadim",70,85.23,11.63,100,35,69,1,0,0,0,0,0,0,1,0,1,0,0,3,1,3,3,8,8,15,28
UBC,2010,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",65,79.87,15.19,100,14,61,2,1,0,1,0,1,0,1,0,2,0,0,1,0,16,6,7,6,5,20
UBC,2010,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",19,91.84,8.53,100,76,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,13
UBC,2011,W,ECON,326,,003,MTDS EMPIRC RESR,"Marmer, Vadim",74,81.57,10.37,100,61,74,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,9,8,10,12,19
UBC,2011,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",60,85.91,12.91,100,47,55,2,2,1,0,0,0,0,0,2,2,0,0,3,1,1,4,1,8,9,28
UBC,2011,W,ECON,592,B,001,DIRECTED READING,"Marmer, Vadim",5,90.6,5.22,99,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
UBC,2011,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",21,85.4,10.58,100,60,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,6,6
UBC,2012,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",56,83.26,8.96,96,45,53,1,2,0,0,0,0,0,0,1,1,0,0,1,0,2,3,6,15,12,14
UBC,2012,W,ECON,590,A,002,SPEC ADV CRSE,"Marmer, Vadim",7,95.5,4.8,100,90,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UBC,2012,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",7,86,6.68,95,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3
UBC,2013,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",53,83.37,9.41,100,63,52,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6,3,5,9,10,17
UBC,2013,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",13,84.77,7.14,95,70,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,4
UBC,2014,W,ECON,327,,001,INTR EMPIR MTHDS,"Marmer, Vadim",85,88.33,9.1,100,59,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,10,10,16,42
UBC,2014,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",60,82.36,13.05,99,25,56,2,2,0,0,0,0,1,0,1,2,0,0,1,1,5,5,5,7,17,15
UBC,2014,W,ECON,592,G,003,DIRECTED READING,"Marmer, Vadim",4,90,7.26,100,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UBC,2014,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",15,87.6,7.84,95,68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,7
UBC,2015,W,ECON,327,,001,INTR EMPIR MTHDS,"Marmer, Vadim",78,78.49,12.1,100,50,76,0,2,0,0,0,0,0,0,0,0,4,2,2,3,11,10,9,8,10,17
UBC,2015,W,ECON,527,,001,ECONOMETRIC METH,"Marmer, Vadim",54,83.31,9.96,100,68,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,5,8,18
UBC,2015,W,ECON,592,B,001,DIRECTED READING,"Marmer, Vadim",5,88.8,1.79,90,86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
UBC,2015,W,ECON,627,,001,ECON THRY II,"Marmer, Vadim",22,87.77,7.42,100,70,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,4,11
