Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,GERM,433,,903,GERM READ KNOW 1,"Maslenikau, Ihar",41,78.54,12.09,99,51,41,0,0,0,0,0,0,0,0,0,0,1,1,5,2,3,3,2,11,6,7
UBC,2006,W,GERM,433,,904,GERM READ KNOW 1,"Maslenikau, Ihar",29,76.55,11.48,97,51,29,0,0,0,0,0,0,0,0,0,0,1,1,0,4,5,5,1,4,4,4
UBC,2006,W,GERM,433,,905,GERM READ KNOW 1,"Maslenikau, Ihar",43,81.86,13.23,98,21,42,1,0,0,0,0,0,1,0,0,1,0,0,1,1,3,3,5,7,9,13
UBC,2006,W,GERM,434,,901,GERM READ KNOW 2,"Maslenikau, Ihar",13,88.15,9.85,99,64,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,6
UBC,2006,W,GERM,434,,902,GERM READ KNOW 2,"Maslenikau, Ihar",19,88.53,6.63,98,75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,9
UBC,2007,W,GERM,100,,013,BEGIN GERM I,"Maslenikau, Ihar",26,83.33,8,96,68,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,4,7,6
UBC,2007,W,GERM,200,,004,INTER GERM I,"Maslenikau, Ihar",15,82.14,12.51,98,51,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3,1,5
UBC,2007,W,GERM,210,,004,INTER GERM II,"Maslenikau, Ihar",16,81.47,11.88,96,58,15,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,3,5
UBC,2007,W,GERM,433,,904,GERM READ KNOW 1,"Maslenikau, Ihar",40,77.18,6.82,90,62,39,0,1,0,0,0,0,0,0,0,0,0,0,1,2,8,3,8,12,4,1
UBC,2009,S,GERM,434,,921,GERM READ KNOW 2,"Maslenikau, Ihar",27,86.81,9.5,99,68,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,12
UBC,2009,W,GERM,100,,001,BEGIN GERM I,"Maslenikau, Ihar",30,82.29,14.24,96,25,27,1,1,1,0,0,0,1,0,0,1,0,0,0,0,2,5,2,5,2,11
UBC,2009,W,GERM,100,,016,BEGIN GERM I,"Maslenikau, Ihar",27,81.31,11.11,96,58,26,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0,5,7,6
UBC,2009,W,GERM,100,,901,BEGIN GERM I,"Maslenikau, Ihar",26,86.8,8.38,98,70,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,4,12
