Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BIOL,413,,201,ZOOGEOGRAPHY,"McIntosh, Terry T",65,78.67,6.98,95,64,64,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,11,9,20,6,7
UBC,2002,W,BUSI,393,,102,INTR BUSNSS LAW,"McIntosh, Ellen Jane",4,76,7.53,84,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0
UBC,2002,W,BUSI,393,,105,INTR BUSNSS LAW,"McIntosh, Ellen Jane",6,70.5,6.35,77,60,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0
UBC,2002,W,CHEM,123,,201,Phys & Org Chem,"Comisarow, Melvin;Herring, F Geoffrey;McIntosh, Lawrence;Patey, Grenfell;Tanner, Martin",244,71.49,11.81,99,45,229,14,1,0,0,0,0,0,0,14,14,5,14,20,27,38,40,21,27,17,20
UBC,2002,W,CHEM,123,,202,Phys & Org Chem,"Comisarow, Melvin;Herring, F Geoffrey;McIntosh, Lawrence;Patey, Grenfell;Tanner, Martin",197,68.23,12.11,90,41,170,20,5,0,2,0,0,0,0,20,20,3,17,24,17,35,21,7,30,11,5
UBC,2002,W,CHEM,123,,209,Phys & Org Chem,"Comisarow, Melvin;Herring, F Geoffrey;McIntosh, Lawrence;Patey, Grenfell;Tanner, Martin",257,71.71,11.17,95,39,238,15,1,0,3,0,0,0,1,14,15,1,17,23,12,45,45,25,41,16,13
UBC,2002,W,CHEM,123,,210,Phys & Org Chem,"Comisarow, Melvin;Herring, F Geoffrey;McIntosh, Lawrence;Patey, Grenfell;Tanner, Martin",233,66.95,13.65,92,27,190,39,2,0,2,0,0,1,2,36,39,2,18,23,27,28,24,15,31,15,7
UBC,2002,W,CHEM,123,,211,Phys & Org Chem,"Comisarow, Melvin;Herring, F Geoffrey;McIntosh, Lawrence;Patey, Grenfell;Tanner, Martin",244,67.02,13.75,93,24,200,37,2,0,5,0,0,2,1,34,37,3,18,29,25,39,20,15,26,13,12
UBC,2002,W,CHEM,123,,222,Phys & Org Chem,"Comisarow, Melvin;Herring, F Geoffrey;McIntosh, Lawrence;Patey, Grenfell;Tanner, Martin",145,76.59,9.47,95,36,142,2,0,0,1,0,0,0,1,1,2,0,5,4,10,17,20,19,38,19,10
UBC,2002,W,CHEM,123,,299,Phys & Org Chem,"Comisarow, Melvin;Herring, F Geoffrey;McIntosh, Lawrence;Patey, Grenfell;Tanner, Martin",209,68.39,13.55,97,7,185,22,0,0,2,1,0,0,3,18,22,3,22,24,17,29,20,20,30,11,9
UBC,2002,W,COMM,393,,102,COMMERCIAL LAW,"McIntosh, Ellen Jane",53,75.6,10.82,90,37,52,1,0,0,0,0,0,0,1,0,1,3,0,1,6,4,5,8,17,6,2
UBC,2002,W,COMM,393,,104,COMMERCIAL LAW,"McIntosh, Ellen Jane",54,80.59,8.54,92,51,54,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,5,7,15,16,5
UBC,2002,W,COMM,393,,105,COMMERCIAL LAW,"McIntosh, Ellen Jane",42,74.36,8.59,90,48,41,1,0,0,0,0,0,0,0,1,1,1,0,1,3,8,10,6,8,3,1
UBC,2002,W,COMM,393,,202,COMMERCIAL LAW,"McIntosh, Ellen Jane",39,72.31,9.51,89,45,38,1,0,0,0,0,0,0,0,1,1,1,0,6,3,6,6,5,8,3,0
UBC,2002,W,COMM,393,,203,COMMERCIAL LAW,"McIntosh, Ellen Jane",51,72.64,14.12,98,0,49,1,1,0,0,1,0,0,0,0,1,1,3,1,8,6,9,6,10,3,2
UBC,2002,W,COMM,393,,205,COMMERCIAL LAW,"McIntosh, Ellen Jane",38,68.97,15.48,94,0,37,1,0,0,0,1,0,0,0,0,1,3,2,2,6,9,2,4,5,3,1
UBC,2002,W,COMM,431,,101,LAW OF BUS ASSOC,"McIntosh, Ellen Jane",30,80.33,4.98,88,71,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,12,6,0
UBC,2002,W,COMM,431,,201,LAW OF BUS ASSOC,"McIntosh, Ellen Jane",25,76.5,7.84,88,61,24,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,4,3,5,5,0
UBC,2003,W,BUSI,393,,106,INTR BUSNSS LAW,"McIntosh, Ellen Jane",16,68.93,8.89,83,44,13,1,1,0,1,0,0,0,0,1,1,0,0,0,4,4,3,1,1,0,0
