Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,GEOG,102,,101,INT PHY GEOG:A&W,"Hertzman, Owen;McKendry, Ian",199,69.74,10.57,93,13,190,3,5,0,1,0,1,0,1,1,3,9,12,27,18,34,30,17,36,6,1
UBC,2002,W,GEOG,102,,104,INT PHY GEOG:A&W,"Hertzman, Owen;McKendry, Ian",212,69.62,10,92,31,205,3,3,0,1,0,0,0,3,0,3,7,22,26,15,42,30,30,21,10,2
UBC,2002,W,GEOG,200,,101,Atmos Environs,"McKendry, Ian;Oke, Timothy",93,69.22,13.24,92,24,82,6,2,0,3,0,0,1,3,2,6,3,4,7,16,7,16,10,8,5,6
UBC,2002,W,GEOG,210,,101,VANC AND REGION,"Hermansen, Sally;McKendry, Ian",93,70.71,9.02,86,36,91,2,0,0,0,0,0,0,1,1,2,1,5,11,8,17,20,11,16,2,0
UBC,2002,W,GEOG,309,,201,PHYS GEOG FIELD,"Bovis, Michael J;Daniels, Lori;Henry, Gregory H;McKendry, Ian",8,74,12.15,83,45,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,3,0,0
UBC,2002,W,GEOG,500,,101,CNTP RS TRDS PHY,"Henry, Gregory H;McKendry, Ian",8,82.25,2.92,87,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0
UBC,2003,W,GEOG,102,,101,INT PHY GEOG:A&W,"Holm, Kris;McKendry, Ian",191,72.52,8.92,94,27,182,3,5,0,1,0,0,1,0,2,3,1,7,17,18,28,33,37,30,9,2
UBC,2003,W,GEOG,200,,101,ATMOS ENVIRONS,"McKendry, Ian",93,72.27,12.23,90,16,88,2,3,0,0,0,1,0,1,0,2,2,4,8,9,12,13,10,13,16,1
UBC,2003,W,GEOG,309,,201,PHYS GEOG FIELD,"Bovis, Michael J;Daniels, Lori;Henry, Gregory H;McKendry, Ian",19,75.47,5.23,90,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,3,0,1
UBC,2003,W,GEOG,500,,101,CNTP RS TRDS PHY,"Henry, Gregory H;McKendry, Ian",5,82.8,2.17,86,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
UBC,2006,W,GEOG,200,,101,ATMOS ENVIRONS,"McKendry, Ian;Oke, Timothy",101,67.92,10.41,90,44,98,2,1,0,0,0,0,0,0,2,2,10,8,10,14,15,15,12,7,4,3
UBC,2006,W,GEOG,210,,101,VANC AND REGION,"McKendry, Ian;Wynn, Graeme",110,71.98,6.88,90,54,108,0,0,1,1,0,0,0,0,0,0,2,3,8,12,22,27,18,13,2,1
UBC,2006,W,GEOG,309,,201,PHYS GEOG FIELD,"Christen, Andreas;Eaton, Brett;McKendry, Ian",14,75.21,10.36,84,45,13,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,2,6,0,0
UBC,2006,W,GEOG,402,,201,AIR POL METEOROL,"McKendry, Ian",31,74.55,5.37,86,62,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,13,0,3,0
UBC,2006,W,GEOG,500,,101,CNTP RS TRDS PHY,"Church, Michael;McKendry, Ian",6,83.83,2.48,88,81,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
UBC,2007,W,GEOG,200,,101,ATMOS ENVIRONS,"McKendry, Ian",99,71.62,12.12,92,33,94,4,1,0,0,0,0,0,1,3,4,7,5,9,4,9,19,12,14,12,3
UBC,2007,W,GEOG,210,,101,VANC AND REGION,"Hermansen, Sally;McKendry, Ian;Wynn, Graeme",115,71.38,8.04,91,37,111,1,3,0,0,0,0,0,1,0,1,2,6,6,12,27,27,11,16,3,1
UBC,2007,W,GEOG,309,,201,PHYS GEOG FIELD,"Christen, Andreas;Koppes, Michele;McKendry, Ian",21,73.52,10.03,92,42,20,1,0,0,0,0,0,0,0,1,1,0,1,0,1,3,6,4,3,1,1
UBC,2007,W,GEOG,402,,201,AIR POL METEOROL,"McKendry, Ian",28,75.19,6.77,87,61,27,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6,3,5,8,2,0
UBC,2007,W,GEOG,500,,101,CNTP RS TRDS PHY,"McKendry, Ian;Moore, Robert Daniel",6,83.5,3.02,88,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
UBC,2009,W,GEOB,200,,101,ATMOS ENVIRONS,"McKendry, Ian",94,71.74,11.53,91,34,90,3,1,0,0,0,0,0,2,1,3,4,5,9,5,6,17,16,19,6,3
UBC,2009,W,GEOB,309,,201,PHYS GEOG FIELD,"Eaton, Brett;Koppes, Michele;McKendry, Ian",18,76.53,7.84,85,53,17,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4,6,2,0
UBC,2009,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",36,79.06,5.99,90,65,33,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,5,6,14,4,2
UBC,2009,W,GEOB,500,,101,CNTP RS TRDS PHY,"McKendry, Ian;Moore, Robert Daniel",12,83.25,1.6,86,80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0
UBC,2010,W,GEOB,200,,101,ATMOS ENVIRONS,"McKendry, Ian",94,69.11,12.34,92,29,87,5,2,0,0,0,0,2,1,2,5,5,7,3,11,19,10,13,14,4,1
UBC,2010,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",37,77.19,8.02,90,51,36,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,4,11,10,4,2
UBC,2010,W,GEOB,500,,101,CNTP RS TRDS PHY,"McKendry, Ian;Moore, Robert Daniel",12,83.3,2.67,88,80,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
UBC,2010,W,GEOG,210,,101,VANC AND REGION,"Edgington, David William;McKendry, Ian",180,73.72,9.05,94,50,178,0,2,0,0,0,0,0,0,0,0,3,8,12,16,36,25,16,42,14,6
UBC,2011,W,GEOB,200,,101,ATMOS ENVIRONS,"McKendry, Ian",77,71.7,11.34,90,33,69,1,4,0,3,0,0,0,1,0,1,5,2,4,8,12,9,9,9,9,2
UBC,2011,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",40,78.51,5.01,85,69,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,9,15,6,0
UBC,2011,W,GEOB,500,,101,CNTP RS TRDS PHY,"McKendry, Ian;Moore, Robert Daniel",8,84.5,3.25,90,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
UBC,2011,W,GEOG,210,,101,VANC AND REGION,"Hermansen, Sally;McKendry, Ian",197,74.32,7.05,91,50,193,0,3,0,1,0,0,0,0,0,0,2,5,4,15,37,45,34,36,13,2
UBC,2012,W,GEOB,200,,101,ATMOS ENVIRONS,"Hamdan, Khaled;McKendry, Ian",94,70.32,13.35,91,26,90,2,1,0,1,0,0,2,0,0,2,9,6,10,9,11,6,7,15,12,5
UBC,2012,W,GEOB,309,,201,BIOGEOSC FIELD,"Eaton, Brett;Henry, Gregory H;McKendry, Ian",20,78.95,3.46,85,72,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,2,0
UBC,2012,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",44,76.32,9.5,90,38,43,1,0,0,0,0,0,0,1,0,1,1,0,1,2,1,9,8,16,4,1
UBC,2012,W,GEOB,500,,101,CNTP RS TRDS PHY,"Eaton, Brett;McKendry, Ian",14,85.5,1.87,90,83,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1
UBC,2012,W,GEOG,311,,101,URBAN ENVR,"Hermansen, Sally;McKendry, Ian",80,75.52,5.8,87,59,77,0,3,0,0,0,0,0,0,0,0,0,1,2,3,9,19,16,24,3,0
UBC,2014,W,GEOB,200,,101,ATMOS ENVIRONS,"McKendry, Ian",109,73.36,10.43,96,43,106,1,1,0,1,0,0,0,0,1,1,6,5,5,11,10,19,15,22,9,4
UBC,2014,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",58,76.33,8.82,93,56,58,0,0,0,0,0,0,0,0,0,0,0,3,4,2,5,10,7,17,7,3
UBC,2015,W,GEOB,200,,101,ATMOS ENVIRONS,"McKendry, Ian;VAN DER KAMP, DEREK",105,71.35,10.9,94,45,104,1,0,0,0,0,0,0,0,1,1,7,7,7,12,16,14,11,18,6,6
UBC,2015,W,GEOB,309,,201,BIOGEOSC FIELD,"Koppes, Michele;McKendry, Ian;Moore, Robert Daniel;Williams, Jennifer",21,77.43,3.26,85,72,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,1,0
UBC,2015,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",45,76.62,8.2,92,53,45,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,8,12,9,6,2
UBC,2015,W,GEOB,500,,001,CNTP RS TRDS PHY,"Henry, Gregory H;McKendry, Ian",10,87,1.05,88,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
UBC,2016,W,GEOB,200,,101,ATMOS ENVIRONS,"McKendry, Ian",90,75.92,10.37,94,50,85,0,3,1,0,0,0,0,0,0,0,3,4,4,7,10,9,6,24,9,9
UBC,2016,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",64,74.03,13.12,90,0,60,2,1,1,0,1,0,0,1,0,2,0,1,3,0,10,12,11,17,4,2
UBC,2016,W,GEOB,500,,001,CNTP RS TRDS PHY,"Eaton, Brett;McKendry, Ian",11,86.6,2.22,90,83,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2
UBC,2017,W,GEOB,200,,101,ATMOS ENVIRONS,"McKendry, Ian",95,75.46,10.87,94,44,90,1,3,0,0,0,0,0,0,1,1,3,3,7,7,8,6,12,20,20,4
UBC,2017,W,GEOB,300,,101,MICRO WTHR&CLIM,"McKendry, Ian",66,73.13,9.61,94,50,64,0,2,0,0,0,0,0,0,0,0,3,3,4,3,10,14,7,11,7,2
UBC,2017,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",39,78.56,6.25,90,68,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,10,5,3
UBC,2018,W,GEOB,402,,201,AIR POL METEOROL,"McKendry, Ian",57,76.73,10.95,90,17,55,1,1,0,0,0,1,0,0,0,1,1,1,1,0,3,9,12,20,7,1
