Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,COMM,392,,102,LABOUR RELATIONS,"Arbogast, Mike",62,73.21,9.02,87,46,60,1,1,0,0,0,0,0,0,1,1,2,4,1,5,9,10,13,11,5,0
UBC,2002,W,GEOG,426,,101,HIST GEOG OF BC,"Carr, Mike",20,70.16,11.16,89,55,19,0,0,0,1,0,0,0,0,0,0,0,5,3,2,0,1,2,4,2,0
UBC,2002,W,HKIN,220,A,0A1,PERF ANLY SL TM,"Renney, Mike",18,74.06,10.43,91,55,18,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,0,4,1,3,1
UBC,2003,W,COMM,392,,102,LABOUR RELATIONS,"Arbogast, Mike",52,76.58,5.95,89,64,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,11,12,6,0
UBC,2003,W,HKIN,220,A,0A1,PERF ANLY SL TM,"Renney, Mike",13,76,7.04,89,62,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,3,1,0
UBC,2006,W,BAEN,580,A,001,TPCS ENTREPR'SHP,"Lyons, Mike",16,84.33,5.01,92,75,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,3
UBC,2006,W,BAEN,580,D,001,TPCS ENTREPR'SHP,"Lyons, Mike",15,84.33,5.01,92,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,3
UBC,2006,W,GEOG,350,,202,URBAN GEOG,"Carr, Mike",68,71.19,13.23,89,0,65,2,1,0,0,1,0,1,0,0,2,1,1,8,5,13,9,17,4,7,0
UBC,2006,W,PSYC,309,B,901,COGNTV PROCESSES,"Dodd, Mike",65,71.83,14.78,95,12,61,2,2,0,0,0,1,0,1,0,2,3,6,6,2,9,8,9,5,8,5
UBC,2007,W,BAEN,580,A,001,TPCS ENTREPR'SHP,"Du, Qianqian;Lyons, Mike",14,80.07,3.43,84,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,0
UBC,2007,W,BAEN,580,B,001,TPCS ENTREPR'SHP,"Du, Qianqian;Lyons, Mike",14,80.07,3.43,84,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,0
UBC,2007,W,COMM,371,,201,THRY OF FINANCE,"Simutin, Mike",38,78.55,9.85,95,51,38,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,4,3,13,8,2
UBC,2009,S,CIVL,526,,942,3D MDL COST EST,"SAMILSKI, MIKE",27,82.27,4.6,91,76,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,5,3
UBC,2009,W,APSC,541,,201,TECH ENT ENGIN,"Hellmann, Thomas;Lyons, Mike",13,83,8.12,98,74,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,2
UBC,2009,W,BAEN,506,,001,TECHNO ENTRE I,"Hellmann, Thomas;Lyons, Mike",25,82.4,6.94,98,74,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,9,2
UBC,2009,W,BAEN,507,,001,TECHNO ENTRE II,"Hellmann, Thomas;Lyons, Mike",25,82.4,6.94,98,74,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,9,2
UBC,2009,W,CIVL,596,A,204,PROJECT IN CIVL,"Froese, Thomas;SAMILSKI, MIKE",5,81.4,5.32,89,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0
UBC,2010,W,BAEN,506,,001,TECHNO ENTRE I,"Lyons, Mike;Staub-French, Sheryl;Tergiman, Chloe",22,85.36,6.38,93,72,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,3,8
UBC,2010,W,GEOB,304,,201,SYNPTC METR&CLIM,"Witiw, Mike",31,72.07,11.58,96,50,30,0,1,0,0,0,0,0,0,0,0,3,2,0,2,8,5,4,0,3,3
UBC,2010,W,WOOD,341,,101,PROBLEM SOLVING,"Gehloff, Mike",18,79.94,7.73,94,66,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,4,1
UBC,2011,W,BABS,502,,001,FORECASTING MGMT,"Fry, Mike",20,84.2,6.66,94,71,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,4,6
UBC,2011,W,BAMS,500,,001,APP MNG SCIE I,"Fry, Mike",28,81.3,6.64,91,60,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,10,7,3
UBC,2011,W,GEOB,304,,201,SYNPTC METR&CLIM,"Witiw, Mike",23,76.09,10.25,95,53,23,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,2,6,2,3
UBC,2013,W,ARTH,335,,001,ITAL RENAI ART,"Coughlin, Mike",42,73.1,9.58,91,50,41,0,1,0,0,0,0,0,0,0,0,1,2,3,5,6,8,4,7,3,2
UBC,2015,W,LLED,200,,V95,INTRO ACAD WRIT,"Murphy, Mike",17,65.94,8.59,83,50,17,0,0,0,0,0,0,0,0,0,0,2,2,2,4,2,3,1,1,0,0
UBC,2015,W,LLED,200,,VE1,INTRO ACAD WRIT,"Murphy, Mike",18,68.28,11.34,89,46,17,1,0,0,0,0,0,0,0,1,1,1,2,3,2,1,3,2,2,1,0
UBC,2015,W,LLED,201,,V95,CRIT READ&WRIT,"Murphy, Mike",17,59.53,11.74,76,32,15,2,0,0,0,0,0,0,1,1,2,4,2,2,3,1,1,2,0,0,0
UBC,2015,W,LLED,201,,VE1,CRIT READ&WRIT,"Murphy, Mike",18,60.28,18.19,81,14,14,4,0,0,0,0,1,0,1,2,4,1,3,2,1,1,1,2,3,0,0
