Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,EECE,481,,201,Dig Int Circ Des,"Molavi, Reza",23,84.4,8.61,95,64,20,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,5,4,6
UBC,2014,W,EECE,263,,101,BASIC CIRC ANLYS,"Molavi, Reza",108,74.29,12.68,99,40,104,3,1,0,0,0,0,0,0,3,3,7,0,9,8,15,18,9,13,14,11
UBC,2014,W,EECE,363,,201,CIRCTS ELECMECH,"Molavi, Reza",32,77.48,8.46,92,56,31,0,0,1,0,0,0,0,0,0,0,0,1,1,2,4,3,4,8,7,1
UBC,2015,W,ELEC,344,,101,APPL EL & ELMECH,"Molavi, Reza",76,77.43,12.18,100,41,74,2,0,0,0,0,0,0,0,2,2,3,2,3,4,7,5,7,18,16,9
UBC,2015,W,ELEC,403,,201,ADV DIG VLSI SYS,"Molavi, Reza",12,75.82,9.36,98,65,11,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,1,1
UBC,2016,W,ELEC,403,,201,ADV DIG VLSI SYS,"Molavi, Reza",12,77.45,12.96,95,56,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,1,3
UBC,2017,W,ELEC,205,,L1C,ELECTRONICS LAB,"Molavi, Reza",18,79.56,5.68,88,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,5,0
UBC,2017,W,ELEC,205,,L1D,ELECTRONICS LAB,"Molavi, Reza",20,82.1,6.69,93,68,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,7,5,3
UBC,2017,W,ELEC,205,,L1E,ELECTRONICS LAB,"Molavi, Reza",19,81.42,4.48,90,70,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,4,1
UBC,2017,W,ELEC,403,,201,ADV DIG VLSI SYS,"Molavi, Reza",12,77.83,6.89,90,63,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,2,1,1
UBC,2018,W,ELEC,402,,101,INTR VLSI SYS,"Molavi, Reza",44,75.19,12.44,94,51,42,0,0,0,2,0,0,0,0,0,0,3,4,2,2,4,3,4,9,7,4
