Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,BAHR,508,,001,MNG'G CHANGE,"Muehlchen, Elizabeth",20,83.6,4.42,92,76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,5,3
UBC,2005,W,BAHR,512,,001,MNG'G DIVERSITY,"Muehlchen, Elizabeth",17,83.81,4.89,90,71,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,8,2
UBC,2005,W,COMM,292,,101,MNGMT&ORGNZ BHVR,"Muehlchen, Elizabeth",51,70.86,13.46,90,0,49,1,1,0,0,1,0,0,0,0,1,2,1,4,8,6,11,5,8,2,2
UBC,2005,W,COMM,292,,108,MNGMT&ORGNZ BHVR,"Muehlchen, Elizabeth",47,74.17,7.87,91,60,47,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,7,3,14,2,1
UBC,2006,W,BAHR,508,,001,MNG'G CHANGE,"Muehlchen, Elizabeth",39,86.87,4.58,96,78,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,11,13
UBC,2007,W,BAHR,508,,001,MNG'G CHANGE,"Muehlchen, Elizabeth",27,86.7,3.91,93,78,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,9
UBC,2009,W,BAHR,505,,ECM,LEADERSHIP,"Muehlchen, Elizabeth",39,85.41,3.14,92,80,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,6
UBC,2013,W,COMM,286,A,101,TPCS BUSINESS 2,"Muehlchen, Elizabeth",41,78.54,8,95,60,41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,5,8,7,9,3
UBC,2013,W,COMM,286,A,102,TPCS BUSINESS 2,"Muehlchen, Elizabeth",24,78.46,8.89,91,55,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,10,3,3
UBC,2013,W,COMM,286,A,201,TPCS BUSINESS 2,"Muehlchen, Elizabeth",36,75.03,15.23,92,16,35,1,0,0,0,0,1,0,0,0,1,3,1,1,2,2,6,2,9,5,4
UBC,2013,W,COMM,286,A,202,TPCS BUSINESS 2,"Muehlchen, Elizabeth",36,77.89,9.59,90,50,36,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,10,9,1
UBC,2014,W,COMM,280,,101,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",32,75.71,9.97,93,55,31,0,0,1,0,0,0,0,0,0,0,0,2,2,4,2,3,4,9,3,2
UBC,2014,W,COMM,280,,102,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",29,77.81,10.56,97,59,27,0,2,0,0,0,0,0,0,0,0,0,2,3,0,1,5,4,4,4,4
UBC,2014,W,COMM,280,,103,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",24,74.38,12.54,90,37,20,1,3,0,0,0,0,0,1,0,1,1,0,1,1,2,1,6,5,2,1
UBC,2014,W,COMM,280,,201,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",33,73.64,8.9,90,57,33,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,10,4,5,3,1
UBC,2014,W,COMM,280,,202,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",26,78.75,6.39,90,65,24,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,9,3,1
UBC,2014,W,COMM,486,G,201,SPECIAL TPC BUSI,"Muehlchen, Elizabeth",21,78.74,10.24,90,50,19,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,6,5,1
UBC,2015,S,COMM,280,,921,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",26,74.12,16.64,90,0,25,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,8,1,7,1,3
UBC,2015,W,COMM,280,,101,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",37,75.16,10.27,88,33,36,1,0,0,0,0,0,0,1,0,1,1,0,0,4,3,6,7,10,5,0
UBC,2015,W,COMM,280,,102,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",38,76.3,8.93,90,55,37,0,1,0,0,0,0,0,0,0,0,0,2,1,2,3,10,5,6,6,2
UBC,2015,W,COMM,280,,103,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",37,77.19,9.51,95,54,36,0,1,0,0,0,0,0,0,0,0,1,0,2,3,5,3,6,7,5,4
UBC,2015,W,COMM,280,,201,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",20,75.21,12.27,92,39,18,1,1,0,0,0,0,0,1,0,1,0,0,2,1,1,3,4,3,2,2
UBC,2015,W,COMM,280,,202,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",30,76.41,7.67,93,63,29,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,8,3,9,0,2
UBC,2015,W,COMM,280,,203,ENTREPRENEURSHIP,"Muehlchen, Elizabeth",37,76.42,9.15,92,55,36,0,1,0,0,0,0,0,0,0,0,0,2,1,3,5,4,5,11,2,3
UBC,2015,W,COMM,321,,DD1,ORG BEHAVIOUR,"Muehlchen, Elizabeth",20,81.75,6.98,93,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,4,4
UBC,2015,W,COMM,321,,DD2,ORG BEHAVIOUR,"Muehlchen, Elizabeth",50,81.38,8.27,94,60,48,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5,2,9,10,10,10
UBC,2015,W,COMM,321,,DD3,ORG BEHAVIOUR,"Muehlchen, Elizabeth",55,82.09,4.5,90,71,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,21,16,3
UBC,2015,W,COMM,486,G,201,SPECIAL TPC BUSI,"Muehlchen, Elizabeth",24,80,8.89,94,60,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,8,1,5
