Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,HCEP,532,,002,ENVR HEALTH RISK,"Nicol, Anne-Marie",14,80.08,9.27,90,60,12,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,3,2
UBC,2009,W,SPPH,532,B,002,ENVR HEALTH RISK,"Nicol, Anne-Marie",10,88.2,4.16,93,81,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
UBC,2010,W,SPPH,532,B,002,ENVR HEALTH RISK,"Nicol, Anne-Marie",10,87.2,5.09,96,77,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2
UBC,2010,W,SPPH,533,,001,OCC & ENV TOX,"Nicol, Anne-Marie",14,87.79,4.06,93,82,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6
UBC,2011,W,SPPH,532,B,002,ENVR HEALTH RISK,"Nicol, Anne-Marie",8,89.29,5.25,95,81,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
UBC,2011,W,SPPH,533,,001,OCC & ENV TOX,"Nicol, Anne-Marie",9,88,2.69,92,84,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
UBC,2012,W,SPPH,532,B,002,ENVR HEALTH RISK,"Nicol, Anne-Marie",8,90.13,3.72,95,85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
UBC,2012,W,SPPH,533,,001,OCC & ENV TOX,"Nicol, Anne-Marie",12,87.25,3.11,92,81,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3
UBC,2018,W,SPPH,532,,001,ENVR HEALTH RISK,"Nicol, Anne-Marie",10,89,3.42,93,83,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
UBCV,2018,W,SPPH,532,,001,Environmental Health Risk Assessment and Communication,Anne-Marie Nicol,8,89.0,3.422613872,93.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,3,4
UBCV,2021,W,SPPH,532,,001,Environmental Health Risk Assessment and Communication,Anne-Marie Nicol;Reza Afshari;Shaghayeghsadat Khoddami,6,85.833333333,4.308905507,92.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,1,1,3,1
