Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,PSYC,302,,99C,Infancy,Jiwon Jennifer Na;Jiwon Na;Natasha Pestonji;Valerie Kuhlmeier,103,69.55339806,14.09959543,90.0,0.0,7,,10,9,11,10,10,17,19,6,
UBCV,2015,S,PSYC,302,,98A,Infancy,Jiwon Jennifer Na;Jiwon Na;Natasha Pestonji;Vivian Li,83,66.69879518,15.71680392,94.0,17.0,13,5,5,5,10,10,9,6,12,7,1
UBCV,2015,W,PSYC,302,,99A,Infancy,Jiwon Jennifer Na;Jiwon Na;Mary Jia;Mary Rui Jia;Vivian Li,94,68.319148936,14.360349208,90.0,9.0,6,7,5,8,9,13,17,15,9,5,0
UBCV,2015,W,PSYC,302,,99C,Infancy,Jiwon Jennifer Na;Jiwon Na;Taeh Haddock;Vivian Li,82,66.902439024,13.497699627,90.0,11.0,8,,7,13,10,10,8,10,4,8,
UBCV,2016,W,PSYC,401,,202,Clinical Psychology,Brianne Glazier;Brianne Lee Glazier;Jiwon Jennifer Na;Jiwon Na;Wolfgang Linden,70,71.25714286,12.16515065,96.0,23.0,1,4,1,11,12,7,6,10,10,3,5
UBCV,2017,S,PSYC,300,A,921,Behaviour Disorders,Adri Khalis Abdul Karim;Adri Khalis Bin Abdul Karim;Jiwon Jennifer Na;Jiwon Na;Paul Hewitt,109,66.211009174,11.253043534,94.0,38.0,8,4,23,9,16,14,13,9,7,4,2
UBCV,2017,W,PSYC,535,,001,Psychopathology of the Adult,Jiwon Na;Joelle Lemoult,6,88.833333333,3.371448749,92.0,83.0,0,0,0,0,0,0,0,0,1,2,3
UBCV,2018,W,PSYC,300,A,001,Abnormal Psychology,Eva Zysk;Jiwon Jennifer Na;Jiwon Na,125,72.424,10.986255343,96.0,43.0,3,8,5,8,9,18,21,19,19,9,6
UBCV,2018,W,PSYC,300,A,99C,Abnormal Psychology,Bethany Michel;Jiwon Jennifer Na;Jiwon Na,105,72.733333333,14.104872771,97.0,30.0,5,7,7,7,13,10,8,7,13,18,10
UBCV,2019,S,PSYC,300,A,98A,Abnormal Psychology,Bethany Michel;Jiwon Jennifer Na;Jiwon Na,99,72.252525253,13.043368347,93.0,26.0,7,3,3,8,11,10,13,14,10,15,5
UBCV,2019,W,PSYC,542,,001,Cognitive/Behavioural Interventions,Jiwon Jennifer Na;Jiwon Na;Lynn Alden,6,90.666666667,7.366591251,97.0,79.0,0,0,0,0,0,0,0,1,1,0,4
UBCV,2020,S,PSYC,300,A,98A,Abnormal Psychology,Bethany Michel;Jiwon Jennifer Na;Jiwon Na;Michelle Hunsche,153,74.176470588,10.828275393,92.0,41.0,5,3,9,4,14,17,24,24,24,24,5
