Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,W,MATH,101,,001,Integral Calculus with Applications to Physical Sciences and Engineering,Edward Butz;Maryam Sadeghi;Patrick Nadeau,108,54.601851852,24.090537878,99.0,0.0,36,18,8,7,4,5,5,4,7,9,5
UBCO,2018,W,MATH,126,,101,Basic Mathematics: An Aboriginal Perspective,Julianne Barry;Patrick Nadeau,29,76.0,20.424075429,100.0,23.0,3,1,1,1,1,2,2,3,4,3,8
UBCO,2018,W,MATH,200,,001,Calculus III,Gabriel Jarry-Bolduc;Nicole Taleon;Patrick Nadeau;Stephanie Hamilton;Warren Hare,199,75.256281407,17.298614654,100.0,14.0,17,6,4,6,11,17,20,19,36,23,40
UBCO,2018,W,MATH,200,,002,Calculus III,Gabriel Jarry-Bolduc;Nicole Taleon;Patrick Nadeau;Sarah Macqueen;Stephanie Hamilton,67,69.134328358,20.01506669,99.0,0.0,8,5,1,5,4,8,4,10,9,7,6
UBCO,2019,W,COSC,101,,101,Digital Citizenship,Ayazhan Akhmet;Billy Spelchan;Chad Kohalyk;Nipas Visavachaipan;Opeyemi Adeyemi;Patrick Nadeau;Rishab Sharma;Tenzin Jinpa;Tianhao Wang;Vladimir Grebenyuk;Will Mcfarland;Yohen Thounaojam,113,77.85840708,13.236089232,96.0,0.0,5,1,5,2,3,3,15,16,26,24,13
UBCO,2019,W,COSC,121,,101,Computer Programming II,Abdallah Mohamed;Amir Hossein Zeinali Kalkhoran;Andrew Ogilvy;Ayazhan Akhmet;Biswapriyo Chakrabarty;Bradley A Reinholz;Bradley Reinholz;Ivan De Avila Ribeiro Carvalho;Kanishka Verma;Kathryn Ng;Larry Gu;Maria Guenter;Mohamed Shehata;Mohammad Hadi;Nusrat Momo;Nusrat Suzana Momo;Owen Murovec;Patrick Nadeau;Pinku Nath;Pradeep Mahato;Rishab Sharma;Roozbeh Eslami;Swakhar Poddar;Tenzin Jinpa;Thomas Van De Crommenacker;Tianhao Wang;Zil Huma,274,75.135036496,13.743863586,98.0,22.0,12,3,18,18,24,25,26,25,43,37,43
UBCO,2019,W,MATH,100,,101,Differential Calculus with Applications to Physical Sciences and Engineering,Andrew Ogilvy;Cole Priestman;Edward Butz;Manish Krishan Lal;Maryam Sadeghi;Patrick Nadeau;Shambhavi Singh;Xiaoying Zhang;Xinchen Deng;Ziyuan Wang,151,69.662251656,13.617090936,98.0,2.0,5,15,13,17,18,14,16,15,18,13,7
UBCO,2019,W,MATH,101,,101,Integral Calculus with Applications to Physical Sciences and Engineering,Bilal Madani;Darina Vekhova;Geoff Goetz;Haashim Madani;Jakob David Marshall;Jakob Marshall;Patrick Nadeau;Pau Capera Aragones;Shambhavi Singh;Vanessa White;Wayne Broughton;Yinuo Fan;You Rao;Ziyuan Wang,339,83.91740413,11.589845499,99.0,5.0,5,0,5,10,7,14,19,36,50,65,128
UBCO,2019,W,MATH,101,,102,Integral Calculus with Applications to Physical Sciences and Engineering,Bilal Madani;Darina Vekhova;Eric Foxall;Geoff Goetz;Haashim Madani;Jakob David Marshall;Jakob Marshall;Patrick Nadeau;Pau Capera Aragones;Shambhavi Singh;Vanessa White;Yinuo Fan;You Rao;Ziyuan Wang,274,81.105839416,12.179056463,100.0,28.0,6,4,5,7,10,19,20,26,54,50,73
UBCO,2019,W,MATH,126,,101,Basic Mathematics: An Aboriginal Perspective,Brooke Kwan;Chaoping Guo;Hui Ouyang;Jeewon Yoo;Patrick Nadeau;Pinku Nath,39,66.820512821,22.434550181,95.0,0.0,6,1,4,2,3,1,4,6,4,5,3
UBCO,2019,W,MATH,200,,001,Calculus III,Chad Davis;Cole Priestman;Patrick Nadeau;Sarah Wyse;Shambhavi Singh,175,72.754285714,16.557880765,100.0,2.0,12,15,7,12,12,21,16,13,15,21,31
UBCO,2019,W,MATH,200,,002,Calculus III,Cole Priestman;Nourridine Siewe;Patrick Nadeau;Sarah Wyse;Shambhavi Singh,78,61.512820513,17.697856345,100.0,10.0,15,14,7,8,4,11,2,4,6,1,6
UBCO,2019,W,PHYS,122,,101,Introductory Physics for the Life Sciences II,Alejandra Fuentes Nunez;Andrew Ogilvy;Araz Sholehkerdar;Biswapriyo Chakrabarty;Bradley Reinholz;Charles Jolin-Landry;Conor Smith;David Hallinen;Gabriel Jarry-Bolduc;Geoff Goetz;John Hopkinson;Leah Hamill;Madeleine Czechowski;Manish Krishan Lal;Maria Guenter;Maryam Sadeghi;Michael Gowe;Nusrat Momo;Patrick Nadeau;Phillip Shreeves;Sayra Gorgani;Stephen Collins;Xiaoying Zhang;Xinchen Deng,204,74.18627451,9.895742621,98.0,43.0,1,2,13,15,20,24,38,31,27,24,9
UBCO,2019,W,PHYS,122,,102,Introductory Physics for the Life Sciences II,Alejandra Fuentes Nunez;Andrew Ogilvy;Araz Sholehkerdar;Biswapriyo Chakrabarty;Bradley Reinholz;Charles Jolin-Landry;Conor Smith;David Hallinen;Gabriel Jarry-Bolduc;Geoff Goetz;Hadi Hairi;John Hopkinson;Leah Hamill;Manish Krishan Lal;Maria Guenter;Maryam Sadeghi;Nathan Nichol;Nusrat Momo;Patrick Nadeau;Phillip Shreeves;Sayra Gorgani;Stephen Collins;Xiaoying Zhang;Xinchen Deng;Yas Yamin,114,73.035087719,12.450915895,100.0,34.0,5,2,8,5,13,16,16,15,15,9,10
