Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,W,ANTH,213,,001,WOMEN COMP PERSP,"Nitsan, Tal",44,75.35,9.33,92,55,43,0,1,0,0,0,0,0,0,0,0,0,3,1,3,6,8,9,5,4,4
UBC,2013,W,SOCI,312,A,002,GENDER RELATIONS,"Nitsan, Tal",57,71.31,12.93,93,6,54,1,2,0,0,1,0,0,0,0,1,1,2,9,6,6,8,10,6,3,3
UBC,2013,W,SOCI,312,A,004,GENDER RELATIONS,"Nitsan, Tal",49,72.41,10.14,92,55,46,0,3,0,0,0,0,0,0,0,0,0,5,5,4,9,6,3,9,1,4
UBC,2014,W,SOCI,312,A,001,GENDER RELATIONS,"Nitsan, Tal",68,71.01,10.07,91,50,68,0,0,0,0,0,0,0,0,0,0,5,4,8,4,18,7,5,9,7,1
UBC,2014,W,SOCI,470,A,003,CRIME & JUSTICE,"Nitsan, Tal",17,73.71,13.39,90,50,17,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,2,3,4,1
UBC,2015,S,ANTH,100,,922,INTRO CULT ANTH,"Nitsan, Tal",58,66.13,15.9,90,0,50,4,3,0,0,1,0,1,0,2,4,2,12,6,5,4,3,7,6,4,1
UBC,2015,W,SOCI,250,A,003,CRIME & SOCIETY,"Nitsan, Tal",59,65.97,16.02,93,3,55,3,0,0,0,1,1,1,0,0,3,2,8,6,11,11,5,2,4,3,3
UBC,2015,W,SOCI,312,A,002,GENDER RELATIONS,"Nitsan, Tal",49,70.83,12.26,91,50,46,0,3,0,0,0,0,0,0,0,0,4,4,8,3,8,3,1,6,6,3
UBC,2015,W,SOCI,470,A,002,CRIME & JUSTICE,"Nitsan, Tal",17,70.35,13.48,86,32,16,1,0,0,0,0,0,0,1,0,1,1,0,1,1,4,2,3,3,1,0
UBCV,2014,W,SOCI,312,A,001,Gender Relations,Michelle De Cambra;Tal Nitsan,68,71.01470588,10.07211704,91.0,50.0,,,,,,,,,,,0,5,,8,,18,7,5,9,7,
UBCV,2014,W,SOCI,470,A,003,Sociology of Crime and Justice,Tal Nitsan,17,73.70588235,13.39199717,90.0,50.0,,,,,,,,,,,0,,,,,,1,2,3,,
UBCV,2015,S,ANTH,100,,922,Introduction to Cultural Anthropology,Kate Roth;Tal Nitsan,55,66.0,15.78090736,90.0,0.0,,,,,,,,,,,,,13,6,5,,,7,6,,
UBCV,2015,W,SOCI,250,A,003,Crime and Society,Geoffrey Pippus;Tal Nitsan,59,65.86440678,15.904301768,93.0,3.0,,,,,,,,,,,,,8,7,11,11,5,2,4,,
UBCV,2015,W,SOCI,312,A,002,Gender Relations,Geoffrey Pippus;Tal Nitsan,46,70.826086957,12.262507171,91.0,50.0,,,,,,,,,,,0,,,8,,8,3,1,6,6,
UBCV,2015,W,SOCI,470,A,002,Sociology of Crime and Justice,Tal Nitsan,17,70.352941176,13.47655917,86.0,32.0,,,,,,,,,,,,,,,,,2,3,,,0
