Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,FOOD,521,,001,ADV FOOD BIOTECH,"Madadi Noei, Azita;van Vuuren, Hendrik",15,73.13,9.21,87,61,15,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,4,0,3,2,0
UBC,2009,W,FOOD,524,,001,ADV FOOD PROCESS,"Madadi Noei, Azita;YAGHMAEE, PARASTOO",7,78.29,7.83,88,69,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0
UBC,2009,W,FOOD,527,B,002,SP TPS FOOD SCIE,"Cliff, Margaret Anne;Madadi Noei, Azita",14,90.21,5.73,100,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8
UBC,2010,W,FOOD,521,,001,ADV FOOD BIOTECH,"Madadi Noei, Azita;van Vuuren, Hendrik",10,81.86,9.23,92,68,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2
UBC,2010,W,FOOD,524,,001,ADV FOOD PROCESS,"Madadi Noei, Azita;YAGHMAEE, PARASTOO",16,85.25,8.19,98,68,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,5
UBC,2010,W,FOOD,529,,002,SNS EVAL LAB MTD,"Cliff, Margaret Anne;Madadi Noei, Azita",14,85.43,8.22,94,65,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,6
UBC,2011,W,FOOD,510,,001,ADVANCES FD SCI,"Madadi Noei, Azita;Zawistowski, Jerzy",19,83.11,5.67,91,72,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,2,5
UBC,2011,W,FOOD,524,,001,ADV FOOD PROCESS,"Madadi Noei, Azita;YAGHMAEE, PARASTOO",13,82.08,7.09,89,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,7,0
UBC,2011,W,FOOD,529,,002,SNS EVAL LAB MTD,"Cliff, Margaret Anne;Madadi Noei, Azita",14,84.86,8.62,96,62,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7,3
UBC,2012,W,FOOD,521,,002,ADV FOOD BIOTECH,"Madadi Noei, Azita",18,79.06,8.65,94,68,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,4,2,2
UBC,2012,W,FOOD,524,,001,ADV FOOD PROCESS,"Friesen, Erin;Madadi Noei, Azita",14,80.21,6.45,91,72,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,1
UBC,2013,W,FOOD,511,,002,MFS WORKSHOP,"Madadi Noei, Azita",22,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2014,W,FOOD,511,,002,MFS WORKSHOP,"Madadi Noei, Azita",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FOOD,511,,002,MFS WORKSHOP,"Madadi Noei, Azita",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,FOOD,524,,001,ADV FOOD PROCESS,"Madadi Noei, Azita;Zawistowski, Jerzy",15,80,5.42,93,71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,1,1
UBC,2016,W,FOOD,511,,002,MFS WORKSHOP,"Madadi Noei, Azita",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,FOOD,510,,001,ADVANCES FD SCI,"Madadi Noei, Azita;Zawistowski, Jerzy",11,84.09,6.66,95,71,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,2
UBC,2017,W,FOOD,511,,002,MFS WORKSHOP,"Madadi Noei, Azita",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2018,W,FOOD,510,,001,ADVANCES FD SCI,"Madadi Noei, Azita;Zawistowski, Jerzy",14,84.14,4.45,92,76,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1
UBC,2018,W,FOOD,511,,002,MFS WORKSHOP,"Madadi Noei, Azita",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
