Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,BOTA,501,,001,SEM IN BOTANY,"Keeling, Naomi",19,86.26,3.25,93,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1
UBC,2005,W,BIOL,431,,201,ADV CELL BIOLOGY,"Keeling, Naomi",27,81.04,8.59,93,56,27,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,7,6,5,5
UBC,2007,W,BIOL,431,,201,ADV CELL BIOLOGY,"Keeling, Naomi",30,79.69,10.07,94,45,28,1,1,0,0,0,0,0,0,1,1,0,0,1,1,2,1,4,8,9,2
UBC,2009,W,BIOL,431,,201,ADV CELL BIOLOGY,"Keeling, Naomi",33,82.94,7.32,92,51,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,10,12,4
UBC,2009,W,EDUC,310,,640,TEACh PRINC,"Macgregor, Kere;Ross, Naomi",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,311,,640,TEACH PRINC SEC,"Macgregor, Kere;Ross, Naomi",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,315,,640,PRE-PRACT EXPERN,"Macgregor, Kere;Ross, Naomi",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,316,C,640,COMM SKILLS,"Macgregor, Kere;Ross, Naomi",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,319,,640,ORIENTN EXP SEC,"Macgregor, Kere;Ross, Naomi",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,321,,640,ORIENTN EXP ELEM,"Macgregor, Kere;Ross, Naomi",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,329,,640,SCHOOL EXP SEC,"Macgregor, Kere;Ross, Naomi",10,,,,,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,EDUC,418,C,640,SCHOOL EXP ELEM,"Macgregor, Kere;Ross, Naomi",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EPSE,423,,964,ASSESS CLS LEARN,"Ross, Naomi",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,HIST,104,,98A,TPCS WORLD HIST,"Dixon, Joy;Lloyd, Naomi",31,72.32,8.51,90,53,25,0,4,0,2,0,0,0,0,0,0,1,0,2,4,6,1,4,6,0,1
UBC,2010,S,HIST,317,,951,BRIT 1850-1918,"Lloyd, Naomi",25,75.17,7.03,85,57,23,0,2,0,0,0,0,0,0,0,0,0,1,0,3,2,4,6,5,2,0
UBC,2010,W,BIOL,336,,201,EVOLUTIONARY BIO,"Bole, Gregory Michael;Keeling, Naomi;Whitton, Jeannette",195,69.26,12,96,4,185,9,0,1,0,1,0,2,0,6,9,7,15,19,19,41,24,21,24,13,2
UBC,2010,W,BIOL,431,,201,ADV CELL BIOLOGY,"Keeling, Naomi",32,84.41,6.33,96,65,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,11,7
UBC,2011,W,BIOL,336,,201,EVOLUTIONARY BIO,"Bole, Gregory Michael;Keeling, Naomi;Whitton, Jeannette",207,73.08,9.06,91,31,204,2,1,0,0,0,0,0,1,1,2,2,12,10,15,42,39,26,40,16,2
UBC,2011,W,BIOL,431,,201,ADV CELL BIOLOGY,"Keeling, Naomi",34,83.15,5.14,91,68,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,12,11,4
UBC,2013,W,BIOL,336,,101,EVOLUTIONARY BIO,"Keeling, Naomi;Whitton, Jeannette",193,72.48,10.81,95,26,185,5,3,0,0,0,0,1,1,3,5,5,12,13,22,22,23,33,31,20,4
UBC,2013,W,BOTA,501,,001,SEM IN BOTANY,"Bradfield, Gary;Keeling, Naomi",14,84.86,4.15,93,80,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3
UBC,2013,W,HIST,317,,101,BRIT 1850-1918,"Lloyd, Naomi",43,71.22,11.89,88,26,39,2,1,1,0,0,0,1,0,1,2,0,4,2,5,3,6,10,7,2,0
UBC,2014,W,BIOL,431,,101,ADV CELL BIOLOGY,"Keeling, Naomi",24,83.17,8.42,96,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,7,5,6
UBC,2015,W,BIOL,431,,101,EVO CELL BIOLOGY,"Keeling, Naomi",27,82.46,7.36,95,68,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,4,6,5
UBC,2016,W,BIOL,431,,101,EVO CELL BIOLOGY,"Keeling, Naomi",30,84.03,7.42,94,60,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,9,7,8
UBC,2017,W,MECH,431,,201,ENG ECONOMICS,"Zimmerman, Naomi",76,75.09,12.87,94,28,74,1,0,1,0,0,0,1,0,0,1,3,5,6,7,5,6,10,12,13,7
UBC,2018,W,BIOL,431,,101,EVO CELL BIOLOGY,"Keeling, Naomi",29,88.31,6.79,97,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,5,16
UBC,2018,W,MECH,410,U,201,SPECIAL TOPICS,"Zimmerman, Naomi",27,80.63,6.85,93,67,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,9,2,4
UBC,2018,W,MECH,431,,201,ENG ECONOMICS,"Zimmerman, Naomi",97,78.45,9.86,96,52,97,0,0,0,0,0,0,0,0,0,0,1,2,4,8,9,16,7,24,10,16
