Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,HIST,380,,001,MODRN CHINA HIST,"Wang, Ning",49,69.94,17.79,91,8,46,3,0,0,0,1,1,1,0,0,3,2,5,1,3,5,4,13,4,7,2
UBC,2005,W,HIST,380,,002,MODRN CHINA HIST,"Wang, Ning",45,74.59,11.3,92,50,41,0,4,0,0,0,0,0,0,0,0,3,0,4,4,2,4,8,5,8,3
UBC,2012,W,COMM,336,,201,INTRO TO E-BUSI,"Nan, Ning",35,72.69,8.64,87,55,35,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,6,7,7,2,0
UBC,2012,W,COMM,336,,202,INTRO TO E-BUSI,"Nan, Ning",26,76.46,6.63,90,60,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,6,8,2,1
UBC,2013,W,COMM,336,,201,INTRO TO E-BUSI,"Nan, Ning",24,75.79,6.17,85,62,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,7,6,2,0
UBC,2013,W,COMM,336,,202,INTRO TO E-BUSI,"Nan, Ning",38,78.58,5.2,90,66,36,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,6,8,14,3,1
UBC,2014,W,BAIT,580,B,001,TPCS INFO TECH,"Nan, Ning",6,86.4,5.73,93,79,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
UBC,2014,W,COMM,336,,201,INTRO TO E-BUSI,"Nan, Ning",26,75.81,6.78,90,60,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,7,3,2,1
UBC,2014,W,COMM,336,,202,INTRO TO E-BUSI,"Nan, Ning",28,79.61,5.5,90,66,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,10,5,1
UBC,2015,W,BAIT,513,,815,MANAGING E-BUSI,"Nan, Ning",35,84.03,3.03,91,80,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,2
UBC,2016,W,COMM,336,,201,INTRO TO E-BUSI,"Nan, Ning",32,80.44,6.43,90,66,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,8,10,1
UBC,2016,W,COMM,336,,202,INTRO TO E-BUSI,"Nan, Ning",29,81.07,4.49,90,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,12,6,1
UBC,2017,W,BAIT,513,,816,MANAGING E-BUSI,"Nan, Ning",29,84.41,4.21,93,76,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,4
UBC,2017,W,COMM,336,,201,INTRO TO E-BUSI,"Nan, Ning",31,79.13,6.62,90,60,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,7,11,6,1
UBC,2017,W,COMM,336,,202,INTRO TO E-BUSI,"Nan, Ning",39,78.92,7.25,91,52,39,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,8,14,7,1
UBC,2018,W,COMM,437,,101,DATABASE TECH,"Nan, Ning",44,78.65,7.81,90,54,43,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,5,12,10,7,2
UBC,2018,W,COMM,437,,201,DATABASE TECH,"Nan, Ning",42,78.64,9.81,93,48,41,1,0,0,0,0,0,0,0,1,1,1,1,0,2,1,7,8,7,10,4
UBC,2018,W,COMM,437,,202,DATABASE TECH,"Nan, Ning",41,80.71,7.22,92,61,41,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,9,8,14,3
