Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2014,W,SPPH,515,,002,SURVLNC&MONITRNG,"Galanis, Eleni;Otterstatter, Michael",17,89.19,2.95,94,84,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,,,
UBC,2015,W,SPPH,515,,002,SURVLNC&MONITRNG,"Galanis, Eleni;Otterstatter, Michael",14,88.27,3,93,84,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,,,
UBC,2016,W,SPPH,515,,002,SURVLNC&MONITRNG,"Galanis, Eleni;Otterstatter, Michael",20,84.47,4.31,90,75,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,2,,,
UBC,2017,W,SPPH,515,,002,SURVLNC&MONITRNG,"Galanis, Eleni;Otterstatter, Michael",19,84.21,4.71,91,75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,9,2,,,
UBC,2018,W,SPPH,515,,002,SURVLNC&MONITRNG,"Galanis, Eleni;Otterstatter, Michael",14,88.36,4.81,95,78,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,,,
UBCV,2014,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Eleni Galanis;Michael Otterstatter,16,89.1875,2.94886984,94.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,7,8,,,
UBCV,2015,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Eleni Galanis;Michael Otterstatter,11,88.272727273,3.003028774,93.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,,5,,,,
UBCV,2016,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Eleni Galanis;Jennifer Lee Guthrie;Michael Otterstatter,19,84.47368421,4.312364923,90.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,1,6,9,2,,,
UBCV,2017,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Eleni Galanis;Jennifer Lee Guthrie;Michael Otterstatter,19,84.210526316,4.709080441,91.0,75.0,,,,,,,,,,,0,0,0,0,0,0,2,2,4,9,2,,,
UBCV,2018,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Aidan Ablona;Eleni Galanis;Michael Otterstatter,14,88.357142857,4.813556863,95.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,2,5,6,,,
UBCV,2019,W,MEDI,503,,001,"Introduction to Clinical, Patient Oriented and Translational Research",Alice Mui;Andrei Krassioukov;Cheryl Gregory-Evans;Joseph Hernandez Puyat;Joseph Puyat;Maureen Ashe;Michael Otterstatter;Michael-John Milloy;Mohsen Sadatsafavi;Thomas Kerr;Tricia Tang;Viviane Dias Lima,14,94.357142857,2.590133435,97.0,88.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,13,,,
UBCV,2019,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Eleni Galanis;Hsin-Ling Lee;Michael Otterstatter,17,89.647058824,2.596660752,95.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,10,,,
UBCV,2020,W,MEDI,503,,001,"Introduction to Clinical, Patient Oriented and Translational Research",Alice Mui;Andrei Krassioukov;Cheryl Gregory-Evans;Doug Brigham;Joseph Hernandez Puyat;Joseph Puyat;Maureen Ashe;Michael Otterstatter;Michael-John Milloy;Mohsen Sadatsafavi;Raymond Tak-Yan Ng;Thomas Kerr;Tricia Tang;Vanessa Kitchin;Viviane Dias Lima,16,94.0,3.306559138,99.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,14,,,
UBCV,2020,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Eleni Galanis;Joshua Azza;Michael Otterstatter,20,86.1,4.38778208,92.0,76.0,,,,,,,,,,,0,0,0,0,0,0,0,1,6,6,7,,,
UBCV,2021,W,MEDI,503,,001,"Introduction to Clinical, Patient Oriented and Translational Research",Alice Mui;Andrei Krassioukov;Cheryl Gregory-Evans;Doug Brigham;Jessica Morrice;Joseph Puyat;Maureen Ashe;Michael Otterstatter;Michael-John Milloy;Mohsen Sadatsafavi;Raymond Tak-Yan Ng;Thomas Kerr;Tricia Tang;Vanessa Kitchin;Viviane Dias Lima,29,96.24137931,1.939351372,100.0,92.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,29,,,
UBCV,2021,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Eleni Galanis;Michael Otterstatter;Rachel Lai,16,87.3125,4.90875069,97.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,5,6,5,,,
UBCV,2021,W,MEDI,503,,001,"Introduction to Clinical, Patient Oriented and Translational Research",Doug Brigham;Cheryl Gregory-Evans;Thomas Kerr;Vanessa Kitchin;Andrei Krassioukov;Viviane Dias Lima;Michael-John Milloy;Jessica Morrice;Alice Mui;Raymond Tak-Yan Ng;Michael Otterstatter;Joseph Puyat;Mohsen Sadatsafavi;Tricia Tang,29,96.2,,100.0,92.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,29,97.0,97.0,95.0
UBCV,2021,W,SPPH,515,,002,Surveillance and Monitoring in Public Health,Eleni Galanis;Michael Otterstatter,16,87.3,,97.0,81.0,,,,,,,,,,,,,,,,,,,,6,,86.5,91.0,83.0
UBCV,2022,W,MEDI,503,,001,"Introduction to Clinical, Patient Oriented and Translational Research",Doug Brigham;Cheryl Gregory-Evans;Thomas Kerr;Vanessa Kitchin;Andrei Krassioukov;Viviane Dias Lima;Michael-John Milloy;Alice Mui;Raymond Tak-Yan Ng;Michael Otterstatter;Joseph Puyat;Mohsen Sadatsafavi;Tricia Tang;Gillian Vandekerkhove,30,95.6,,100.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,29,96.0,98.0,95.0
UBCV,2023,W,MEDI,503,,001,"Introduction to Clinical, Patient Oriented and Translational Research",Doug Brigham;Cheryl Gregory-Evans;Thomas Kerr;Harsimran Kaur Khara;Andrei Krassioukov;Viviane Dias Lima;Michael-John Milloy;Alice Mui;Raymond Tak-Yan Ng;Michael Otterstatter;Joseph Puyat;Tricia Tang,24,96.58,,100.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,22,98.0,99.0,96.0
