Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,EOSC,310,,GIS,EARTH&SOLAR SYS,"Getsinger, Jennifer;Taylor, Sandra;Zatsepina, Olga",32,66.77,18.56,85,0,28,2,2,0,0,2,0,0,0,0,2,0,2,3,4,3,6,5,4,1,0
UBC,2010,W,SPAN,101,,202,BEGINNER SPAN I,"Albarran Caselles, Olga;Manchon, Enrique",36,68.32,20.71,93,3,30,4,1,0,0,1,0,2,0,1,4,3,3,0,2,4,4,4,3,3,4
UBC,2011,W,SPAN,101,,112,BEGINNER SPAN I,"Borges, Olga;Manchon, Enrique",35,75.33,13.5,94,19,32,1,1,1,0,0,1,0,0,0,1,1,1,0,3,3,3,7,9,3,2
UBC,2011,W,SPAN,101,,113,BEGINNER SPAN I,"Albarran Caselles, Olga;Manchon, Enrique",35,70.25,14.93,89,21,29,3,3,0,0,0,0,1,0,2,3,0,2,4,3,3,5,1,6,5,0
UBC,2011,W,SPAN,102,,204,BEGINNER SPAN II,"Albarran Caselles, Olga;Manchon, Enrique",35,68.66,12.31,91,46,31,1,2,0,0,0,0,0,0,1,1,5,1,5,3,3,3,3,4,3,1
UBC,2011,W,SPAN,102,,209,BEGINNER SPAN II,"Borges, Olga;Manchon, Enrique",30,74.31,17.12,95,7,28,1,1,0,0,1,0,0,0,0,1,2,0,1,5,1,3,5,3,4,4
UBC,2012,S,SPAN,102,,922,BEGINNER SPAN II,"Albarran Caselles, Olga;Manchon, Enrique",25,70.5,11.71,93,46,21,1,1,1,1,0,0,0,0,1,1,1,2,2,2,0,7,3,2,1,1
UBC,2012,W,SPAN,101,,104,BEGINNER SPAN I,"Borges, Olga;Manchon, Enrique",35,67.94,15.18,92,31,29,5,0,0,0,0,0,0,2,3,5,2,2,3,1,3,7,5,2,2,2
UBC,2012,W,SPAN,102,,101,BEGINNER SPAN II,"Albarran Caselles, Olga;Manchon, Enrique",34,68.24,12.76,91,45,32,1,0,0,0,0,0,0,0,1,1,6,3,2,2,2,6,4,6,0,1
UBC,2012,W,SPAN,102,,203,BEGINNER SPAN II,"Borges, Olga;Manchon, Enrique",25,73,18.1,91,27,19,3,1,0,0,0,0,1,2,0,3,0,0,0,2,2,3,3,2,3,4
UBC,2012,W,SPAN,202,,902,INTERMED SPAN II,"Albarran Caselles, Olga;Spacciante, Stephanie",28,67.28,9.83,87,48,24,1,2,0,0,0,0,0,0,1,1,1,2,6,5,2,3,1,3,1,0
UBC,2013,S,SPAN,201,,922,INTERMED SPAN I,"Albarran Caselles, Olga;Spacciante, Stephanie",34,62.71,26.43,95,0,24,4,3,0,0,4,0,0,0,0,4,2,1,2,2,3,4,3,5,1,1
UBC,2013,W,POLI,220,,002,INTR COMP POLTCS,"Kniazeva, Olga",111,76.51,8.64,93,54,101,0,1,0,9,0,0,0,0,0,0,1,3,2,6,14,19,18,16,17,5
UBC,2018,S,SPAN,101,,922,BEGINNER SPAN I,"Albarran Caselles, Olga",22,75.85,19.12,94,7,19,1,1,0,0,1,0,0,0,0,1,1,0,0,2,0,2,3,3,6,2
UBC,2018,W,SPAN,102,,204,BEGINNER SPAN II,"Albarran Caselles, Olga",24,73.83,14.04,92,41,23,1,0,0,0,0,0,0,0,1,1,2,1,3,0,2,2,0,7,4,2
UBC,2018,W,SPAN,302,,203,ADVANCED SPAN II,"Albarran Caselles, Olga",14,73.07,20.18,90,10,13,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,2,1,4,1,2
