Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,PHYS,400,,201,INTR ELEM PRTCLS,"Oser, Scott",18,74.39,14.83,94,36,17,1,0,0,0,0,0,0,1,0,1,1,1,0,1,3,1,2,4,1,3
UBC,2003,W,PHYS,506,,201,ELM PRTICLE PHYS,"Oser, Scott",5,84.8,5.72,94,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
UBC,2005,W,PHYS,313,,101,THERMODYNAMICS,"Oser, Scott",53,68.79,13.83,89,29,48,4,1,0,0,0,0,1,1,2,4,2,7,6,2,6,4,4,12,5,0
UBC,2005,W,PHYS,400,,201,INTR ELEM PRTCLS,"Oser, Scott",20,71.4,15.22,93,35,18,2,0,0,0,0,0,0,1,1,2,1,0,1,4,2,2,1,3,2,2
UBC,2006,W,PHYS,101,,201,ENERGY & WAVES,"Oser, Scott",190,72.25,13.7,95,18,164,21,3,0,2,0,1,0,1,19,21,1,4,18,13,21,25,20,28,18,16
UBC,2006,W,PHYS,313,,101,THERMODYNAMICS,"Oser, Scott",37,71.06,12.16,98,50,35,0,1,0,1,0,0,0,0,0,0,4,0,6,6,3,4,4,3,1,4
UBC,2007,W,PHYS,101,,201,ENERGY & WAVES,"Oser, Scott",205,68.87,13.15,96,30,178,21,4,0,2,0,0,0,2,19,21,6,17,21,16,29,31,19,16,12,11
UBC,2007,W,PHYS,509,C,101,MEASUREMNT THEOR,"Oser, Scott",16,85.56,7.16,97,74,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,5
UBC,2009,W,PHYS,101,,201,ENERGY & WAVES,"Oser, Scott",251,65.65,14.19,98,16,206,39,5,0,1,0,1,1,5,32,39,15,19,29,27,28,27,17,24,11,9
UBC,2010,W,PHYS,101,,201,ENERGY & WAVES,"Oser, Scott",266,65.78,13.8,97,19,212,42,2,0,9,0,1,1,5,35,42,9,18,27,30,41,20,24,26,11,6
UBC,2010,W,PHYS,509,C,101,MEASUREMNT THEOR,"Oser, Scott",24,84.67,9,96,68,18,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,6,7
UBC,2011,W,PHYS,101,,201,ENERGY & WAVES,"Oser, Scott",250,65.3,14.78,94,23,199,49,2,0,0,0,0,2,12,35,49,8,15,29,19,37,24,19,29,12,7
UBC,2011,W,PHYS,509,C,101,MEASUREMNT THEOR,"Oser, Scott",17,81.71,10.83,99,68,14,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,3,1,3
UBC,2012,W,PHYS,504,,101,SP RLVTY & ELCMG,"Oser, Scott",20,87.95,8.17,99,68,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,12
UBC,2013,W,BIOL,438,,201,ZOOLOGIC PHYSICS,"Oser, Scott",14,80.43,9.04,94,61,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,4,3,2
UBC,2013,W,PHYS,438,,202,ZOOLOGICAL PHYS,"Oser, Scott",27,78.33,10.73,96,59,27,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,5,0,5,4,5
UBC,2013,W,PHYS,504,,101,SP RLVTY & ELCMG,"Oser, Scott",9,85.22,7.31,96,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4
UBC,2014,W,BIOL,438,,201,ZOOLOGIC PHYSICS,"Oser, Scott",12,79.3,8.73,90,65,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,2
UBC,2014,W,PHYS,438,,202,ZOOLOGICAL PHYS,"Oser, Scott",29,77,7.98,94,64,27,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,5,5,1
UBC,2014,W,PHYS,504,,101,SP RLVTY & ELCMG,"Oser, Scott",18,80.22,10,96,60,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,3,3,3
UBC,2015,W,BIOL,438,,201,ZOOLOGIC PHYSICS,"Oser, Scott",21,77.75,7.19,87,63,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,3,2,7,0
UBC,2015,W,PHYS,438,,202,ZOOLOGICAL PHYS,"Oser, Scott",23,79.74,7.97,95,65,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,7,2,3
UBC,2015,W,PHYS,504,,101,SP RLVTY & ELCMG,"Oser, Scott",17,81.94,8.82,96,62,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,8,1
UBC,2016,W,BIOL,438,,201,ZOOLOGIC PHYSICS,"Oser, Scott",19,78.81,12.94,98,50,16,0,2,0,1,0,0,0,0,0,0,1,1,0,0,2,3,0,2,3,4
UBC,2016,W,PHYS,438,,202,ZOOLOGICAL PHYS,"Oser, Scott",34,76.18,10.97,92,37,32,1,1,0,0,0,0,0,1,0,1,0,0,1,4,4,4,3,9,5,2
UBC,2016,W,PHYS,504,,101,SP RLVTY & ELCMG,"Oser, Scott",10,83.9,8.1,91,64,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4
UBC,2017,W,BIOL,438,,201,ZOOLOGIC PHYSICS,"Oser, Scott",20,76.6,6.89,88,66,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,4,4,0
UBC,2017,W,PHYS,438,,202,ZOOLOGICAL PHYS,"Oser, Scott",35,75.97,8.99,90,54,35,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,7,4,6,5,3
UBC,2017,W,PHYS,504,,101,SP RLVTY & ELCMG,"Oser, Scott",13,80.69,10.02,95,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,4
UBC,2018,W,BIOL,438,,201,ZOOLOGIC PHYSICS,"Oser, Scott",16,77.33,6.43,90,66,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,1,1
UBC,2018,W,PHYS,438,,202,ZOOLOGICAL PHYS,"Oser, Scott",36,77.71,9.71,94,55,34,0,1,0,1,0,0,0,0,0,0,0,2,1,2,2,7,5,5,7,3
UBC,2018,W,PHYS,509,C,101,MEASUREMNT THEOR,"Oser, Scott",15,86,7.71,94,68,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,4
