Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,MECH,435,,201,ORTHO BIOMECH,"Oxland, Thomas",25,74.92,12.43,92,44,23,1,1,0,0,0,0,0,0,1,1,1,1,0,1,5,3,2,3,6,1
UBC,2002,W,MECH,535,,201,ORTHO BIOMECH,"Oxland, Thomas",12,79.82,5.42,90,75,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,1
UBC,2006,W,MECH,435,,201,ORTHO BIOMECH,"Oxland, Thomas",24,74.55,8.67,90,54,22,0,2,0,0,0,0,0,0,0,0,1,0,2,0,3,6,3,5,1,1
UBC,2006,W,MECH,535,,201,ORTHO BIOMECH,"Oxland, Thomas",4,87.33,6.43,92,80,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
UBC,2010,W,MECH,435,,201,ORTHO BIOMECH,"Oxland, Thomas",31,77.13,13.16,95,23,29,1,1,0,0,0,0,1,0,0,1,0,0,2,0,1,5,8,5,5,3
UBC,2010,W,MECH,439,,201,BIOMECH RESEARCH,"Oxland, Thomas",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,MECH,535,,201,ORTHO BIOMECH,"Oxland, Thomas",10,81,8.7,91,65,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,1
UBC,2011,W,APSC,598,E,002,Topics in Eng,"Oxland, Thomas",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,MECH,435,,201,ORTHO BIOMECH,"Oxland, Thomas",25,77.6,10.43,97,53,25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,5,5,4,2
UBC,2011,W,MECH,535,,201,ORTHO BIOMECH,"Oxland, Thomas",9,74.33,8.9,88,60,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,1,1,0
UBC,2013,W,BMEG,590,,001,PROFESNL SKILLS,"Oxland, Thomas",25,,,,,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,MECH,435,,201,ORTHO BIOMECH,"Oxland, Thomas",33,75.73,10.88,95,53,33,0,0,0,0,0,0,0,0,0,0,1,0,4,3,4,4,4,4,5,4
UBC,2013,W,MECH,535,,201,ORTHO BIOMECH,"Oxland, Thomas",10,80.71,3.86,86,76,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0
UBC,2014,W,BMEG,590,,001,PROFESNL SKILLS,"Oxland, Thomas",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,BMEG,590,,001,PROFESNL SKILLS,"Oxland, Thomas",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2015,W,MECH,435,,201,ORTHO BIOMECH,"Oxland, Thomas",31,79.29,10.96,98,56,31,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,3,7,3,5,6
UBC,2015,W,MECH,535,,201,ORTHO BIOMECH,"Oxland, Thomas",7,85,4,91,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1
UBC,2016,W,BMEG,590,,001,PROFESNL SKILLS,"Oxland, Thomas",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,MECH,435,,201,ORTHO BIOMECH,"Oxland, Thomas",38,79.89,7.88,95,58,36,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,12,9,7,2
UBC,2017,W,MECH,535,,201,ORTHO BIOMECH,"Oxland, Thomas",13,81.38,9.01,96,69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,2,3
UBC,2018,W,APSC,366,,201,ENG FOR NONENGNR,"Oxland, Thomas;d'Entremont, Agnes",48,80.5,16.23,98,0,44,2,0,0,0,1,0,0,0,1,2,1,0,1,1,2,3,3,10,13,10
