Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,COMM,203,,201,Managing the Employment Relationship,Alexander Payandeh;Michael Daniels;Yi Liu,57,81.14035088,5.664547001,92.0,64.0,0,0,0,0,1,3,3,11,23,13,3
UBCV,2016,W,COMM,203,,202,Managing the Employment Relationship,Alexander Payandeh;Michael Daniels;Yi Liu,56,78.66071429,9.149817257,91.0,46.0,3,0,0,0,2,1,7,11,17,14,1
UBCV,2017,W,COMM,203,,102,Managing the Employment Relationship,Alexander Payandeh;Serinda Kong;Thomas Knight,64,73.328125,9.812616899,86.0,25.0,2,0,3,2,2,15,7,17,11,5,0
UBCV,2017,W,COMM,203,,103,Managing the Employment Relationship,Alexander Payandeh;Serinda Kong;Thomas Knight,65,75.615384615,7.140755185,86.0,46.0,1,0,1,0,5,7,16,9,21,5,0
UBCV,2017,W,COMM,203,,204,Managing the Employment Relationship,Alexander Payandeh;Annie Lai;Michael Daniels,40,75.975,6.874283179,90.0,59.0,0,0,1,2,1,5,8,12,8,2,1
UBCV,2017,W,COMM,203,,205,Managing the Employment Relationship,Alexander Payandeh;Annie Lai;Michael Daniels,58,77.862068966,6.687113231,89.0,55.0,0,0,1,0,2,6,11,14,16,8,0
UBCV,2017,W,COMM,203,,206,Managing the Employment Relationship,Alexander Payandeh;Annie Lai;Michael Daniels,52,73.596153846,5.619502509,86.0,58.0,0,0,1,0,6,12,15,10,6,2,0
UBCV,2018,S,COMM,203,,922,Managing the Employment Relationship,Alexander Payandeh;Perdip Atwal;Yi Liu,91,75.527472527,6.483038827,88.0,60.0,0,0,0,2,5,20,18,18,18,10,0
UBCV,2018,W,COMM,203,,101,Managing the Employment Relationship,Alexander Payandeh;Juan Viveros Cazarin;Vivian Hui Xin Guo;Wayne Rawcliffe,121,72.595041322,6.132670044,89.0,56.0,0,0,2,8,15,25,33,23,13,2,0
UBCV,2018,W,COMM,203,,102,Managing the Employment Relationship,Alexander Payandeh;Amy Stanley,58,71.379310345,6.904937431,86.0,54.0,0,1,1,5,10,11,14,8,7,1,0
UBCV,2018,W,COMM,203,,103,Managing the Employment Relationship,Alexander Payandeh;Amy Stanley;Bard-Un-Nisa Chand;Sharon Shamuyarira,58,74.655172414,5.488590156,86.0,62.0,0,0,0,1,5,10,18,9,14,1,0
UBCV,2018,W,COMM,203,,104,Managing the Employment Relationship,Alexander Payandeh;Perdip Atwal;Talissa Eng;Yu-Wung Cheng,60,73.816666667,8.168753337,86.0,51.0,0,2,2,5,2,11,6,16,14,2,0
UBCV,2018,W,COMM,203,,105,Managing the Employment Relationship,Alexander Payandeh;Perdip Atwal;Talissa Eng;Yu-Wung Cheng,59,74.13559322,7.008511149,87.0,49.0,2,0,0,0,5,12,14,16,8,2,0
UBCV,2018,W,COMM,203,,201,Managing the Employment Relationship,Alexander Payandeh;Amy Stanley;Yi Liu,55,73.563636364,7.455456953,91.0,48.0,1,0,0,2,7,9,11,13,9,2,1
UBCV,2018,W,COMM,203,,202,Managing the Employment Relationship,Alexander Payandeh;Thao Atkinson;Wayne Rawcliffe;Yi Liu,59,75.949152542,6.914312315,88.0,56.0,0,0,1,1,3,12,14,8,11,9,0
UBCV,2018,W,COMM,203,,203,Managing the Employment Relationship,Alexander Payandeh;Annie Lai;Michael Daniels;Yi Liu,58,73.827586207,7.408240862,87.0,56.0,0,0,1,4,6,12,8,11,12,4,0
UBCV,2018,W,COMM,203,,204,Managing the Employment Relationship,Alexander Payandeh;Deepishwar Mangat;Michael Daniels;Yi Liu,57,74.50877193,7.223777225,86.0,52.0,0,1,1,2,4,7,14,13,12,3,0
UBCV,2018,W,COMM,203,,205,Managing the Employment Relationship,Alexander Payandeh;Sima Sajjadiani;Yi Liu,49,75.795918367,12.017313191,95.0,43.0,3,1,0,3,1,5,3,7,12,12,2
UBCV,2018,W,COMM,203,,206,Managing the Employment Relationship,Alexander Payandeh;Bard-Un-Nisa Chand;Julyna Jadulang;Yi Liu,30,70.033333333,7.246798738,83.0,54.0,0,1,1,2,9,3,7,3,4,0,0
UBCV,2018,W,COMM,203,,207,Managing the Employment Relationship,Alexander Payandeh;George Ma;Vivian Hui Xin Guo;Yi Liu,33,71.484848485,10.871755873,84.0,25.0,1,0,1,2,3,9,7,2,8,0,0
UBCV,2019,S,COMM,203,,921,Managing the Employment Relationship,Alexander Payandeh;Ansel Hartanto;Perdip Atwal;Talissa Eng,121,70.32231405,8.570506477,86.0,48.0,7,0,3,11,19,22,26,20,9,4,0
