Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2021,W,GEOS,102,,101,Our Changing Environment: Climate and Ecosystems,Amy Mcintyre;Audrey Pearson;Carlie Hughes;Margaryta Pustova;Nastaran Pournematollahisabzeh,255,83.701960784,12.479802426,98.0,1.0,5,2,3,2,7,10,9,22,40,69,86,,,
UBCV,2021,W,GEOS,102,,201,Our Changing Environment: Climate and Ecosystems,Amy Mcintyre;Audrey Pearson;Emma Lowe;Nina Hewitt;Tin Satriawan;Tzu-Yi Lu,164,75.048780488,17.357237093,94.0,0.0,12,4,1,8,13,12,19,15,22,33,25,,,
UBCV,2021,W,GEOS,207,,101,Introduction to Biogeography,Audrey Pearson;Emily Grishaber;William Mcvean,58,76.086206897,9.182906475,92.0,51.0,0,2,1,2,4,8,9,6,16,8,2,,,
UBCV,2021,W,GEOS,407,,201,"Vegetation Dynamics: Disturbance, Climate and Human Impacts",Audrey Pearson;Emily Grishaber,24,87.5,4.170288281,95.0,74.0,0,0,0,0,0,0,1,0,2,12,9,,,
UBCV,2021,W,GEOS,102,,101,Our Changing Environment: Climate and Ecosystems,Audrey Pearson,255,83.8,,98.0,1.0,,,,,7,10,9,22,40,69,86,87.0,91.0,80.0
UBCV,2021,W,GEOS,102,,201,Our Changing Environment: Climate and Ecosystems,Audrey Pearson,163,75.9,,94.0,0.0,9,,,9,13,12,20,15,22,33,25,79.0,87.0,70.0
UBCV,2021,W,GEOS,207,,101,Introduction to Biogeography,Audrey Pearson,58,76.1,,92.0,51.0,,,,,,8,9,6,16,8,,78.0,83.0,69.0
UBCV,2021,W,GEOS,407,,201,"Vegetation Dynamics: Disturbance, Climate and Human Impacts",Audrey Pearson,24,87.5,,95.0,74.0,,,,,,,,,,12,9,87.5,90.3,86.0
UBCV,2022,S,GEOS,102,,921,Our Changing Environment: Climate and Ecosystems,Audrey Pearson,107,81.7,,98.0,0.0,2,1,3,2,3,4,5,12,15,34,26,85.0,89.0,79.0
UBCV,2022,W,GEOG,310,,102,Environment and Sustainability,Audrey Pearson,140,77.1,,90.0,24.0,1,1,2,7,5,6,16,40,44,17,1,79.0,83.0,74.0
UBCV,2022,W,GEOG,314,,201,Analysing Environmental Problems,Audrey Pearson,96,77.2,,94.0,27.0,1,1,4,4,7,9,10,14,17,17,12,79.0,86.0,71.0
UBCV,2022,W,GEOS,102,,201,Our Changing Environment: Climate and Ecosystems,Audrey Pearson,213,74.6,,96.0,0.0,9,9,7,8,16,20,22,34,41,29,18,78.0,84.0,69.0
UBCV,2022,W,GEOS,103,,101,Our Changing Environment: Water and Landscapes,Audrey Pearson,191,78.0,,97.0,29.0,4,2,6,7,18,12,16,25,41,35,25,80.0,86.0,71.0
UBCV,2023,W,GEOS,102,,101,Our Changing Environment: Climate and Ecosystems,Audrey Pearson,198,73.9,,92.0,38.0,4,5,10,13,11,24,22,40,44,17,3,76.0,81.0,68.0
UBCV,2023,W,GEOS,103,,101,Our Changing Environment: Water and Landscapes,Audrey Pearson,175,75.1,,91.0,0.0,6,6,8,6,6,15,16,28,40,34,5,78.5,84.0,70.3
