Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2007,W,CHEM,402,,210,DIFRACTION MTHDS,"Patrick, Brian",5,70,8.83,79,61,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,,,
UBC,2007,W,CHEM,514,,210,CRYSTAL STRUCTRE,"Patrick, Brian",6,88.8,3.56,94,85,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,,,
UBC,2009,W,CHEM,402,,210,DIFRACTION MTHDS,"Patrick, Brian",5,71,22.01,93,38,4,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,,,
UBC,2009,W,CHEM,514,,210,CRYSTAL STRUCTRE,"Patrick, Brian",13,86.23,3.92,92,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,,,
UBC,2010,W,CHEM,402,,210,DIFRACTION MTHDS,"Patrick, Brian",10,78.8,11.29,94,62,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,4,1,,,
UBC,2010,W,CHEM,514,,210,CRYSTAL STRUCTRE,"Patrick, Brian",8,85.75,5.97,94,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,,,
UBC,2011,W,CHEM,402,,210,DIFRACTION MTHDS,"Patrick, Brian",11,86.56,8.85,97,70,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,5,,,
UBC,2011,W,CHEM,514,,210,CRYSTAL STRUCTRE,"Patrick, Brian",9,92.57,3.51,97,88,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,,,
UBC,2012,W,CHEM,402,,210,DIFRACTION MTHDS,"Patrick, Brian",12,82.36,13.43,94,60,11,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,4,,,
UBC,2012,W,CHEM,514,,210,CRYSTAL STRUCTRE,"Patrick, Brian",11,90.56,2.51,94,87,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,,,
