Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,PHIL,375,,001,Philosophy and Literature,Catherine Prueitt;Isha Mathur;Michel-Antoine Xhignesse,51,76.411764706,6.946010281,91.0,59.0,0,0,1,2,0,10,9,12,11,4,2,,,
UBCV,2019,W,PHIL,378,,001,Philosophical Wisdom of Early India,Bianca Crewe;Catherine Prueitt;Charles Li,34,76.764705882,9.748531586,90.0,54.0,0,1,1,3,1,4,2,4,11,6,1,,,
UBCV,2019,W,PHIL,388,,001,"Buddhist, Brahmanical and Jain Philosophers in Interaction.",Catherine Prueitt,12,78.416666667,15.535638404,90.0,35.0,1,0,0,1,0,0,0,1,3,4,2,,,
UBCV,2020,W,PHIL,240,,001,Introduction to Epistemology,Alexandre Korolev;Catherine Prueitt;Christopher Stephens;Jasper Heaton,58,75.465517241,11.340372712,85.0,0.0,2,0,0,0,0,3,12,26,14,1,0,,,
UBCV,2020,W,PHIL,250,,002,Minds and Machines,Catherine Prueitt;Jordan Wadden,29,75.275862069,17.760100852,91.0,12.0,2,1,0,0,0,0,8,4,7,4,3,,,
UBCV,2020,W,PHIL,330,,002,Social and Political Philosophy,Catherine Prueitt;Emily Tilton;Gabriel Freund;Kelin Emmett;Kimberley Brownlee;Kimberly Brownlee;Nathan Cockram,61,72.754098361,17.595127865,92.0,0.0,3,1,2,2,4,4,15,8,12,6,4,,,
UBCV,2020,W,PHIL,375,,001,Philosophy and Literature,Bianca Crewe;Caroline Jenkins;Catherine Prueitt;Jelena Markovic;Kristin Lee Conrad;Stefan Lukits,99,75.686868687,16.706742171,96.0,0.0,4,0,0,0,3,10,15,25,22,10,10,,,
UBCV,2020,W,PHIL,388,,001,"Buddhist, Brahmanical and Jain Philosophers in Interaction.",Catherine Prueitt;Jasper Heaton,28,72.892857143,21.799319197,90.0,0.0,2,0,1,1,0,0,3,10,6,4,1,,,
UBCV,2020,W,PHIL,525,B,001,Philosophy of Language,Catherine Prueitt,7,88.714285714,4.029652,97.0,85.0,0,0,0,0,0,0,0,0,0,5,2,,,
UBCV,2021,W,PHIL,240,A,003,Introduction to Epistemology,Catherine Prueitt;Graham Moore,36,65.888888889,26.763277375,92.0,0.0,6,3,1,0,0,3,3,7,4,8,1,,,
UBCV,2021,W,PHIL,375,A,002,Philosophy and Literature,Catherine Prueitt;Ian Heckman,62,80.822580645,14.139265399,92.0,0.0,3,0,0,2,0,1,4,4,17,25,6,,,
UBCV,2021,W,PHIL,378,,001,Philosophical Wisdom of Early India,Catherine Prueitt;To Dang Nguyen,40,75.875,17.847196864,93.0,0.0,2,1,3,0,2,3,1,4,11,8,5,,,
UBCV,2021,W,PHIL,440,,001,Topics in Epistemology,Catherine Prueitt;Jonathan Ichikawa,14,82.785714286,13.537290784,97.0,51.0,0,1,0,0,1,1,0,2,2,2,5,,,
UBCV,2021,W,PHIL,240,A,003,Introduction to Epistemology,Catherine Prueitt,36,66.5,,92.0,0.0,6,,,,,,,7,,8,,77.0,84.3,65.0
UBCV,2021,W,PHIL,375,A,002,Philosophy and Literature,Catherine Prueitt,61,82.1,,92.0,37.0,,,,,,,,,17,25,6,85.0,87.0,81.0
UBCV,2021,W,PHIL,378,,001,Philosophical Wisdom of Early India,Catherine Prueitt,40,75.9,,93.0,0.0,,,,,,,,,11,8,,82.0,86.3,68.8
UBCV,2021,W,PHIL,440,,001,Topics in Epistemology,Catherine Prueitt,14,82.8,,97.0,51.0,,,,,,,,,,,,85.5,94.8,77.3
UBCV,2023,W,PHIL,540,A,001,Epistemology,Catherine Prueitt,6,78.7,,99.0,15.0,1,0,0,0,0,0,0,0,0,3,2,87.5,94.0,87.0
