Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2015,W,MUSC,410,,001,INTR SCHENKRN AN,"Poudrier, Eve",15,80.14,9.64,96,63,14,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,2,,,
UBC,2016,W,MUSC,101,,001,DIATNC HRMNY&VCE,"Poudrier, Eve",51,82.29,12.94,98,47,50,1,0,0,0,0,0,0,0,1,1,3,1,0,3,1,4,2,5,13,18,,,
UBC,2016,W,MUSC,200,,001,CHRMTC HRMNY&VCE,"Poudrier, Eve",55,78.59,14.45,98,38,51,3,0,1,0,0,0,0,1,2,3,2,2,1,4,0,4,6,8,13,11,,,
UBC,2016,W,MUSC,403,F,001,SELECTED TOPICS,"Poudrier, Eve",14,89.5,3.83,96,81,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
UBC,2017,W,MUSC,101,,001,DIATNC HRMNY&VCE,"Poudrier, Eve",69,76.04,13.75,95,2,68,1,0,0,0,1,0,0,0,0,1,1,3,4,6,7,6,5,15,12,9,,,
UBC,2017,W,MUSC,403,F,001,SELECTED TOPICS,"Poudrier, Eve",7,76.43,34.29,98,0,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,,,
UBC,2017,W,MUSC,410,,001,INTR SCHENKRN AN,"Poudrier, Eve",9,80.25,15.77,93,51,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,3,,,
UBC,2017,W,MUSC,500,D,001,ADV MUSICAL ANLY,"Poudrier, Eve",8,84.5,10.85,96,66,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4,,,
UBC,2017,W,MUSC,533,F,001,ADV MUSIC THEORY,"Poudrier, Eve",4,82.75,10.53,93,68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,,,
UBC,2018,W,MUSC,101,,001,DIATNC HRMNY&VCE,"Poudrier, Eve",84,77.74,13.95,98,0,81,1,0,0,2,1,0,0,0,0,1,2,3,3,5,7,6,8,17,14,16,,,
UBC,2018,W,MUSC,403,C,001,SELECTED TOPICS,"Poudrier, Eve",12,83.44,8.72,93,67,9,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,3,,,
UBCV,2015,W,MUSC,410,,001,Introduction to Schenkerian Analysis,Eve Poudrier,14,80.142857143,9.638521614,96.0,63.0,,,,,,,,,,,0,0,0,,,,,,,,,,,
UBCV,2016,W,MUSC,101,,001,Diatonic Harmony and Voice Leading,Antares Boyle;Antares Leah Boyle;Eve Poudrier,51,82.29411765,12.94495132,98.0,47.0,,,,,,,,,,,1,3,1,0,3,1,4,2,5,13,18,,,
UBCV,2016,W,MUSC,200,,001,Chromatic Harmony and Voice Leading,Eve Poudrier;Grant Sawatzky,54,78.59259259,14.45294058,98.0,38.0,,,,,,,,,,,3,2,2,1,4,0,4,6,8,13,11,,,
UBCV,2016,W,MUSC,403,F,001,Selected Topics in Music,Eve Poudrier,12,89.5,3.825750075,96.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,5,6,,,
UBCV,2017,W,MUSC,101,,001,Diatonic Harmony and Voice Leading,Eve Poudrier;Mikyla Jensen,69,76.043478261,13.748192162,95.0,2.0,,,,,,,,,,,1,1,3,4,6,7,6,5,15,12,9,,,
UBCV,2017,W,MUSC,200,,001,Chromatic Harmony and Voice Leading,Eve Poudrier;Hei Yeung Lai;Laurel Jean Parsons;Laurel Parsons,52,81.230769231,15.023661579,98.0,27.0,,,,,,,,,,,2,2,1,1,3,1,1,4,12,4,21,,,
UBCV,2017,W,MUSC,403,F,001,Selected Topics in Music,Eve Poudrier,7,76.428571429,34.287301551,98.0,0.0,,,,,,,,,,,1,0,0,0,0,0,0,0,2,1,3,,,
UBCV,2017,W,MUSC,410,,001,Introduction to Schenkerian Analysis,Eve Poudrier,8,80.25,15.772942474,93.0,51.0,,,,,,,,,,,0,1,0,1,0,0,0,0,1,2,3,,,
UBCV,2017,W,MUSC,500,D,001,Advanced Musical Analysis,Eve Poudrier,8,84.5,10.849621455,96.0,66.0,,,,,,,,,,,0,0,0,0,1,0,1,1,0,1,4,,,
UBCV,2018,W,MUSC,101,,001,Diatonic Harmony and Voice Leading,Alexandre De Andrade Negri Junior;Alison Nicole Stevens;Alison Stevens;Eve Poudrier,83,77.506024096,14.18980525,98.0,0.0,,,,,,,,,,,1,3,3,3,5,7,5,8,18,14,16,,,
UBCV,2018,W,MUSC,403,C,001,Selected Topics in Music,Eve Poudrier,10,79.8,14.156270695,93.0,47.0,,,,,,,,,,,1,0,0,0,1,0,1,0,1,3,3,,,
UBCV,2019,W,MUSC,403,C,001,Selected Topics in Music,Eve Poudrier,7,87.857142857,5.177791403,93.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,0,3,3,,,
UBCV,2019,W,MUSC,403,F,001,Selected Topics in Music,Eve Poudrier,10,84.0,6.649979114,94.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,2,2,2,3,,,
UBCV,2019,W,MUSC,500,D,001,Advanced Musical Analysis,Eve Poudrier;Hei Yeung Lai,7,90.285714286,4.990467103,96.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,4,,,
UBCV,2019,W,MUSC,533,C,001,Advanced Studies in Music Theory,Eve Poudrier,7,89.285714286,5.707138387,95.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,5,,,
