Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,CIVL,331,,201,STEEL&TIMBR DSGN,"Pina, Freddy;Tannert, Thomas",134,74.78,11.1,93,0,129,5,0,0,0,1,0,0,0,4,5,0,4,6,2,13,32,19,35,15,3
UBC,2015,W,CIVL,331,,201,STEEL&TIMBR DSGN,"Pina, Freddy;Tannert, Thomas",137,75.39,14.14,96,0,131,6,0,0,0,1,1,0,0,4,6,5,1,13,4,5,14,18,38,21,12
UBC,2015,W,CIVL,508,,201,DYNAM STRUCT 2,"Pina, Freddy",5,90,4.64,96,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
UBC,2016,W,CIVL,331,,201,STEEL&TIMBR DSGN,"Pina, Freddy;Tannert, Thomas",115,76.87,8.01,92,52,113,0,2,0,0,0,0,0,0,0,0,1,3,4,5,6,19,31,20,18,6
UBC,2016,W,CIVL,508,,201,DYNAM STRUCT 2,"Pina, Freddy",24,87.67,6.68,97,73,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,9
UBC,2017,W,CIVL,331,,201,STEEL&TIMBR DSGN,"Pina, Freddy;Tannert, Thomas",96,76,8.33,90,40,94,1,1,0,0,0,0,0,0,1,1,1,0,4,5,8,17,22,21,13,3
UBC,2018,W,CIVL,508,,201,DYNAM STRUCT 2,"Pina, Freddy",17,87.06,8.51,96,71,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,9
UBCV,2014,W,CIVL,331,,201,Steel and Timber Design,Freddy Pina;Thomas Tannert,134,74.7761194,11.10011975,93.0,0.0,,,,,,,,,,,5,,,6,,13,32,19,35,15,
UBCV,2015,W,CIVL,331,,201,Steel and Timber Design,Freddy Pina;Marisa Mulder;Md. Shahnewaz;Saeid Allahdadian;Thomas Tannert;Yuxin Pan,137,75.394160584,14.139201692,96.0,0.0,,,,,,,,,,,6,5,,13,,5,14,18,38,21,12
UBCV,2015,W,CIVL,508,,201,Dynamics of Structures II,Freddy Pina;Saeid Allahdadian,5,90.0,4.636809248,96.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,
UBCV,2016,W,CIVL,331,,201,Steel and Timber Design,Freddy Pina;Hercend Mpidi Bita;Md. Shahnewaz;Saeid Allahdadian;Thomas Tannert;Winda Banjuradja,113,76.86725664,8.010600594,92.0,52.0,,,,,,,,,,,0,1,3,4,5,6,19,31,20,18,6
UBCV,2016,W,CIVL,508,,201,Dynamics of Structures II,Freddy Pina;Saeid Allahdadian,24,87.66666667,6.683312552,97.0,73.0,,,,,,,,,,,0,0,0,0,0,0,1,1,6,7,9
UBCV,2017,W,CIVL,331,,201,Steel and Timber Design,Freddy Pina;Hercend Mpidi Bita;Md. Shahnewaz;Neel Fondekar;Rachel Kazaka;Thomas Tannert,95,76.0,8.334751652,90.0,40.0,,,,,,,,,,,1,1,0,4,5,8,17,22,21,13,3
UBCV,2018,W,CIVL,508,,201,Dynamics of Structures II,Carlos Estuardo Ventura;Frank Lam;Freddy Pina;Garumuni Sanjaya De Zoysa;Xiao Pan,16,87.0625,8.512490822,96.0,71.0,,,,,,,,,,,0,0,0,0,0,1,3,0,0,3,9
UBCV,2019,W,CIVL,507,,101,Dynamics of Structures I,Carlos Estuardo Ventura;Freddy Pina;Mahsa Hosseini,54,92.648148148,5.674030239,100.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,6,6,41
UBCV,2019,W,CIVL,508,,201,Dynamics of Structures II,Carlos Estuardo Ventura;Dana Vanier;Deborah Altow;Freddy Pina;Leila Katebi,34,87.147058824,23.67984996,98.0,2.0,,,,,,,,,,,3,0,0,0,0,0,0,0,1,3,27
UBCV,2020,W,CIVL,507,,101,Dynamics of Structures I,Freddy Pina;Mahsa Hosseini,30,84.1,17.566327507,100.0,0.0,,,,,,,,,,,1,0,0,0,1,0,1,2,7,7,11
UBCV,2021,W,CIVL,507,,101,Dynamics of Structures I,Carlos Estuardo Ventura;Donald Mavinic;Freddy Pina;Leila Katebi;Michael D Isaacson,42,94.0,6.339962299,100.0,71.0,,,,,,,,,,,0,0,0,0,0,1,0,0,3,3,35
