Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,EOSC,116,,99C,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge,109,73.01834862,19.75590941,100.0,0.0,8,9,2,6,8,5,12,5,24,8,22
UBCV,2015,W,EOSC,116,,99A,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge,70,74.742857143,11.570434229,98.0,41.0,3,0,6,2,5,8,9,8,18,4,7
UBCV,2015,W,EOSC,116,,99C,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge;Mollie Mcdowell,118,72.627118644,14.809212085,96.0,0.0,7,2,4,10,14,18,9,12,17,9,16
UBCV,2016,W,EOSC,116,,99A,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge,94,72.72340426,15.04716903,98.0,0.0,4,3,5,7,9,13,17,1,12,13,10
UBCV,2016,W,EOSC,116,,99C,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge,72,72.22222222,19.82118814,100.0,0.0,4,2,3,6,7,7,8,6,7,12,10
UBCV,2016,W,EOSC,326,,99A,Earth and Life Through Time,Genevieve Mary Patton;Genevieve Patton;Louise Longridge;Nari Sim,72,77.09722222,14.21282869,97.0,0.0,2,2,1,2,3,7,8,10,16,9,12
UBCV,2017,W,EOSC,116,,99A,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge,63,75.412698413,15.342997689,100.0,35.0,3,2,4,4,4,7,7,3,11,3,15
UBCV,2017,W,EOSC,116,,99C,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge,133,73.639097744,19.124923587,100.0,0.0,8,3,5,8,13,11,12,12,22,17,22
UBCV,2018,W,EOSC,116,,99A,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge,109,73.357798165,15.524486594,97.0,28.0,9,5,2,11,7,7,12,8,16,15,17
UBCV,2018,W,EOSC,116,,99C,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge;Ryan Shaw,207,77.246376812,15.18277556,98.0,0.0,11,5,4,7,15,16,20,9,36,34,50
UBCV,2019,S,EOSC,116,,98A,Mesozoic Earth: Time of the Dinosaurs.,Genevieve Mary Patton;Genevieve Patton;Louise Longridge;Ryan Shaw,112,75.857142857,18.641162021,96.0,0.0,6,4,2,9,9,9,7,6,10,20,30
