Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2014,W,SPAN,101,,002,Beginners' Spanish I,Grisel Garcia Perez,57,74.59649123,20.56857837,99.0,4.0,5,,,5,,6,,5,5,11,12,,,
UBCO,2014,W,SPAN,441,,001,Spanish Applied Linguistics,Grisel Garcia Perez,11,83.63636364,8.321931594,94.0,64.0,0,0,0,0,,,,,,,,,,
UBCO,2015,W,SPAN,203,,001,Oral Expression I,Grisel Garcia Perez,27,77.962962963,13.824397279,99.0,48.0,,,,,,,,,,7,,,,
UBCO,2015,W,SPAN,204,,001,Oral Expression II,Grisel Garcia Perez,17,84.588235294,11.396593918,96.0,58.0,0,0,,,,,,,,,7,,,
UBCO,2015,W,SPAN,315,,001,Introduction to Spanish Linguistics,Grisel Garcia Perez,15,79.933333333,12.044362443,97.0,60.0,0,0,0,,,,,,,,,,,
UBCO,2015,W,SPAN,409,,001,Varieties of Spanish,Grisel Garcia Perez,16,73.5,22.482585854,94.0,9.0,,,,,,,,,,,,,,
UBCO,2016,S,SPAN,102,,001,Beginners' Spanish II,Grisel Garcia Perez,15,70.0,14.50615633,96.0,42.0,1,1,1,2,2,2,0,1,2,2,1,,,
UBCO,2016,W,SPAN,101,,005,Beginners' Spanish I,Brandon Currie;Grisel Garcia Perez;Himayini Sharma,40,71.375,16.23969101,99.0,37.0,6,1,2,1,4,4,4,6,3,3,6,,,
UBCO,2016,W,SPAN,101,,006,Beginners' Spanish I,Brandon Currie;Grisel Garcia Perez;Himayini Sharma,38,79.47368421,15.15636846,99.0,42.0,3,1,2,0,2,2,1,4,7,3,13,,,
UBCO,2016,W,SPAN,441,,001,Spanish Applied Linguistics,Grisel Garcia Perez,8,81.375,8.122939299,96.0,70.0,0,0,0,0,0,1,1,2,1,2,1,,,
UBCO,2017,S,SPAN,101,,001,Beginners' Spanish I,Grisel Garcia Perez,24,80.541666667,15.398981239,99.0,39.0,1,0,0,3,1,1,2,2,3,0,11,,,
UBCO,2017,S,SPAN,102,,001,Beginners' Spanish II,Grisel Garcia Perez,16,77.6875,21.168274217,100.0,31.0,2,0,1,0,1,0,1,2,2,0,7,,,
UBCO,2018,S,SPAN,102,,001,Beginners' Spanish II,Grisel Garcia Perez,13,74.846153846,13.170966516,93.0,44.0,1,0,1,0,0,2,0,3,4,1,1,,,
UBCO,2018,W,SPAN,315,,001,Introduction to Spanish Linguistics,Grisel Garcia Perez,19,76.473684211,19.57143162,97.0,15.0,1,0,1,1,2,1,2,1,3,1,6,,,
UBCO,2019,W,SPAN,101,,008,Beginners' Spanish I,Grisel Garcia Perez,18,82.277777778,8.428282608,97.0,71.0,0,0,0,0,0,2,3,1,6,2,4,,,
UBCO,2019,W,SPAN,102,,006,Beginners' Spanish II,Grisel Garcia Perez,19,82.578947368,8.057541598,97.0,68.0,0,0,0,0,0,2,1,3,6,4,3,,,
UBCO,2020,W,SPAN,101,,008,Beginners' Spanish I,Carolina Leyton;Grisel Garcia Perez,19,83.105263158,8.986995153,100.0,64.0,0,0,0,0,1,0,3,3,4,3,5,,,
UBCO,2020,W,SPAN,102,,006,Beginners' Spanish II,Carolina Leyton;Grisel Garcia Perez,17,81.764705882,15.081153022,100.0,51.0,0,1,2,0,0,0,2,1,2,4,5,,,
UBCO,2021,W,SPAN,101,,008,Beginners' Spanish I,Carolina Leyton;Grisel Garcia Perez,18,80.222222222,18.196817936,100.0,26.0,1,1,0,0,1,0,1,2,3,2,7,,,
UBCO,2021,W,SPAN,102,,006,Beginners' Spanish II,Carolina Leyton;Grisel Garcia Perez;Maria Novoa Vignau,18,71.777777778,19.936828338,97.0,32.0,3,0,1,2,1,2,1,1,1,1,5,,,
UBCO,2021,W,SPAN,101,,008,Beginners' Spanish I,Grisel Garcia Perez,18,80.2,,100.0,26.0,,,,,,,,,,,7,85.0,90.8,77.0
UBCO,2021,W,SPAN,102,,006,Beginners' Spanish II,Grisel Garcia Perez,18,71.8,,97.0,32.0,,,,,,,,,,,,71.5,89.8,61.5
