Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,POLI,350,A,001,PUBLIC POLICY,"PACHECO-VEGA, HECTOR R",51,80.89,4.64,91,73,46,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,7,13,14,9,3
UBC,2006,W,POLI,351,,001,ENV POLI&POLCY,"PACHECO-VEGA, HECTOR R",64,77.1,12.82,91,0,57,2,4,0,1,1,0,0,0,1,2,1,0,0,1,3,7,16,20,7,2
UBC,2009,W,POLI,352,A,001,COMP POLI & PP,"PACHECO-VEGA, HECTOR R",21,78.24,5.52,91,68,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,1,1
UBC,2009,W,POLI,375,A,001,GLOB ENV POLI,"PACHECO-VEGA, HECTOR R",79,74.51,9.6,86,0,76,1,1,0,1,1,0,0,0,0,1,0,0,0,1,15,19,29,11,1,0
UBC,2010,W,POLI,350,A,001,PUBLIC POLICY,"PACHECO-VEGA, HECTOR R",54,79.25,4.75,90,70,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,17,19,5,2
UBC,2010,W,POLI,351,,001,ENV POLI&POLCY,"PACHECO-VEGA, HECTOR R",67,80.66,10.4,93,32,62,2,2,1,0,0,0,0,2,0,2,0,0,0,1,1,6,16,12,18,8
UBC,2010,W,POLI,375,A,001,GLOB ENV POLI,"PACHECO-VEGA, HECTOR R",60,76.33,15.18,91,0,56,2,2,0,0,2,0,0,0,0,2,0,0,0,0,1,8,27,13,6,1
UBC,2011,S,POLI,351,,921,ENV POLI&POLCY,"PACHECO-VEGA, HECTOR R",41,80.95,4.61,91,72,38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,17,5,3
UBC,2011,W,POLI,332,,001,,"PACHECO-VEGA, HECTOR R",30,77.32,3.44,83,71,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8,10,9,0,0
UBC,2011,W,POLI,350,A,001,PUBLIC POLICY,"PACHECO-VEGA, HECTOR R",55,77.85,11.35,91,0,54,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,23,19,4,1
UBC,2011,W,POLI,375,A,001,GLOB ENV POLI,"PACHECO-VEGA, HECTOR R",53,78.06,3.73,86,67,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,18,18,3,0
