Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,PHAR,211,,001,DRUG DELV SYS I,"Price, Ingrid;Wasan, Kishor",139,84.71,4.56,95,64,139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,42,67,14,,,
UBC,2002,W,PSYC,460,,001,HORMONES&BEHAVOR,"Price, Ingrid",36,75.94,13.86,87,0,35,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,10,6,15,2,0,,,
UBC,2003,W,PHAR,299,,001,CASES PHARM I,"Eccott, Lynda;Price, Ingrid",140,83.07,4.71,92,70,139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,26,50,46,9,,,
UBC,2003,W,PHAR,311,,001,DRUG DELV SYS II,"Burt, Helen Mary;Eccott, Lynda;Price, Ingrid;Shabbits, Jennifer Anne;Wasan, Kishor",145,79.59,7.29,96,57,145,0,0,0,0,0,0,0,0,0,0,0,2,4,4,7,19,29,48,21,11,,,
UBC,2003,W,PHAR,450,B,020,SELECTED TOPICS,"Price, Ingrid",9,84,4.34,91,78,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,,,
UBC,2005,W,PHAR,299,,001,CASES PHARM I,"Price, Ingrid",158,86.52,4.01,94,67,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,33,86,31,,,
UBC,2006,W,PHAR,299,,001,CASES PHARM I,"Price, Ingrid",153,85.65,3.33,94,73,152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,31,98,15,,,
UBC,2006,W,PHAR,450,B,011,SELECTED TOPICS,"Price, Ingrid",10,92.5,4.79,97,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,,,
UBC,2006,W,PHAR,450,B,211,SELECTED TOPICS,"Price, Ingrid",12,88.92,4.38,95,82,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,,,
UBC,2006,W,PHAR,450,D,010,SELECTED TOPICS,"Price, Ingrid",6,94.33,3.44,97,88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,,,
UBC,2007,W,PHAR,299,,001,CASES PHARM I,"Price, Ingrid",152,76.36,7.03,92,58,151,0,1,0,0,0,0,0,0,0,0,0,1,7,11,18,26,30,42,14,2,,,
UBC,2007,W,PHAR,450,B,011,SELECTED TOPICS,"Price, Ingrid",11,86.64,3.59,90,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,,,
UBC,2007,W,PHAR,450,B,211,SELECTED TOPICS,"Price, Ingrid",15,86.93,2.63,90,83,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,,,
UBC,2007,W,PHAR,450,D,010,SELECTED TOPICS,"Price, Ingrid",7,89.29,1.89,90,85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,,,
UBC,2007,W,PHAR,450,D,210,SELECTED TOPICS,"Price, Ingrid",4,88,2.45,90,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,
UBC,2009,W,PHAR,299,,001,CASES PHARM I,"Price, Ingrid",153,80.53,6.69,92,43,151,1,1,0,0,0,0,0,0,1,1,0,1,1,3,4,12,36,48,42,4,,,
UBC,2009,W,PHAR,450,B,011,SELECTED TOPICS,"Price, Ingrid",11,89.18,1.6,90,85,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,,,
UBC,2009,W,PHAR,450,B,211,SELECTED TOPICS,"Price, Ingrid",10,88.3,2.36,90,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
UBC,2009,W,PHAR,453,B,012,Dir Stu Phar Pra,"Price, Ingrid",6,90,2.19,92,88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,
