Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2007,W,POLI,360,A,001,SECURITY STUDY,"Peterson, Jenny",63,77.39,10.32,92,23,61,1,1,0,0,0,0,1,0,0,1,1,0,1,3,6,9,12,15,12,2,,,
UBC,2007,W,POLI,360,A,901,SECURITY STUDY,"Peterson, Jenny",70,74.39,10.6,89,25,65,1,0,0,4,0,0,1,0,0,1,0,3,6,5,6,9,11,15,10,0,,,
UBC,2007,W,POLI,464,C,001,PROB INTRL RELTN,"Peterson, Jenny",20,81.95,3.78,89,75,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,9,6,0,,,
UBC,2013,W,POLI,220,,001,INTR COMP POLTCS,"Peterson, Jenny",40,74.74,8.96,91,55,39,0,0,0,1,0,0,0,0,0,0,0,2,0,7,5,5,8,4,6,2,,,
UBC,2013,W,POLI,461,,001,PEACE & CONFLICT,"Peterson, Jenny",22,81.77,3.53,87,74,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,6,0,,,
UBC,2014,W,POLI,100,,V01,INTRO TO POLITIC,"Peterson, Jenny",42,65.05,11.84,91,34,39,3,0,0,0,0,0,0,1,2,3,4,4,7,9,3,4,3,3,1,1,,,
UBC,2014,W,POLI,100,,V02,INTRO TO POLITIC,"Peterson, Jenny",40,61.32,13.51,83,19,32,5,2,0,1,0,1,0,1,3,5,5,5,4,5,4,4,4,1,0,0,,,
UBC,2014,W,POLI,220,,002,INTR COMP POLTCS,"Peterson, Jenny",105,73.28,9.18,88,42,100,2,1,0,1,0,0,0,0,2,2,0,5,8,11,12,20,13,23,8,0,,,
UBC,2014,W,POLI,220,,V01,INTR COMP POLTCS,"Peterson, Jenny",71,67.49,12.58,87,0,68,3,0,0,0,1,0,0,0,2,3,3,10,7,9,10,10,8,8,3,0,,,
UBC,2014,W,POLI,461,,001,PEACE & CONFLICT,"Peterson, Jenny",28,82.85,4.86,91,74,26,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,9,6,3,,,
UBC,2014,W,VANT,148,,V96,VANT COL PROJECT,"Lam, Mark;Peterson, Jenny;Pickren, Graham;Rea, Jaclyn",21,63.67,18.03,81,12,18,3,0,0,0,0,1,1,0,1,3,0,1,2,6,1,2,4,2,0,0,,,
UBC,2015,W,POLI,100,,V01,INTRO TO POLITIC,"Peterson, Jenny",59,63.34,14.92,85,7,53,5,1,0,0,1,1,1,0,2,5,5,8,8,6,10,8,3,4,1,0,,,
UBC,2015,W,POLI,100,,V02,INTRO TO POLITIC,"Peterson, Jenny",68,60.09,17.96,85,19,51,13,4,0,0,0,1,8,1,3,13,6,2,11,8,5,9,4,5,1,0,,,
UBC,2015,W,POLI,220,,002,INTR COMP POLTCS,"Peterson, Jenny",125,76.26,9.39,96,24,121,1,3,0,0,0,0,1,0,0,1,0,2,5,7,19,23,17,23,20,5,,,
UBC,2015,W,POLI,220,,V01,INTR COMP POLTCS,"Peterson, Jenny",53,68.51,8.33,84,47,52,1,0,0,0,0,0,0,0,1,1,2,4,6,13,5,12,3,7,0,0,,,
UBC,2015,W,POLI,220,,V02,INTR COMP POLTCS,"Peterson, Jenny",54,65.09,14.47,89,3,50,4,0,0,0,1,1,1,0,1,4,1,2,11,9,11,9,4,1,2,0,,,
UBC,2015,W,POLI,461,,001,PEACE & CONFLICT,"Peterson, Jenny",23,84.87,4.31,93,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,5,,,
UBC,2016,W,POLI,100,,V01,INTRO TO POLITIC,"Peterson, Jenny",68,62.93,16.34,92,0,57,10,1,0,0,1,0,3,0,6,10,6,8,7,5,10,9,3,3,4,2,,,
UBC,2016,W,POLI,100,,V02,INTRO TO POLITIC,"Peterson, Jenny",71,54.62,18.92,84,2,51,20,0,0,0,4,2,2,5,7,20,9,10,8,6,4,8,3,3,0,0,,,
UBC,2016,W,POLI,370,A,001,,"Peterson, Jenny",90,78.45,6.11,90,46,87,1,1,0,0,0,0,0,0,1,1,0,1,0,1,3,15,27,34,3,3,,,
UBC,2016,W,POLI,461,,001,PEACE & CONFLICT,"Peterson, Jenny",24,85.67,3.33,92,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,3,,,
UBC,2017,S,ASTU,360,,001,COMUNTY-BSD RSRC,"Peterson, Jenny",15,86.33,2.97,93,83,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,,,
UBC,2017,W,POLI,100,,V01,INTRO TO POLITIC,"Peterson, Jenny",61,65.59,15.47,90,16,52,9,0,0,0,0,1,1,1,6,9,2,6,5,7,8,8,8,3,4,1,,,
UBC,2017,W,POLI,220,,V01,INTR COMP POLTCS,"Peterson, Jenny",53,71.66,10.25,90,36,52,1,0,0,0,0,0,0,1,0,1,2,2,3,10,8,9,4,7,6,1,,,
UBC,2017,W,POLI,370,A,001,,"Peterson, Jenny",90,78.54,10.5,90,20,87,2,1,0,0,0,0,1,1,0,2,2,1,0,1,3,6,17,42,13,2,,,
UBC,2017,W,POLI,461,,001,PEACE & CONFLICT,"Peterson, Jenny",19,86.58,4.13,92,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,,,
UBC,2018,W,POLI,100,,V01,INTRO TO POLITIC,"Peterson, Jenny",51,69.55,9.41,84,23,50,1,0,0,0,0,0,1,0,0,1,0,3,5,6,14,12,5,5,0,0,,,
UBC,2018,W,POLI,100,,V03,INTRO TO POLITIC,"Peterson, Jenny",52,68.45,10.69,95,33,48,3,1,0,0,0,0,0,2,1,3,0,3,4,11,11,12,2,3,1,1,,,
UBC,2018,W,POLI,370,A,001,,"Peterson, Jenny",98,81.27,6.29,92,54,98,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,7,16,40,22,6,,,
UBC,2018,W,POLI,464,F,001,PROB INTRL RELTN,"Peterson, Jenny",20,86.05,3.99,91,79,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,5,,,
UBCV,2014,W,POLI,100,,V01,Introduction to Politics,Jenny Peterson,42,65.04761905,11.84442316,91.0,34.0,,,,,,,,,,,,,,7,9,,,,,1,,,,
UBCV,2014,W,POLI,100,,V02,Introduction to Politics,Jenny Peterson,38,60.89473684,13.5881297,83.0,19.0,,,,,,,,,,,6,5,5,4,5,,,,,0,0,,,
UBCV,2014,W,POLI,220,,002,Introduction to Comparative Politics,Jenny Peterson,104,72.81730769,10.00850553,88.0,31.0,,,,,,,,,,,,,5,8,12,12,20,13,23,8,0,,,
UBCV,2014,W,POLI,220,,V01,Introduction to Comparative Politics,Jenny Peterson,71,67.49295775,12.57874993,87.0,0.0,,,,,,,,,,,,,10,7,9,10,10,8,8,3,0,,,
UBCV,2014,W,POLI,461,,001,Peace and Conflict Studies,Jenny Peterson,27,81.74074074,7.4606279,91.0,53.0,,,,,,,,,,,0,,,,,,,6,9,6,,,,
UBCV,2014,W,VANT,148,,V96,UBC Vantage College Projects,Graham Pickren;Jaclyn Rea;Jenny Peterson;Mark Lam;Richard Togman,21,63.66666667,18.02590728,81.0,12.0,,,,,,,,,,,,,,,6,,,,,0,0,,,
UBCV,2015,W,POLI,100,,V01,Introduction to Politics,Jenny Peterson,58,63.344827586,14.917964825,85.0,7.0,,,,,,,,,,,5,5,8,8,6,10,8,,4,,0,,,
UBCV,2015,W,POLI,100,,V02,Introduction to Politics,Jenny Peterson,64,60.09375,17.961792563,85.0,19.0,,,,,,,,,,,13,6,,11,8,5,9,,5,,0,,,
UBCV,2015,W,POLI,220,,002,Introduction to Comparative Politics,Jenny Peterson,122,76.262295082,9.392104367,96.0,24.0,,,,,,,,,,,,,,5,7,19,23,17,23,20,5,,,
UBCV,2015,W,POLI,220,,V01,Introduction to Comparative Politics,Jenny Peterson,53,68.509433962,8.331180177,84.0,47.0,,,,,,,,,,,,,,6,13,5,12,,7,0,0,,,
UBCV,2015,W,POLI,220,,V02,Introduction to Comparative Politics,Jenny Peterson,54,65.092592593,14.472183492,89.0,3.0,,,,,,,,,,,,,,11,9,11,9,,1,2,0,,,
UBCV,2015,W,POLI,461,,001,Peace and Conflict Studies,Jenny Peterson,23,84.869565217,4.309654572,93.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,3,8,7,5,,,
UBCV,2016,W,POLI,100,,V01,Introduction to Politics,Jenny Peterson,67,62.92537313,16.34320676,92.0,0.0,,,,,,,,,,,10,6,8,7,5,10,9,3,3,4,2,,,
UBCV,2016,W,POLI,100,,V02,Introduction to Politics,Jenny Peterson,71,54.61971831,18.9166338,84.0,2.0,,,,,,,,,,,20,9,10,8,6,4,8,3,3,0,0,,,
UBCV,2016,W,POLI,220,,V01,Introduction to Comparative Politics,Jenny Peterson;Samuel Reed,58,68.53448276,11.57767894,89.0,29.0,,,,,,,,,,,4,0,7,5,10,10,5,7,5,5,0,,,
UBCV,2016,W,POLI,220,,V02,Introduction to Comparative Politics,Jenny Peterson;Samuel Reed,47,68.25531915,10.88970013,87.0,31.0,,,,,,,,,,,3,0,1,8,10,8,6,5,3,3,0,,,
UBCV,2016,W,POLI,370,A,001,Issues in International Conflict Management,Jenny Peterson;Miriam Matejova,89,78.35955056,6.139009379,90.0,46.0,,,,,,,,,,,1,0,1,0,1,4,15,27,34,3,3,,,
UBCV,2016,W,POLI,461,,001,Peace and Conflict Studies,Jenny Peterson,24,85.66666667,3.331883743,92.0,76.0,,,,,,,,,,,0,0,0,0,0,0,0,1,8,12,3,,,
UBCV,2017,S,ASTU,360,,001,Community-Based Research and Knowledge Creation,Jenny Peterson,15,86.333333333,2.968084199,93.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,5,7,3,,,
UBCV,2017,W,POLI,100,,V01,Introduction to Politics,Jenny Peterson,61,65.590163934,15.465420621,90.0,16.0,,,,,,,,,,,9,2,6,5,7,8,8,8,3,4,1,,,
UBCV,2017,W,POLI,100,,V02,Introduction to Politics,Jenny Peterson;Serbulent Turan,48,74.958333333,13.45593017,95.0,12.0,,,,,,,,,,,2,1,2,0,1,6,7,11,12,3,3,,,
UBCV,2017,W,POLI,220,,V01,Introduction to Comparative Politics,Jenny Peterson;Joanne Fensome;Katherine Kirst;Stefano Burzo;Zhiqing Li,53,71.660377358,10.252473241,90.0,36.0,,,,,,,,,,,1,2,2,3,10,8,9,4,7,6,1,,,
UBCV,2017,W,POLI,220,,V02,Introduction to Comparative Politics,Jenny Peterson;Samuel Reed,44,72.5,11.795742235,90.0,37.0,,,,,,,,,,,3,0,3,2,3,6,6,10,6,4,1,,,
UBCV,2017,W,POLI,370,A,001,Issues in International Conflict Management,Alison James-Lomax;Jenny Peterson;Miriam Matejova,89,78.539325843,10.496813564,90.0,20.0,,,,,,,,,,,2,2,1,0,1,3,6,17,42,13,2,,,
UBCV,2017,W,POLI,461,,001,Peace and Conflict Studies,Jenny Peterson,19,86.578947368,4.127358443,92.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,7,6,6,,,
UBCV,2018,W,POLI,100,,V01,Introduction to Politics,Dilihumaer Wulamu;Hannah Geiser;Jenny Peterson;Kevin Hemmat;Marcelo Emilio Bravo Chapa;Marzia Rizvi,51,69.549019608,9.411299008,84.0,23.0,,,,,,,,,,,1,0,3,5,6,14,12,5,5,0,0,,,
UBCV,2018,W,POLI,100,,V02,Introduction to Politics,Brian Thomas;Chrisanne Kouzas;Guilherme Rosales;Jenny Peterson;Luthfi Dhofier;Serbulent Turan;Shania Rattan,68,76.0,7.542912063,90.0,50.0,,,,,,,,,,,0,1,0,3,3,9,17,12,14,6,3,,,
UBCV,2018,W,POLI,100,,V03,Introduction to Politics,Erin Christensen;Hannah Geiser;Jenny Peterson;Kevin Hemmat;Marcelo Emilio Bravo Chapa;Marzia Rizvi,51,68.450980392,10.687027137,95.0,33.0,,,,,,,,,,,3,0,3,4,11,11,12,2,3,1,1,,,
UBCV,2018,W,POLI,220,,V01,Introduction to Comparative Politics,Chrisanne Kouzas;Hannah Geiser;Jenny Peterson;Kevin Hemmat;Marcelo Emilio Bravo Chapa;Waged Jafer,50,69.02,12.711058981,87.0,10.0,,,,,,,,,,,3,2,2,4,5,9,13,4,5,3,0,,,
UBCV,2018,W,POLI,220,,V02,Introduction to Comparative Politics,Jenny Peterson;Luthfi Dhofier;Marzia Rizvi;Samuel Reed;Sky Shin,65,73.123076923,8.038010661,89.0,42.0,,,,,,,,,,,1,0,0,7,6,10,16,12,9,4,0,,,
UBCV,2018,W,POLI,370,A,001,Issues in International Conflict Management,Jenny Peterson;Kelley Humber,98,81.469387755,5.691744939,92.0,65.0,,,,,,,,,,,0,0,0,0,3,3,8,16,40,22,6,,,
UBCV,2018,W,POLI,464,F,001,Problems in International Relations,Jenny Peterson,20,86.05,3.99308613,91.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,1,6,8,5,,,
UBCV,2019,W,POLI,100,,V01,Introduction to Politics,Adi Burton;Anne-Marie Dahms;Elif Kayali;Ely Bahhadi;Isabelle Ava-Pointon;Jenny Peterson;Joshua Tafel;Lillian Sarson;Natascha Schoepl;Samuel Reed;Serbulent Turan,96,73.21875,8.108738788,93.0,49.0,,,,,,,,,,,1,2,3,3,9,21,17,23,10,5,2,,,
UBCV,2019,W,POLI,100,,V02,Introduction to Politics,Adi Burton;Anne-Marie Dahms;Elif Kayali;Ely Bahhadi;Isabelle Ava-Pointon;Jenny Peterson;Joshua Tafel;Lillian Sarson;Natascha Schoepl;Samuel Reed;Serbulent Turan,71,72.366197183,7.762988078,89.0,49.0,,,,,,,,,,,1,1,3,4,7,17,12,13,10,3,0,,,
