Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2016,W,BIOL,300,,101,FUND OF BIOSTATS,"Pennell, Matthew",239,77.78,11.75,99,28,231,6,2,0,0,0,0,1,1,4,6,3,7,9,17,18,30,32,35,48,32,,,
UBC,2017,W,BIOL,300,,201,FUND OF BIOSTATS,"Pennell, Matthew",187,75.35,13.69,99,34,176,5,4,0,2,0,0,0,3,2,5,10,12,8,15,15,16,21,29,22,28,,,
UBC,2017,W,BIOL,347,,201,PRIN&METH RSCH I,"Adams, Keith;Pennell, Matthew;Schulte, Patricia",13,89.69,5.12,98,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,,,
UBC,2017,W,BIOL,548,O,201,ADV TOPICS BIOL,"Pennell, Matthew",16,89,0,89,89,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,,,
UBC,2018,W,BIOL,300,,201,FUND OF BIOSTATS,"Pennell, Matthew",189,78.96,12.31,100,40,182,4,1,0,2,0,0,0,0,4,4,6,5,7,9,15,20,21,26,32,41,,,
UBC,2018,W,BIOL,417,,101,PHYLOGENETIC BIO,"Pennell, Matthew",28,81.33,8.17,97,64,27,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,4,6,8,3,,,
UBC,2018,W,BIOL,548,O,201,ADV TOPICS BIOL,"Pennell, Matthew",20,93.05,2.8,95,89,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,,,
UBCV,2016,W,BIOL,300,,101,Fundamentals of Biostatistics,Aaron Greenberg;Aaron Wynne Greenberg;Jasmine Ono;Matthew Pennell;Mauro Toshiro Caiuby Sugawara;Ruth Sharpe;Shaghayegh Sadir Karimi,237,77.78481013,11.74914806,99.0,28.0,,,,,,,,,,,7,2,7,9,17,18,30,32,35,48,32,,,
UBCV,2017,W,BIOL,300,,201,Fundamentals of Biostatistics,Ilan Rubin;Jordan Hamden;Matthew Pennell;Megan Bontrager;Patricia Angkiriwang;Soheila Zarei,183,75.076502732,14.114315265,99.0,25.0,,,,,,,,,,,6,10,12,8,15,15,17,21,29,22,28,,,
UBCV,2017,W,BIOL,347,,201,Principles and Methodology in Biological Research,Keith Adams;Matthew Pennell;Patricia Schulte,13,89.692307692,5.121598308,98.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,3,8,,,
