Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,COHR,486,A,101,Special Topics in Organizational Behaviour and Human Resources,Rebecca Mee Kyung Paluch,30,78.966666667,6.150320055,86.0,62.0,0,0,0,1,0,4,4,2,14,5,0,,,
UBCV,2019,W,COMM,203,,105,Managing the Employment Relationship,Ansel Hartanto;Rebecca Mee Kyung Paluch;Talissa Eng,59,76.016949153,4.272976534,86.0,64.0,0,0,0,0,3,5,15,27,7,2,0,,,
UBCV,2019,W,COMM,203,,201,Managing the Employment Relationship,Jessica Tran;Logan Benninger;Rebecca Mee Kyung Paluch;Ryan Lorage,58,73.586206897,7.842829964,87.0,55.0,0,0,4,2,5,10,9,18,4,6,0,,,
UBCV,2020,S,BAHR,580,D,001,Topics in Human Resources,Bradley Scheftner;Lingtao Yu;Michael Daniels;Rebecca Mee Kyung Paluch;Samyta Rai;Sandra Robinson;Tracey Gurton;Vatsala Gupta;Vatsala Yash Gupta;Wayne Rawcliffe;Yash Gupta;Yu-Wung Cheng,53,82.547169811,3.249651092,89.0,77.0,0,0,0,0,0,0,0,12,27,14,0,,,
UBCV,2020,W,BAHR,580,A,001,Topics in Human Resources,Barnini Bhattacharyya;Rebecca Mee Kyung Paluch,14,83.285714286,3.891382421,87.0,73.0,0,0,0,0,0,0,1,1,6,6,0,,,
UBCV,2020,W,COHR,486,A,101,Special Topics in Organizational Behaviour and Human Resources,Alessandro Davidoni;Elizabeth Phillips;Rebecca Mee Kyung Paluch;Yu-Wung Cheng,30,78.1,4.618926581,87.0,70.0,0,0,0,0,0,1,6,8,11,4,0,,,
UBCV,2020,W,COMM,203,,105,Managing the Employment Relationship,Evelyn Ashworth;Logan Benninger;Rebecca Mee Kyung Paluch,59,74.86440678,6.556012316,88.0,51.0,0,1,0,2,1,14,12,11,17,1,0,,,
UBCV,2020,W,COMM,374,,203,Applied Financial Markets,Bo Bian;Chunxue Yang;David Chan;Jack Favilukis;Joanne Turner;Rebecca Mee Kyung Paluch;Semen Malamud;Yingxiang Li,42,77.880952381,6.181018864,92.0,61.0,0,0,0,2,0,4,5,9,19,2,1,,,
UBCV,2021,W,BAHR,580,A,001,Topics in Human Resources,Barnini Bhattacharyya;Kyland Sargeant;Mikayla Ireland;Rebecca Mee Kyung Paluch,42,83.452380952,4.103552185,90.0,74.0,0,0,0,0,0,0,1,8,15,15,3,,,
UBCV,2021,W,COHR,486,A,101,Special Topics in Organizational Behaviour and Human Resources,Barnini Bhattacharyya;Kyland Sargeant;Mikayla Ireland;Rebecca Mee Kyung Paluch,23,75.304347826,5.07610071,82.0,61.0,0,0,0,1,1,3,6,7,5,0,0,,,
UBCV,2021,W,COMM,203,,105,Managing the Employment Relationship,Carina Koo;Chanelle Marchand;Jai Kumar;Jasmeen Sodhi;Jorge Albin Ortiz;Lucero Rivas Castillo;Michael Prysunka;Noah Gray;Rebecca Mee Kyung Paluch;Suhaana Sidhu;Tejsai Tagore,59,74.13559322,6.976457028,87.0,40.0,1,0,0,1,3,11,14,17,9,3,0,,,
UBCV,2021,W,BAHR,580,A,001,Topics in Human Resources,Rebecca Mee Kyung Paluch,42,83.5,,90.0,74.0,,,,,,,,8,15,15,,84.0,87.0,80.0
UBCV,2021,W,COHR,486,A,101,Special Topics in Organizational Behaviour and Human Resources,Rebecca Mee Kyung Paluch,23,75.3,,82.0,61.0,,,,,,,6,7,,,,76.0,78.5,73.0
UBCV,2021,W,COMM,203,,105,Managing the Employment Relationship,Rebecca Mee Kyung Paluch,58,74.7,,87.0,61.0,,,,,,11,14,17,9,,,75.5,77.0,71.3
UBCV,2022,W,BAHR,580,A,001,Topics in Human Resources,Rebecca Mee Kyung Paluch,11,83.9,,95.0,78.0,0,0,0,0,0,0,0,1,5,3,2,81.0,86.0,80.0
UBCV,2022,W,COHR,486,A,101,Special Topics in Organizational Behaviour and Human Resources,Rebecca Mee Kyung Paluch,26,78.9,,85.0,66.0,0,0,0,0,1,0,1,12,10,2,0,78.5,82.0,77.0
UBCV,2022,W,COMM,203,,104,Managing the Employment Relationship,Rebecca Mee Kyung Paluch,62,74.4,,88.0,60.0,0,0,0,3,4,7,18,16,12,2,0,74.0,78.0,72.0
UBCV,2022,W,COMM,203,,105,Managing the Employment Relationship,Rebecca Mee Kyung Paluch,59,75.2,,85.0,55.0,0,0,1,0,5,4,14,16,17,2,0,76.0,80.0,73.0
UBCV,2023,W,BAHR,580,A,001,Topics in Human Resources,Rebecca Mee Kyung Paluch,17,82.35,,92.0,76.0,0,0,0,0,0,0,0,4,7,4,2,82.0,85.0,80.0
UBCV,2023,W,COMM,203,,105,Managing the Employment Relationship,Rebecca Mee Kyung Paluch,57,74.3,,85.0,51.0,0,1,2,1,3,8,13,13,15,1,0,76.0,80.0,70.0
UBCV,2023,W,COMM,323,,101,"Leading Diversity, Equity and Inclusion in Organizations",Rebecca Mee Kyung Paluch,30,75.8,,85.0,58.0,0,0,1,0,0,5,4,8,10,1,0,77.0,80.0,72.0
