Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,BIOL,201,,201,Introduction to Biochemistry,Amelia Hunter;Christina Rose Tysoe;Francisco Benitez De La Fuente;Le Tam Nhan Nguyen;Nolan Jack Shelley;Nolan Shelley;Rebecca Wai Yin Ko;Reinhard Jetter;Robin Young;Sravya Paluri;Stephanie Cheung;Stephanie Tran,284,73.22535211,13.32915419,93.0,3.0,21,5,9,11,24,39,42,27,50,39,17
UBCV,2016,W,BIOL,201,,203,Introduction to Biochemistry,Amelia Hunter;Christina Rose Tysoe;Francisco Benitez De La Fuente;Gangamma Chowrira;Le Tam Nhan Nguyen;Nolan Jack Shelley;Nolan Shelley;Rebecca Wai Yin Ko;Sravya Paluri;Stephanie Tran,187,78.37967914,11.42813986,95.0,39.0,4,4,3,10,9,14,20,19,35,45,24
UBCV,2016,W,BIOL,201,,204,Introduction to Biochemistry,Amelia Hunter;Christina Rose Tysoe;Francisco Benitez De La Fuente;Le Tam Nhan Nguyen;Nolan Jack Shelley;Nolan Shelley;Rebecca Wai Yin Ko;Reinhard Jetter;Robin Young;Sravya Paluri;Stephanie Tran,223,74.48430493,13.27120012,97.0,0.0,8,5,9,9,17,22,30,23,59,27,14
UBCV,2017,W,BIOL,200,,000,Fundamentals of Cell Biology,Alberto Delaidelli;Amelia Hunter;Anne Kim;Elizabeth Cooney;Francisco Benitez De La Fuente;Karen Thulasi Devendrakumar;Karlson Pang;Katherine Cheung;Maria Jianrong Zhu;Meng Li;Natalie Hoffmann;Robin Young;Samantha Burugu;Samuel Livingston;Sara Tasnim;Sravya Paluri;Stephanie Tran;Wesley Gerelle;Wesley Kirk Gerelle;Yi-Chen Lee;Yulin Sun,1327,76.31801055,11.718023128,98.0,20.0,79,11,16,38,91,132,138,148,308,267,99
UBCV,2017,W,BIOL,331,,201,Developmental Biology,Amelia Hunter;Katherine Clayworth;Sarah Gignac;Sravya Paluri;Vanessa Auld,66,75.893939394,12.192215408,91.0,41.0,4,3,0,3,4,3,8,8,14,15,4
UBCV,2018,W,BIOL,331,,101,Developmental Biology,Duo Cheng;Mopelola Akinlaja;Siu Fan Ho;Sravya Paluri;Stella Lee;Stella Yim Jung Lee,70,76.3,8.033173972,90.0,50.0,0,2,1,2,4,3,17,15,15,10,1
UBCV,2019,W,BIOL,331,,101,Developmental Biology,Madison Earhart;Pei-Hsuan Wu;Siu Fan Ho;Sravya Paluri;Stella Lee;Stella Yim Jung Lee,71,79.816901408,8.140392864,93.0,58.0,0,0,1,4,3,2,7,12,23,12,7
UBCV,2019,W,BIOL,331,,201,Developmental Biology,Britya Ghosh;Madison Earhart;Siu Fan Ho;Sravya Paluri;Stella Lee;Stella Yim Jung Lee,66,78.5,10.355600491,94.0,50.0,0,2,1,1,7,8,5,5,15,11,11
UBCV,2020,W,BIOL,200,,000,Fundamentals of Cell Biology,Araliya Arnott;Busra Turgu;Christian Cizek;Christina Hsu;Donald Wong;Farnaz Pournia;Hassan Ali;James Marchant;Jayamini Jayawardhane;Justin Carless;Ka Yee Lam;Natalie Casson;Paul Kapos;Philippa Stone;Shuang Yang;Sravya Paluri;Vivienne Lam;Wesley Gerelle,1093,75.35315645,12.846433122,96.0,15.0,89,2,9,39,92,96,126,137,226,174,103
UBCV,2020,W,BIOL,330,,201,Developmental Biology (Lecture),Madison Earhart;Ryan Sprenger;Sravya Paluri;Stella Lee,163,81.098159509,8.5340384,95.0,40.0,3,1,0,2,5,8,8,19,49,57,11
UBCV,2021,W,BIOL,331,,101,Developmental Biology,Adam Harman;Grace Thiele;Madison Earhart;Sravya Paluri;Stella Lee,69,80.782608696,7.646355466,95.0,58.0,0,0,1,0,2,6,6,11,17,16,10
UBCV,2021,W,BIOL,331,,201,Developmental Biology,Adam Harman;Madison Earhart;Melanie Warren;Sravya Paluri;Stella Lee,64,76.5,13.61954711,92.0,17.0,3,1,2,2,3,6,3,10,17,11,6
