Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,SPAN,101,,107,Beginners' Spanish I,Enrique Manchon;Xana Menendez Prendes,34,70.08823529,20.11537577,93.0,0.0,3,0,1,4,1,6,3,6,3,3,4
UBCV,2016,W,SPAN,102,,212,Beginners' Spanish II,Enrique Manchon;Xana Menendez Prendes,26,70.65384615,16.0995461,95.0,25.0,3,1,1,0,2,3,5,4,4,0,3
UBCV,2017,W,SPAN,101,,110,Beginners' Spanish I,Enrique Manchon;Xana Menendez Prendes,31,74.290322581,15.192527875,95.0,47.0,2,2,3,1,3,2,4,2,1,3,8
UBCV,2017,W,SPAN,101,,202,Beginners' Spanish I,Enrique Manchon;Xana Menendez Prendes,34,70.764705882,16.65525456,97.0,25.0,2,4,3,3,4,2,1,3,4,4,4
UBCV,2018,W,SPAN,101,,117,Beginners' Spanish I,Enrique Manchon;Xana Menendez Prendes,25,67.6,21.781108022,97.0,10.0,4,3,1,3,0,0,2,1,6,2,3
UBCV,2018,W,SPAN,202,,202,Intermediate Spanish II,Stephanie Elizabeth Spacciante;Stephanie Spacciante;Xana Menendez Prendes,34,70.382352941,19.298319452,98.0,3.0,3,3,1,1,2,2,6,3,9,1,3
UBCV,2018,W,SPAN,221,,101,Introduction to Hispanic Literature,Brianne Orr-Alvarez;Xana Menendez Prendes,33,79.606060606,4.690011953,90.0,70.0,0,0,0,0,0,1,6,10,10,5,1
UBCV,2018,W,SPAN,221,,102,Introduction to Hispanic Literature,Anna Casas Aguilar;Xana Menendez Prendes,27,74.37037037,16.588105442,90.0,0.0,1,0,0,1,1,5,5,2,6,5,1
UBCV,2019,W,SPAN,101,,109,Beginners' Spanish I,Brianne Orr-Alvarez;Xana Menendez Prendes,25,75.8,10.287532908,97.0,63.0,0,0,0,3,3,5,1,3,5,2,3
UBCV,2020,W,SPAN,102,,203,Beginners' Spanish II,Xana Menendez Prendes,20,70.35,19.842206477,97.0,0.0,1,1,0,2,5,1,0,4,3,2,1
