Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BIOL,200,,102,CELL BIOLOGY 1,"Pante, Nelly",250,69.53,12.01,94,34,235,12,0,1,2,0,0,0,4,8,12,12,23,27,31,29,37,25,23,18,10
UBC,2003,W,BIOL,200,,104,CELL BIOLOGY 1,"Pante, Nelly",272,70.51,12.74,96,31,253,16,2,0,1,0,0,0,5,11,16,13,22,27,22,34,29,31,41,22,12
UBC,2003,W,BIOL,441,,101,ANIM CELL BIOL,"Matsuuchi, Linda;Pante, Nelly",38,77.5,10.01,92,50,38,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,4,3,10,8,3
UBC,2003,W,BIOL,441,,102,ANIM CELL BIOL,"Matsuuchi, Linda;Pante, Nelly",29,78.61,9.83,93,57,28,0,1,0,0,0,0,0,0,0,0,0,2,1,0,3,3,2,6,8,3
UBC,2005,W,BIOL,200,,104,CELL BIOLOGY 1,"Pante, Nelly",267,71.54,11.39,94,45,246,17,0,0,4,0,0,0,0,17,17,5,9,27,28,32,35,33,54,13,10
UBC,2005,W,BIOL,441,,101,ANIM CELL BIOL,"Matsuuchi, Linda;Pante, Nelly",29,76.41,7.08,92,62,29,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,8,7,2,1
UBC,2005,W,BIOL,441,,102,ANIM CELL BIOL,"Matsuuchi, Linda;Pante, Nelly",33,74.33,6.62,86,60,33,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,8,8,4,3,0
UBC,2006,W,BIOL,441,,101,ANIM CELL BIOL,"Matsuuchi, Linda;Pante, Nelly",26,79.54,8.39,94,65,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,4,4,4
UBC,2006,W,BIOL,441,,102,ANIM CELL BIOL,"Matsuuchi, Linda;Pante, Nelly",17,79.82,5.68,90,68,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,3,3,1
UBC,2009,W,BIOL,441,,101,ANIM CELL BIOL,"Pante, Nelly",29,80.38,6.61,94,67,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,12,3,3
UBC,2009,W,BIOL,441,,102,ANIM CELL BIOL,"Graves, Marcia;Pante, Nelly",22,75.45,9.02,88,58,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,4,1,5,4,0
UBC,2011,W,BIOL,441,,101,ANIM CELL BIOL,"Pante, Nelly",32,74.75,10.25,90,55,32,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,3,5,9,3,2
UBC,2012,W,BIOL,441,,101,ANIM CELL BIOL,"Pante, Nelly",43,79.98,9.25,98,56,40,0,2,0,1,0,0,0,0,0,0,0,1,1,1,3,4,9,7,8,6
UBC,2013,W,BIOL,441,,101,ANIM CELL BIOL,"Pante, Nelly",11,83.36,9.37,93,68,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,6
UBC,2014,W,BIOL,441,,101,ANIM CELL BIOL,"Pante, Nelly",13,85,9.37,100,62,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,6
UBC,2015,W,BIOL,441,,101,ANIM CELL BIOL,"Pante, Nelly",10,83.2,8.65,93,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3
UBC,2016,W,BIOL,441,,101,CELL BIOL INTRFK,"Pante, Nelly",18,86.28,5.93,95,74,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,7
UBC,2017,W,BIOL,441,,101,CELL BIOL INTRFK,"Pante, Nelly",10,87.4,2.91,92,84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
UBC,2018,W,BIOL,441,,101,CELL BIOL INTRFK,"Pante, Nelly",16,88.69,5.59,96,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,9
